id;einrichtung;benennung;strasse;plz;benutzung;oeffnungszeiten;barrierefreiheit
202;WALL-Citytoiletten;WALL-Citytoilette;"Stadtpark Kielblockstraße Ecke Möllendorffstraße";"10367 Berlin";kostenpflichtig;durchgehend;ja
205;"Öffentliche Einrichtung";"Museum Karlshorst";"Zwieseler Straße 4";"10318 Berlin";kostenlos;"Di-So 10:00-18:00 Uhr";ja
208;WALL-Citytoiletten;WALL-Citytoilette;"Zingster Str. 2";"13051 Berlin";kostenpflichtig;durchgehend;ja
211;WALL-Citytoiletten;WALL-Citytoilette;"Welsestr. 57";"13057 Berlin";kostenpflichtig;durchgehend;ja
214;WALL-Citytoiletten;WALL-Citytoilette;"Storkower Str. 207";"10369 Berlin";kostenlos;durchgehend;ja
217;WALL-Citytoiletten;WALL-Citytoilette;"Hauptstraße 28";"10317 Berlin";kostenpflichtig;durchgehend;ja
220;WALL-Citytoiletten;WALL-Citytoilette;"Am Tierpark 72";"10319 Berlin";kostenlos;durchgehend;ja
223;WALL-Citytoiletten;WALL-Citytoilette;"Königswinterstr. 7a";"10318 Berlin";kostenlos;durchgehend;ja
226;WALL-Citytoiletten;WALL-Citytoilette;"Egon-Erwin-Kisch-Str. 104";"13059 Berlin";kostenpflichtig;durchgehend;ja
229;WALL-Citytoiletten;WALL-Citytoilette;"Weißenseer Weg 53";"13053 Berlin";kostenpflichtig;durchgehend;ja
232;WALL-Citytoiletten;WALL-Citytoilette;"Rummelsburger Str. 44";"10315 Berlin";kostenpflichtig;durchgehend;ja
235;WALL-Citytoiletten;WALL-Citytoilette;"Bernhard-Bästlein-Str. 1";"10367 Berlin";kostenpflichtig;durchgehend;ja
238;WALL-Citytoiletten;WALL-Citytoilette;"Warnitzer Str. 7";"13057 Berlin";kostenpflichtig;durchgehend;ja
241;WALL-Citytoiletten;WALL-Citytoilette;"Waldowstr. 31";"13053 Berlin";kostenpflichtig;durchgehend;ja
244;WALL-Citytoiletten;WALL-Citytoilette;"Dolgenseestraße 9E";"10319 Berlin";kostenpflichtig;durchgehend;ja
247;WALL-Citytoiletten;WALL-Citytoilette;"Konrad-Wolf-Str. 76";"13055 Berlin";kostenpflichtig;durchgehend;ja
250;WALL-Citytoiletten;WALL-Citytoilette;"Emma-Ihrer-Str. 39";"10317 Berlin";kostenpflichtig;durchgehend;ja
