Datum;Bundesland;Altersgruppe;7T_Hospitalisierung_Faelle;7T_Hospitalisierung_Inzidenz
2021-06-20;Nordrhein-Westfalen;05-14;2;0.12
2021-06-20;Nordrhein-Westfalen;80+;19;1.49
2021-06-19;Bundesgebiet;05-14;7;0.09
2021-06-19;Bundesgebiet;15-34;86;0.45
2021-06-19;Bundesgebiet;60-79;156;0.83
2021-06-19;Bundesgebiet;80+;84;1.37
2021-06-19;Nordrhein-Westfalen;35-59;37;0.61
2021-06-18;Bundesgebiet;15-34;93;0.49
2021-06-18;Bundesgebiet;80+;101;1.65
2021-06-18;Nordrhein-Westfalen;00+;140;0.77
2021-06-18;Nordrhein-Westfalen;15-34;25;0.59
2021-06-18;Nordrhein-Westfalen;80+;22;1.72
2021-06-17;Bundesgebiet;15-34;103;0.54
2021-06-17;Bundesgebiet;80+;109;1.78
2021-06-17;Nordrhein-Westfalen;00-04;8;0.91
2021-06-17;Nordrhein-Westfalen;15-34;28;0.66
2021-06-16;Bundesgebiet;05-14;14;0.18
2021-06-16;Bundesgebiet;15-34;106;0.56
2021-06-16;Bundesgebiet;60-79;195;1.04
2021-06-16;Bundesgebiet;80+;112;1.83
2021-06-16;Nordrhein-Westfalen;05-14;3;0.17
2021-06-15;Bundesgebiet;15-34;114;0.6
2021-06-15;Nordrhein-Westfalen;00-04;8;0.91
2021-06-15;Nordrhein-Westfalen;00+;199;1.1
2021-06-15;Nordrhein-Westfalen;35-59;72;1.18
2021-06-14;Bundesgebiet;00-04;19;0.48
2021-06-14;Bundesgebiet;35-59;278;0.98
2021-06-14;Bundesgebiet;60-79;241;1.29
2021-06-14;Nordrhein-Westfalen;00+;200;1.1
2021-06-14;Nordrhein-Westfalen;35-59;70;1.15
2021-06-14;Nordrhein-Westfalen;80+;29;2.27
2021-06-13;Bundesgebiet;00-04;18;0.45
2021-06-13;Bundesgebiet;00+;841;1.0
2021-06-13;Bundesgebiet;35-59;293;1.03
2021-06-13;Nordrhein-Westfalen;05-14;6;0.35
2021-06-13;Nordrhein-Westfalen;15-34;38;0.9
2021-06-13;Nordrhein-Westfalen;60-79;51;1.29
2021-06-12;Bundesgebiet;00-04;18;0.45
2021-06-12;Bundesgebiet;15-34;136;0.71
2021-06-12;Nordrhein-Westfalen;00-04;5;0.57
2021-06-12;Nordrhein-Westfalen;00+;229;1.26
2021-06-12;Nordrhein-Westfalen;15-34;39;0.92
2021-06-12;Nordrhein-Westfalen;35-59;89;1.46
2021-06-12;Nordrhein-Westfalen;80+;37;2.89
2021-06-11;Bundesgebiet;00+;935;1.11
2021-06-11;Bundesgebiet;60-79;270;1.44
2021-06-11;Nordrhein-Westfalen;00-04;5;0.57
2021-06-11;Nordrhein-Westfalen;35-59;99;1.63
2021-06-10;Bundesgebiet;00-04;16;0.4
2021-06-10;Bundesgebiet;05-14;25;0.31
2021-06-10;Bundesgebiet;35-59;342;1.2
2021-06-10;Bundesgebiet;80+;167;2.73
2021-06-10;Nordrhein-Westfalen;00+;244;1.35
2021-06-09;Bundesgebiet;80+;184;3.01
2021-06-09;Nordrhein-Westfalen;00+;258;1.42
2021-06-08;Bundesgebiet;00-04;16;0.4
2021-06-08;Bundesgebiet;80+;198;3.24
2021-06-08;Nordrhein-Westfalen;00+;277;1.53
2021-06-08;Nordrhein-Westfalen;60-79;84;2.12
2021-06-07;Bundesgebiet;15-34;156;0.82
2021-06-07;Bundesgebiet;60-79;349;1.86
2021-06-07;Bundesgebiet;80+;202;3.3
2021-06-07;Nordrhein-Westfalen;05-14;4;0.23
2021-06-06;Bundesgebiet;00+;1172;1.39
2021-06-06;Bundesgebiet;35-59;407;1.43
2021-06-06;Bundesgebiet;60-79;365;1.95
2021-06-06;Bundesgebiet;80+;197;3.22
2021-06-06;Nordrhein-Westfalen;00+;301;1.66
2021-06-06;Nordrhein-Westfalen;15-34;43;1.02
2021-06-05;Bundesgebiet;00-04;20;0.5
2021-06-05;Nordrhein-Westfalen;00+;323;1.78
2021-06-04;Bundesgebiet;15-34;177;0.93
2021-06-04;Bundesgebiet;60-79;448;2.39
2021-06-04;Nordrhein-Westfalen;00+;342;1.89
2021-06-04;Nordrhein-Westfalen;05-14;11;0.64
2021-06-03;Bundesgebiet;35-59;519;1.82
2021-06-03;Bundesgebiet;60-79;494;2.63
2021-06-03;Bundesgebiet;80+;253;4.14
2021-06-03;Nordrhein-Westfalen;00-04;3;0.34
2021-06-03;Nordrhein-Westfalen;00+;376;2.07
2021-06-03;Nordrhein-Westfalen;05-14;11;0.64
2021-06-03;Nordrhein-Westfalen;60-79;112;2.83
2021-06-02;Bundesgebiet;00-04;25;0.63
2021-06-02;Nordrhein-Westfalen;00-04;5;0.57
2021-06-02;Nordrhein-Westfalen;15-34;60;1.42
2021-06-01;Bundesgebiet;00+;1764;2.09
2021-06-01;Bundesgebiet;05-14;30;0.38
2021-06-01;Bundesgebiet;60-79;582;3.1
2021-06-01;Bundesgebiet;80+;304;4.97
2021-06-01;Nordrhein-Westfalen;60-79;111;2.81
2021-05-31;Nordrhein-Westfalen;35-59;146;2.4
2021-05-31;Nordrhein-Westfalen;60-79;115;2.91
2021-05-30;Bundesgebiet;00-04;22;0.55
2021-05-30;Bundesgebiet;00+;1751;2.08
2021-05-30;Bundesgebiet;35-59;584;2.05
2021-05-30;Bundesgebiet;80+;315;5.15
2021-05-30;Nordrhein-Westfalen;00+;401;2.21
2021-05-30;Nordrhein-Westfalen;35-59;154;2.53
2021-05-30;Nordrhein-Westfalen;60-79;119;3.01
2021-05-29;Nordrhein-Westfalen;00-04;8;0.91
2021-05-29;Nordrhein-Westfalen;05-14;10;0.58
2021-05-29;Nordrhein-Westfalen;80+;57;4.46
2021-05-28;Bundesgebiet;05-14;25;0.31
2021-05-28;Bundesgebiet;35-59;625;2.19
2021-05-28;Bundesgebiet;80+;348;5.69
2021-05-28;Nordrhein-Westfalen;00-04;9;1.02
2021-05-28;Nordrhein-Westfalen;15-34;61;1.45
2021-05-27;Bundesgebiet;00+;2059;2.44
2021-05-27;Bundesgebiet;05-14;30;0.38
2021-05-27;Nordrhein-Westfalen;00-04;10;1.14
2021-05-27;Nordrhein-Westfalen;00+;464;2.56
2021-05-27;Nordrhein-Westfalen;35-59;150;2.47
2021-05-27;Nordrhein-Westfalen;60-79;160;4.05
2021-05-26;Bundesgebiet;00+;2197;2.6
2021-05-26;Bundesgebiet;05-14;37;0.47
2021-05-26;Bundesgebiet;80+;407;6.66
2021-05-26;Nordrhein-Westfalen;05-14;9;0.52
2021-05-26;Nordrhein-Westfalen;80+;78;6.1
2021-05-25;Bundesgebiet;00-04;42;1.05
2021-05-25;Bundesgebiet;00+;2474;2.93
2021-05-25;Nordrhein-Westfalen;35-59;203;3.34
2021-05-25;Nordrhein-Westfalen;60-79;182;4.6
2021-05-25;Nordrhein-Westfalen;80+;85;6.65
2021-05-24;Bundesgebiet;00-04;49;1.23
2021-05-24;Bundesgebiet;35-59;863;3.03
2021-05-24;Bundesgebiet;80+;513;8.39
2021-05-24;Nordrhein-Westfalen;00-04;10;1.14
2021-05-24;Nordrhein-Westfalen;15-34;78;1.85
2021-05-24;Nordrhein-Westfalen;80+;101;7.9
2021-05-23;Bundesgebiet;00-04;51;1.28
2021-05-23;Nordrhein-Westfalen;00+;698;3.85
2021-05-23;Nordrhein-Westfalen;60-79;227;5.74
2021-05-22;Bundesgebiet;60-79;1141;6.09
2021-05-22;Nordrhein-Westfalen;00-04;11;1.25
2021-05-22;Nordrhein-Westfalen;15-34;108;2.56
2021-05-21;Bundesgebiet;00-04;47;1.18
2021-05-21;Bundesgebiet;15-34;420;2.2
2021-05-21;Bundesgebiet;35-59;1024;3.59
2021-05-21;Bundesgebiet;60-79;1160;6.19
2021-05-21;Nordrhein-Westfalen;00-04;12;1.37
2021-05-21;Nordrhein-Westfalen;05-14;11;0.64
2021-05-20;Bundesgebiet;00-04;53;1.33
2021-05-20;Bundesgebiet;15-34;431;2.26
2021-05-20;Nordrhein-Westfalen;00+;789;4.35
2021-05-20;Nordrhein-Westfalen;35-59;278;4.57
2021-05-20;Nordrhein-Westfalen;60-79;251;6.35
2021-05-19;Bundesgebiet;00-04;59;1.48
2021-05-19;Bundesgebiet;60-79;1314;7.01
2021-05-19;Nordrhein-Westfalen;15-34;106;2.51
2021-05-19;Nordrhein-Westfalen;60-79;295;7.46
2021-05-19;Nordrhein-Westfalen;80+;136;10.64
2021-05-18;Bundesgebiet;05-14;40;0.5
2021-05-18;Bundesgebiet;60-79;1472;7.85
2021-05-18;Nordrhein-Westfalen;00+;945;5.21
2021-05-18;Nordrhein-Westfalen;35-59;298;4.9
2021-05-18;Nordrhein-Westfalen;60-79;330;8.34
2021-05-17;Nordrhein-Westfalen;00-04;24;2.73
2021-05-17;Nordrhein-Westfalen;60-79;339;8.57
2021-05-16;Bundesgebiet;00+;4118;4.88
2021-05-16;Nordrhein-Westfalen;05-14;13;0.75
2021-05-16;Nordrhein-Westfalen;60-79;342;8.65
2021-05-16;Nordrhein-Westfalen;80+;166;12.99
2021-05-15;Bundesgebiet;35-59;1303;4.57
2021-05-15;Nordrhein-Westfalen;60-79;338;8.55
2021-05-15;Nordrhein-Westfalen;80+;161;12.59
2021-05-14;Bundesgebiet;80+;775;12.68
2021-05-14;Nordrhein-Westfalen;05-14;10;0.58
2021-05-14;Nordrhein-Westfalen;80+;174;13.61
2021-05-13;Bundesgebiet;00-04;76;1.91
2021-05-13;Bundesgebiet;35-59;1529;5.36
2021-05-13;Bundesgebiet;60-79;1939;10.34
2021-05-13;Bundesgebiet;80+;869;14.22
2021-05-13;Nordrhein-Westfalen;05-14;12;0.69
2021-05-13;Nordrhein-Westfalen;15-34;143;3.39
2021-05-12;Bundesgebiet;00-04;75;1.88
2021-05-12;Bundesgebiet;05-14;57;0.72
2021-05-12;Bundesgebiet;15-34;529;2.78
2021-05-12;Bundesgebiet;35-59;1633;5.73
2021-05-12;Nordrhein-Westfalen;00-04;23;2.62
2021-05-12;Nordrhein-Westfalen;15-34;155;3.67
2021-05-12;Nordrhein-Westfalen;60-79;462;11.68
2021-05-11;Bundesgebiet;00-04;73;1.83
2021-05-11;Bundesgebiet;35-59;1698;5.96
2021-05-11;Nordrhein-Westfalen;00-04;24;2.73
2021-05-11;Nordrhein-Westfalen;35-59;452;7.43
2021-05-11;Nordrhein-Westfalen;80+;203;15.88
2021-05-10;Bundesgebiet;00+;5531;6.56
2021-05-10;Bundesgebiet;60-79;2098;11.19
2021-05-10;Bundesgebiet;80+;969;15.85
2021-05-10;Nordrhein-Westfalen;00+;1421;7.83
2021-05-10;Nordrhein-Westfalen;05-14;18;1.04
2021-05-10;Nordrhein-Westfalen;80+;212;16.58
2021-05-09;Bundesgebiet;05-14;74;0.93
2021-05-09;Nordrhein-Westfalen;00+;1444;7.96
2021-05-09;Nordrhein-Westfalen;35-59;475;7.81
2021-05-09;Nordrhein-Westfalen;80+;218;17.05
2021-05-08;Bundesgebiet;00-04;78;1.96
2021-05-08;Bundesgebiet;00+;5878;6.97
2021-05-08;Nordrhein-Westfalen;15-34;175;4.15
2021-05-07;Bundesgebiet;05-14;105;1.32
2021-05-07;Bundesgebiet;15-34;616;3.23
2021-05-07;Bundesgebiet;60-79;2240;11.95
2021-05-07;Bundesgebiet;80+;1085;17.75
2021-05-07;Nordrhein-Westfalen;60-79;560;14.16
2021-05-06;Bundesgebiet;05-14;106;1.33
2021-05-06;Bundesgebiet;60-79;2299;12.26
2021-05-05;Bundesgebiet;15-34;655;3.44
2021-05-05;Bundesgebiet;60-79;2376;12.67
2021-05-05;Bundesgebiet;80+;1137;18.6
2021-05-05;Nordrhein-Westfalen;00-04;30;3.41
2021-05-05;Nordrhein-Westfalen;00+;1646;9.07
2021-05-05;Nordrhein-Westfalen;60-79;575;14.54
2021-05-04;Bundesgebiet;00-04;87;2.18
2021-05-04;Nordrhein-Westfalen;00-04;32;3.64
2021-05-04;Nordrhein-Westfalen;00+;1684;9.28
2021-05-04;Nordrhein-Westfalen;35-59;570;9.38
2021-05-04;Nordrhein-Westfalen;60-79;582;14.72
2021-05-03;Bundesgebiet;00-04;80;2.01
2021-05-03;Bundesgebiet;00+;6804;8.07
2021-05-03;Bundesgebiet;05-14;103;1.3
2021-05-03;Bundesgebiet;15-34;654;3.43
2021-05-03;Bundesgebiet;35-59;2199;7.71
2021-05-03;Nordrhein-Westfalen;05-14;34;1.97
2021-05-02;Bundesgebiet;00-04;82;2.06
2021-05-02;Bundesgebiet;60-79;2626;14.01
2021-05-01;Bundesgebiet;35-59;2233;7.83
2021-05-01;Bundesgebiet;60-79;2668;14.23
2021-05-01;Nordrhein-Westfalen;00-04;29;3.3
2021-05-01;Nordrhein-Westfalen;35-59;592;9.74
2021-04-30;Bundesgebiet;00+;7187;8.52
2021-04-30;Bundesgebiet;05-14;87;1.1
2021-04-30;Nordrhein-Westfalen;00+;1804;9.95
2021-04-30;Nordrhein-Westfalen;60-79;631;15.95
2021-04-29;Bundesgebiet;05-14;85;1.07
2021-04-29;Bundesgebiet;15-34;735;3.86
2021-04-29;Bundesgebiet;80+;1276;20.87
2021-04-29;Nordrhein-Westfalen;00-04;34;3.87
2021-04-29;Nordrhein-Westfalen;15-34;208;4.93
2021-04-29;Nordrhein-Westfalen;60-79;649;16.41
2021-04-29;Nordrhein-Westfalen;80+;295;23.08
2021-04-28;Bundesgebiet;00+;7634;9.05
2021-04-28;Bundesgebiet;35-59;2462;8.64
2021-04-28;Bundesgebiet;60-79;2912;15.53
2021-04-28;Nordrhein-Westfalen;00-04;33;3.75
2021-04-28;Nordrhein-Westfalen;05-14;21;1.21
2021-04-28;Nordrhein-Westfalen;15-34;215;5.1
2021-04-28;Nordrhein-Westfalen;60-79;645;16.31
2021-04-27;Bundesgebiet;00-04;95;2.38
2021-04-27;Nordrhein-Westfalen;00-04;31;3.53
2021-04-26;Bundesgebiet;05-14;85;1.07
2021-04-26;Bundesgebiet;35-59;2582;9.06
2021-04-26;Bundesgebiet;60-79;3042;16.22
2021-04-26;Nordrhein-Westfalen;00-04;30;3.41
2021-04-26;Nordrhein-Westfalen;00+;2008;11.07
2021-04-25;Bundesgebiet;00-04;95;2.38
2021-04-25;Bundesgebiet;35-59;2579;9.05
2021-04-25;Nordrhein-Westfalen;00+;2028;11.18
2021-04-25;Nordrhein-Westfalen;15-34;222;5.26
2021-04-24;Bundesgebiet;05-14;90;1.13
2021-04-24;Bundesgebiet;80+;1455;23.8
2021-04-24;Nordrhein-Westfalen;05-14;22;1.27
2021-04-24;Nordrhein-Westfalen;15-34;210;4.98
2021-04-24;Nordrhein-Westfalen;35-59;712;11.71
2021-04-24;Nordrhein-Westfalen;60-79;697;17.62
2021-04-23;Bundesgebiet;15-34;776;4.07
2021-04-23;Bundesgebiet;35-59;2622;9.2
2021-04-23;Nordrhein-Westfalen;00+;2017;11.12
2021-04-23;Nordrhein-Westfalen;05-14;21;1.21
2021-04-23;Nordrhein-Westfalen;15-34;205;4.86
2021-04-22;Bundesgebiet;00+;8041;9.53
2021-04-22;Bundesgebiet;15-34;766;4.02
2021-04-22;Bundesgebiet;35-59;2576;9.04
2021-04-22;Nordrhein-Westfalen;00-04;26;2.96
2021-04-22;Nordrhein-Westfalen;00+;1953;10.77
2021-04-22;Nordrhein-Westfalen;80+;366;28.63
2021-04-21;Bundesgebiet;05-14;97;1.22
2021-04-21;Bundesgebiet;15-34;773;4.06
2021-04-21;Bundesgebiet;80+;1495;24.46
2021-04-21;Nordrhein-Westfalen;00-04;29;3.3
2021-04-21;Nordrhein-Westfalen;05-14;23;1.33
2021-04-21;Nordrhein-Westfalen;80+;358;28.01
2021-04-20;Bundesgebiet;35-59;2461;8.63
2021-04-20;Nordrhein-Westfalen;00+;1947;10.73
2021-04-20;Nordrhein-Westfalen;15-34;204;4.84
2021-04-20;Nordrhein-Westfalen;35-59;615;10.12
2021-04-20;Nordrhein-Westfalen;60-79;737;18.63
2021-04-20;Nordrhein-Westfalen;80+;345;26.99
2021-04-19;Bundesgebiet;00+;7916;9.38
2021-04-19;Bundesgebiet;05-14;85;1.07
2021-04-19;Bundesgebiet;35-59;2421;8.49
2021-04-19;Bundesgebiet;80+;1466;23.98
2021-04-19;Nordrhein-Westfalen;00+;1896;10.45
2021-04-19;Nordrhein-Westfalen;35-59;590;9.7
2021-04-19;Nordrhein-Westfalen;60-79;722;18.26
2021-04-19;Nordrhein-Westfalen;80+;344;26.91
2021-04-18;Nordrhein-Westfalen;00+;1916;10.56
2021-04-18;Nordrhein-Westfalen;05-14;19;1.1
2021-04-18;Nordrhein-Westfalen;15-34;211;5.0
2021-04-18;Nordrhein-Westfalen;35-59;600;9.87
2021-04-18;Nordrhein-Westfalen;80+;340;26.6
2021-04-17;Bundesgebiet;35-59;2396;8.4
2021-04-17;Nordrhein-Westfalen;05-14;16;0.93
2021-04-16;Bundesgebiet;05-14;82;1.03
2021-04-16;Nordrhein-Westfalen;00+;1868;10.3
2021-04-16;Nordrhein-Westfalen;05-14;16;0.93
2021-04-16;Nordrhein-Westfalen;60-79;694;17.55
2021-04-16;Nordrhein-Westfalen;80+;320;25.03
2021-04-15;Bundesgebiet;05-14;77;0.97
2021-04-15;Nordrhein-Westfalen;00-04;30;3.41
2021-04-14;Bundesgebiet;00+;8299;9.84
2021-04-14;Bundesgebiet;15-34;831;4.36
2021-04-14;Bundesgebiet;80+;1496;24.47
2021-04-14;Nordrhein-Westfalen;00-04;27;3.07
2021-04-14;Nordrhein-Westfalen;35-59;608;10.0
2021-04-14;Nordrhein-Westfalen;80+;322;25.19
2021-04-13;Bundesgebiet;05-14;70;0.88
2021-04-13;Bundesgebiet;60-79;3003;16.02
2021-04-13;Nordrhein-Westfalen;00-04;28;3.19
2021-04-13;Nordrhein-Westfalen;05-14;15;0.87
2021-04-13;Nordrhein-Westfalen;35-59;569;9.36
2021-04-13;Nordrhein-Westfalen;60-79;634;16.03
2021-04-13;Nordrhein-Westfalen;80+;316;24.72
2021-04-12;Bundesgebiet;00-04;114;2.86
2021-04-12;Bundesgebiet;00+;7664;9.08
2021-04-12;Bundesgebiet;05-14;67;0.84
2021-04-12;Nordrhein-Westfalen;00+;1736;9.57
2021-04-12;Nordrhein-Westfalen;05-14;15;0.87
2021-04-12;Nordrhein-Westfalen;35-59;551;9.06
2021-04-12;Nordrhein-Westfalen;80+;305;23.86
2021-04-11;Bundesgebiet;60-79;2874;15.33
2021-04-11;Nordrhein-Westfalen;05-14;10;0.58
2021-04-11;Nordrhein-Westfalen;60-79;613;15.5
2021-04-10;Bundesgebiet;15-34;711;3.73
2021-04-10;Bundesgebiet;60-79;2829;15.09
2021-04-10;Nordrhein-Westfalen;15-34;193;4.58
2021-04-09;Bundesgebiet;00+;7017;8.32
2021-04-09;Bundesgebiet;35-59;2137;7.5
2021-04-09;Bundesgebiet;80+;1391;22.75
2021-04-09;Nordrhein-Westfalen;00-04;31;3.53
2021-04-09;Nordrhein-Westfalen;15-34;179;4.24
2021-04-09;Nordrhein-Westfalen;60-79;568;14.36
2021-04-09;Nordrhein-Westfalen;80+;291;22.76
2021-04-08;Bundesgebiet;00+;6816;8.08
2021-04-08;Bundesgebiet;05-14;65;0.82
2021-04-08;Nordrhein-Westfalen;80+;266;20.81
2021-04-07;Bundesgebiet;15-34;605;3.17
2021-04-07;Bundesgebiet;80+;1370;22.41
2021-04-07;Nordrhein-Westfalen;00+;1455;8.02
2021-04-07;Nordrhein-Westfalen;35-59;445;7.32
2021-04-07;Nordrhein-Westfalen;60-79;521;13.17
2021-04-06;Bundesgebiet;00-04;87;2.18
2021-04-06;Bundesgebiet;80+;1377;22.53
2021-04-05;Bundesgebiet;00+;7002;8.3
2021-04-05;Bundesgebiet;80+;1438;23.52
2021-04-05;Nordrhein-Westfalen;00+;1504;8.29
2021-04-05;Nordrhein-Westfalen;05-14;24;1.39
2021-04-05;Nordrhein-Westfalen;15-34;183;4.34
2021-04-04;Bundesgebiet;00-04;99;2.48
2021-04-04;Bundesgebiet;60-79;2662;14.2
2021-04-04;Nordrhein-Westfalen;00-04;35;3.98
2021-04-04;Nordrhein-Westfalen;05-14;27;1.56
2021-04-04;Nordrhein-Westfalen;35-59;485;7.98
2021-04-03;Bundesgebiet;00-04;94;2.36
2021-04-03;Bundesgebiet;05-14;81;1.02
2021-04-03;Bundesgebiet;15-34;638;3.35
2021-04-03;Nordrhein-Westfalen;35-59;487;8.01
2021-04-02;Bundesgebiet;80+;1560;25.52
2021-04-02;Nordrhein-Westfalen;00-04;30;3.41
2021-04-02;Nordrhein-Westfalen;05-14;25;1.45
2021-04-02;Nordrhein-Westfalen;15-34;161;3.82
2021-04-01;Bundesgebiet;00-04;97;2.43
2021-04-01;Nordrhein-Westfalen;60-79;531;13.43
2021-03-31;Bundesgebiet;05-14;102;1.28
2021-03-31;Bundesgebiet;15-34;662;3.47
2021-03-31;Nordrhein-Westfalen;00+;1471;8.11
2021-03-31;Nordrhein-Westfalen;05-14;25;1.45
2021-03-31;Nordrhein-Westfalen;35-59;454;7.47
2021-03-30;Bundesgebiet;00+;7072;8.38
2021-03-30;Bundesgebiet;15-34;648;3.4
2021-03-30;Nordrhein-Westfalen;35-59;460;7.57
2021-03-30;Nordrhein-Westfalen;60-79;498;12.59
2021-03-29;Bundesgebiet;00+;6923;8.21
2021-03-29;Bundesgebiet;05-14;92;1.16
2021-03-29;Bundesgebiet;15-34;627;3.29
2021-03-29;Bundesgebiet;60-79;2562;13.66
2021-03-29;Nordrhein-Westfalen;00+;1403;7.73
2021-03-29;Nordrhein-Westfalen;15-34;138;3.27
2021-03-29;Nordrhein-Westfalen;80+;276;21.59
2021-03-28;Bundesgebiet;05-14;88;1.11
2021-03-28;Bundesgebiet;35-59;2003;7.03
2021-03-28;Bundesgebiet;80+;1539;25.18
2021-03-27;Bundesgebiet;00-04;91;2.28
2021-03-27;Bundesgebiet;05-14;83;1.05
2021-03-27;Bundesgebiet;15-34;600;3.15
2021-03-27;Nordrhein-Westfalen;00+;1365;7.53
2021-03-27;Nordrhein-Westfalen;80+;253;19.79
2021-03-26;Bundesgebiet;00-04;92;2.31
2021-03-26;Nordrhein-Westfalen;00+;1354;7.46
2021-03-26;Nordrhein-Westfalen;05-14;15;0.87
2021-03-26;Nordrhein-Westfalen;15-34;138;3.27
2021-03-26;Nordrhein-Westfalen;35-59;439;7.22
2021-03-26;Nordrhein-Westfalen;80+;259;20.26
2021-03-25;Bundesgebiet;60-79;2352;12.54
2021-03-25;Nordrhein-Westfalen;05-14;16;0.93
2021-03-25;Nordrhein-Westfalen;80+;259;20.26
2021-03-24;Bundesgebiet;00-04;88;2.21
2021-03-24;Bundesgebiet;05-14;67;0.84
2021-03-24;Bundesgebiet;15-34;513;2.69
2021-03-24;Bundesgebiet;35-59;1758;6.17
2021-03-24;Bundesgebiet;80+;1350;22.08
2021-03-24;Nordrhein-Westfalen;80+;255;19.95
2021-03-23;Bundesgebiet;05-14;68;0.86
2021-03-23;Bundesgebiet;15-34;494;2.59
2021-03-23;Bundesgebiet;35-59;1711;6.0
2021-03-23;Bundesgebiet;60-79;2246;11.98
2021-03-23;Bundesgebiet;80+;1309;21.41
2021-03-23;Nordrhein-Westfalen;05-14;14;0.81
2021-03-23;Nordrhein-Westfalen;60-79;460;11.63
2021-03-22;Bundesgebiet;00+;5803;6.88
2021-03-22;Bundesgebiet;15-34;488;2.56
2021-03-22;Bundesgebiet;80+;1318;21.56
2021-03-22;Nordrhein-Westfalen;00-04;22;2.5
2021-03-22;Nordrhein-Westfalen;05-14;14;0.81
2021-03-22;Nordrhein-Westfalen;60-79;444;11.23
2021-03-22;Nordrhein-Westfalen;80+;243;19.01
2021-03-21;Bundesgebiet;00-04;83;2.08
2021-03-21;Bundesgebiet;05-14;73;0.92
2021-03-21;Bundesgebiet;15-34;485;2.54
2021-03-21;Bundesgebiet;60-79;2150;11.47
2021-03-21;Nordrhein-Westfalen;00-04;23;2.62
2021-03-21;Nordrhein-Westfalen;80+;242;18.93
2021-03-20;Bundesgebiet;35-59;1638;5.75
2021-03-20;Bundesgebiet;60-79;2103;11.22
2021-03-20;Nordrhein-Westfalen;00+;1222;6.74
2021-03-20;Nordrhein-Westfalen;15-34;145;3.44
2021-03-19;Bundesgebiet;00+;5510;6.53
2021-03-19;Bundesgebiet;35-59;1590;5.58
2021-03-19;Bundesgebiet;80+;1310;21.43
2021-03-19;Nordrhein-Westfalen;35-59;359;5.9
2021-03-19;Nordrhein-Westfalen;60-79;378;9.56
2021-03-19;Nordrhein-Westfalen;80+;234;18.31
2021-03-18;Bundesgebiet;00-04;73;1.83
2021-03-18;Bundesgebiet;15-34;475;2.49
2021-03-18;Nordrhein-Westfalen;00-04;24;2.73
2021-03-18;Nordrhein-Westfalen;15-34;136;3.22
2021-03-17;Bundesgebiet;05-14;54;0.68
2021-03-17;Nordrhein-Westfalen;35-59;350;5.76
2021-03-17;Nordrhein-Westfalen;80+;247;19.32
2021-03-16;Bundesgebiet;05-14;44;0.55
2021-03-16;Bundesgebiet;35-59;1429;5.01
2021-03-16;Bundesgebiet;80+;1346;22.02
2021-03-16;Nordrhein-Westfalen;00+;1089;6.0
2021-03-16;Nordrhein-Westfalen;35-59;351;5.77
2021-03-16;Nordrhein-Westfalen;60-79;330;8.34
2021-03-16;Nordrhein-Westfalen;80+;247;19.32
2021-03-15;Bundesgebiet;00+;4959;5.88
2021-03-15;Bundesgebiet;60-79;1766;9.42
2021-03-15;Nordrhein-Westfalen;60-79;343;8.67
2021-03-15;Nordrhein-Westfalen;80+;246;19.24
2021-03-14;Bundesgebiet;00-04;56;1.4
2021-03-14;Bundesgebiet;35-59;1340;4.7
2021-03-14;Bundesgebiet;60-79;1723;9.19
2021-03-14;Bundesgebiet;80+;1303;21.32
2021-03-14;Nordrhein-Westfalen;00-04;14;1.59
2021-03-14;Nordrhein-Westfalen;80+;241;18.85
2021-03-13;Bundesgebiet;00+;4736;5.61
2021-03-13;Nordrhein-Westfalen;05-14;10;0.58
2021-03-13;Nordrhein-Westfalen;60-79;338;8.55
2021-03-12;Bundesgebiet;60-79;1694;9.04
2021-03-12;Nordrhein-Westfalen;00+;1031;5.68
2021-03-12;Nordrhein-Westfalen;05-14;10;0.58
2021-03-11;Bundesgebiet;00+;4467;5.3
2021-03-11;Bundesgebiet;60-79;1646;8.78
2021-03-11;Nordrhein-Westfalen;00-04;11;1.25
2021-03-11;Nordrhein-Westfalen;60-79;325;8.22
2021-03-11;Nordrhein-Westfalen;80+;231;18.07
2021-03-10;Bundesgebiet;00+;4433;5.25
2021-03-10;Bundesgebiet;05-14;28;0.35
2021-03-10;Bundesgebiet;60-79;1677;8.94
2021-03-10;Nordrhein-Westfalen;00+;972;5.36
2021-03-10;Nordrhein-Westfalen;80+;220;17.21
2021-03-09;Nordrhein-Westfalen;00+;975;5.38
2021-03-09;Nordrhein-Westfalen;15-34;106;2.51
2021-03-09;Nordrhein-Westfalen;35-59;251;4.13
2021-03-09;Nordrhein-Westfalen;60-79;355;8.98
2021-03-08;Bundesgebiet;05-14;29;0.37
2021-03-08;Bundesgebiet;60-79;1682;8.97
2021-03-08;Bundesgebiet;80+;1280;20.94
2021-03-08;Nordrhein-Westfalen;00+;963;5.31
2021-03-07;Bundesgebiet;00-04;47;1.18
2021-03-07;Bundesgebiet;05-14;30;0.38
2021-03-07;Bundesgebiet;15-34;359;1.88
2021-03-07;Bundesgebiet;35-59;1095;3.84
2021-03-07;Nordrhein-Westfalen;00-04;8;0.91
2021-03-07;Nordrhein-Westfalen;05-14;7;0.4
2021-03-07;Nordrhein-Westfalen;35-59;250;4.11
2021-03-07;Nordrhein-Westfalen;60-79;359;9.08
