Geo Point;Geo Shape;Kommune;Gewerbegebiet;Größe;Verfügbarkeit;Art;Exposelink;blockiert;Frei parzellierbar;Geplant;24h-Betrieb;code
51.10344467440422, 6.591331783451514;"{""coordinates"": [[[[6.591429404421393, 51.10350395285451], [6.591408738678282, 51.10345430034909], [6.591407237593442, 51.10351245050888], [6.591429404421393, 51.10350395285451]]], [[[6.590833047040248, 51.103057787987716], [6.590749545939643, 51.10301700165167], [6.590519118187797, 51.10291999131932], [6.590223509577252, 51.102822460142754], [6.59051911369622, 51.102920081006964], [6.590833047040248, 51.103057787987716]]], [[[6.590088223295464, 51.1027850687656], [6.589913419226011, 51.10274779976253], [6.589775367031464, 51.10272323427739], [6.589913531515422, 51.102747892270884], [6.590088223295464, 51.1027850687656]]], [[[6.589721346841854, 51.102715224403404], [6.589532116727253, 51.10269713844129], [6.589532155354811, 51.10269722361675], [6.589721346841854, 51.102715224403404]]]], ""type"": ""MultiPolygon""}";Grevenbroich;Noithausen;5;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080026
51.10435292978419, 6.5898926596924134;"{""coordinates"": [[[[6.590073372347187, 51.104264783146], [6.589947497714629, 51.104343267066916], [6.589919824213988, 51.10435784565123], [6.58994650148298, 51.10434657412605], [6.590183586649395, 51.10421837873603], [6.590073372347187, 51.104264783146]]], [[[6.589726503171583, 51.1044157730008], [6.589631017646773, 51.10445103093298], [6.589845433826993, 51.10438927764095], [6.589726503171583, 51.1044157730008]]]], ""type"": ""MultiPolygon""}";Grevenbroich;Noithausen;29;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080026
51.10549269984022, 6.592460282470429;"{""coordinates"": [[[6.592705823303545, 51.10571471741389], [6.592912624465102, 51.105599059927705], [6.592455079253234, 51.105250110448075], [6.592366287075606, 51.105229127978625], [6.592273545005673, 51.10524106542558], [6.591997792756167, 51.1053924768158], [6.592567956161944, 51.10579182149186], [6.592705823303545, 51.10571471741389]]], ""type"": ""Polygon""}";Grevenbroich;Noithausen;1985;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080026
51.0854101834203, 6.574464727429909;"{""coordinates"": [[[6.574809499076733, 51.085401993815985], [6.574073200343996, 51.08528754161654], [6.574076675925831, 51.085421041881176], [6.574914637897587, 51.08552602052794], [6.574918853691215, 51.085494481477504], [6.574809499076733, 51.085401993815985]]], ""type"": ""Polygon""}";Grevenbroich;Am Hammerwerk/Bergheimer Str.;758;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080027
51.08592759215867, 6.574932749690878;"{""coordinates"": [[[6.575406731416965, 51.08606052550118], [6.575337058981845, 51.08588755282224], [6.575267998299433, 51.08579637677403], [6.575179114493644, 51.08571594393299], [6.574612176938054, 51.08565345743906], [6.574532565542629, 51.08613747558398], [6.57470888237502, 51.086156961225804], [6.574967649279133, 51.08615801586082], [6.575108703643361, 51.08612452483911], [6.575327923115405, 51.08610272677094], [6.575406731416965, 51.08606052550118]]], ""type"": ""Polygon""}";Grevenbroich;Am Hammerwerk/Bergheimer Str.;2653;Nicht verfügbare Fläche;Gewerbefläche;;;;;;051620080027
51.086124529744005, 6.5752159608894;"{""coordinates"": [[[6.575335053043815, 51.08612713857519], [6.575376131205127, 51.08611307902069], [6.575406731416965, 51.08606052550118], [6.575327923115405, 51.08610272677094], [6.575108703643361, 51.08612452483911], [6.574967649279133, 51.08615801586082], [6.575335053043815, 51.08612713857519]]], ""type"": ""Polygon""}";Grevenbroich;Am Hammerwerk/Bergheimer Str.;66;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080027
51.04213764889673, 6.584180200182024;"{""coordinates"": [[[6.584151434550829, 51.042149210307294], [6.584149617259008, 51.042153716961224], [6.584235232095477, 51.04211115309708], [6.584151434550829, 51.042149210307294]]], ""type"": ""Polygon""}";Grevenbroich;Frankenstraße;1;Nicht verfügbare Fläche;Straßenfläche;;;;;;051620080028
51.0425352595333, 6.584049552295358;"{""coordinates"": [[[[6.583973677719038, 51.04248517481736], [6.584060570858155, 51.04254628103955], [6.58398217308668, 51.04248103080395], [6.583973677719038, 51.04248517481736]]], [[[6.584072417840122, 51.04255461254468], [6.584151370770443, 51.04261013441114], [6.584080421829304, 51.042550774664214], [6.584072417840122, 51.04255461254468]]]], ""type"": ""MultiPolygon""}";Grevenbroich;Frankenstraße;6;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080028
51.068512557788964, 6.634407275178806;"{""coordinates"": [[[6.634380763306776, 51.068507159494665], [6.634412907722589, 51.06852472086839], [6.634433173715397, 51.068517692368246], [6.634402833116677, 51.06850068758202], [6.634380763306776, 51.068507159494665]]], ""type"": ""Polygon""}";Grevenbroich;Allrath/Kölner Landstraße;4;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080029
51.06841396017032, 6.634229509805527;"{""coordinates"": [[[6.634163573128959, 51.06838812244586], [6.634271859646567, 51.068447471660406], [6.634295723392089, 51.06844060910972], [6.634189184097709, 51.06838090199684], [6.634163573128959, 51.06838812244586]]], ""type"": ""Polygon""}";Grevenbroich;Allrath/Kölner Landstraße;17;Nicht verfügbare Fläche;Wohnbereich;;;;;;051620080029
