Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Silber-110m Ag-110m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Indium-111 In-111;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Antimon-124 Sb-124;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Antimon-125 Sb-125;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Tellur-123m Te-123m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Tellur-132 Te-132;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Barium-140 Ba-140;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Lanthan-140 La-140;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Cer-141 Ce-141;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Cer-144 Ce-144;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Americium-241 Am-241;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Messzeit;250000;s
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Scandium-47 Sc-47;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Gallium-67 Ga-67;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Germanium-68 Ge-68;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Zirkon-89 Zr-89;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Technetium-99m Tc-99m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Silber-111 Ag-111;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Zinn-117m Sn-117m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Antimon-127 Sb-127;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Tellur-129m Te-129m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Tellur-131m Te-131m;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);Iod-132 I-132;n.n.;Bq/kg(TM)
202500112;Schwebstoffe;Sammelprobe;28.02.2025;12:00;31.03.2025;12:00;Schwebstoff in Flieﬂgew‰ssern;IMIS Routinemessprogramm;Elbe, Blankenese Strom-km 634,2;Deutschland;Gammaspektrometrie (fest - TM);C‰sium-136 Cs-136;n.n.;Bq/kg(TM)
