Geo Point;Name;Träger;Gartentyp;Adresse;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;Sozialraum;Aktionsraum Nr;Aktionsraum;Rechtswert;Hochwert;Kommune
51.47654515211889, 7.4728536839769175;;;;;5;Hörde;520;Hacheney;521;Schulzentrum Hacheney;081;;;393944.99;5703926.56;Dortmund
51.58509686025877, 7.35629611249902;;;;;;;;;;;;;;386122.16;5716173.17;Dortmund
51.5093307885914, 7.444488948008914;;;;;10;Innenstadt-West;020;Dorstfelder Brücke;022;Dorstfelder Brücke;013;Dorstfelder Brücke;013;392052.74;5707613.92;Dortmund
51.49321967277879, 7.524526378437223;;;;;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;;;397570.67;5705707.27;Dortmund
51.500907611142274, 7.421805430058089;;;;;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;390458.47;5706710.93;Dortmund
51.49568519700404, 7.561620531846441;;;;;4;Aplerbeck;410;Aplerbeck;411;Aplerbecker Straße;071;;;400151.06;5705930.2;Dortmund
51.55052850125848, 7.5437168644972985;;;;;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;399029.67;5712053.66;Dortmund
51.54668270619554, 7.377066857091917;;;;;9;Mengede;960;Westerfilde;960;Westerfilde;121;Bodelschwingh/Westerfilde;121;387466.286;5711869.195;Dortmund
51.49371790688522, 7.524566472573743;;;;;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;;;397574.57;5705762.62;Dortmund
51.47412152443548, 7.507506485726153;;;;;5;Hörde;510;Benninghofen;512;Loh;081;;;396345.89;5703607.42;Dortmund
51.57075572819565, 7.3661299674741185;;;;;9;Mengede;940;Oestrich;940;Oestrich;122;;;386767.78;5714563.099;Dortmund
51.48939740476218, 7.491852569934081;;;;;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;395293.77;5705328.44;Dortmund
51.511008831994026, 7.473303802123015;;;;;10;Innenstadt-West;000;City;004;Cityring-Ost;011;;;394056.18;5707758.42;Dortmund
51.44471575893772, 7.4579559610417645;;;;;6;Hombruch;620;Bittermark;620;Bittermark;093;;;392835.92;5700408.7;Dortmund
51.53180048862799, 7.458844483454825;;;;;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;393101.54;5710091.58;Dortmund
51.49203661587848, 7.41863188341032;;;;;6;Hombruch;640;Eichlinghofen;642;Universität;091;;;390216.896;5705729.196;Dortmund
