st_transform,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel,id,reinigungsklasse,fahrbahnwinterdienst,laenge,kehrmeter,kehrmeter_pro_jahr
"MULTILINESTRING ((12.099301 54.089139,12.100428 54.090392,12.101039 54.09062))",79a03376-23a0-4c12-8a06-8a5272481a3e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stralsunder Str.,"08790",0000008790-001,6,C,205.13,474.38,24667.95
"MULTILINESTRING ((12.128767 54.076981,12.128803 54.077045,12.128805 54.077085,12.128808 54.077118,12.12877 54.077162,12.128719 54.077194,12.128633 54.077218,12.128508 54.077227,12.128345 54.077234,12.128336 54.077195,12.128327 54.077113,12.128332 54.077059,12.128371 54.077002,12.128436 54.076966,12.128535 54.076936,12.128675 54.076945,12.128767 54.076981,12.128976 54.076846,12.129672 54.076378,12.128559 54.076137,12.128428 54.076124,12.128317 54.076127,12.128218 54.076151,12.126721 54.076584,12.126632 54.076605,12.126569 54.076597,12.126526 54.076581,12.12647 54.076535,12.126146 54.076116),(12.129397 54.075329,12.12993 54.075186,12.130236 54.07566,12.130278 54.075763,12.130282 54.075839,12.130261 54.075909,12.130224 54.075984,12.130122 54.076085,12.129783 54.076315,12.129672 54.076378),(12.125143 54.078807,12.125219 54.078784,12.125487 54.07869,12.126321 54.078367,12.126674 54.078219,12.127179 54.077989,12.127362 54.077894,12.127623 54.077734,12.128135 54.077379,12.128345 54.077234))",423d35ee-338a-406b-b197-ae3df41dfa94,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Platz der Freundschaft,"07650",0000007650-001,6,A,941.80,2178.01,113256.35
"MULTILINESTRING ((12.13295 54.090962,12.134231 54.091032))",1de24a8e-6a1b-4d35-98c8-b141319699a3,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Auf der Huder,"00930",0000000930-001,6,B,84.18,194.67,10123.08
"MULTILINESTRING ((12.0725376529988 54.144749432899,12.0724129183164 54.1447388169815,12.0722857025674 54.1447094257392,12.0721846282578 54.1446650153056,12.0719725084012 54.1445616459685,12.0718881556065 54.1445409432038,12.0717993703038 54.1445232077643,12.0716946804252 54.1445112315336,12.0713264936706 54.1445063293887,12.0711329217945 54.144509139172,12.0710235402086 54.1445274414144,12.0709198531681 54.1445648762503,12.0708610262806 54.1446162997261,12.0708374030889 54.1446723741685,12.0708306580692 54.1447550314914,12.0708307910681 54.1448329232133,12.0708310641241 54.1449928393173,12.0708544981983 54.1450947047593,12.0709080103019 54.1451564835727,12.0709587351818 54.145199038118,12.0710230919287 54.1452487718454,12.0711093373525 54.1453017268685,12.0712229555773 54.1453433457191,12.0712988982242 54.1453670186695,12.0714706407648 54.145393060416,12.0716227675161 54.1454026727643,12.0721138392316 54.145404805219,12.0725205856952 54.1454031233662))",02afb3c5-2e9e-4d7d-a680-a3614caae7ea,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bootsbauerweg,"01480",0000001480-001,6,C,298.31,689.87,35873.33
"MULTILINESTRING ((12.141227 54.084613,12.142591 54.084753,12.143609 54.084858,12.143663 54.084513))",182622bf-e326-425d-bc3b-2baab73b7415,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lindenstr.,"06640",0000006640-001,6,C,196.82,455.17,23668.63
"MULTILINESTRING ((12.098156 54.089488,12.099301 54.089139,12.100439 54.088776,12.101586 54.088428))",a632729d-5bc9-4f8b-907f-979440c5738a,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Soester Str.,"08610",0000008610-001,6,C,253.59,586.45,30495.52
"MULTILINESTRING ((12.126046 54.085628,12.126582 54.085691,12.128063 54.085926,12.12842 54.085982,12.128818 54.086016,12.129099 54.086026,12.129295 54.086026,12.129471 54.086015,12.129723 54.085989,12.130041 54.085952,12.130377 54.085913,12.130566 54.085885,12.131255 54.08572,12.131803 54.085588,12.132142 54.085513,12.132596 54.085441,12.13293 54.085404,12.133353 54.085378,12.134208 54.085362,12.135154 54.085346,12.136265 54.085346,12.136608 54.085344,12.137111 54.085365,12.137938 54.085419,12.139013 54.08551,12.139904 54.085612,12.140841 54.085738,12.141091 54.085747),(12.131715 54.084946,12.131716 54.085034,12.131741 54.085076,12.131777 54.085101,12.131884 54.085139,12.131988 54.085176,12.132074 54.085222),(12.132189 54.085504,12.132092 54.0853,12.132077 54.085256,12.132077 54.085222,12.132113 54.085191,12.132376 54.084945,12.132405 54.084896,12.132415 54.084846,12.132393 54.08455))",84a790e4-c6dd-46ae-a0f7-f9a2915e5023,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",August-Bebel-Str.,"00940",0000000940-001,5,A,1160.30,2683.31,418596.33
"MULTILINESTRING ((12.089265 54.09444,12.089945 54.093785,12.090597 54.093161,12.091073 54.092699,12.091248 54.092542,12.091927 54.091891),(12.087788 54.095646,12.088052 54.095455,12.088409 54.095202,12.088618 54.095048,12.088882 54.094786,12.089264 54.094441))",e8bfbd44-4cf0-4c3c-a069-d85d2e6a517e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Mozartstr.,"07070",0000007070-001,6,B,498.57,1152.99,59955.64
"MULTILINESTRING ((12.079465 54.086721,12.079424 54.08686,12.079693 54.087414,12.079982 54.087886,12.080272 54.088282,12.080401 54.08844,12.080551 54.088597,12.080875 54.088798))",5fcc823e-de80-408e-9d64-188af9d39cd9,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Asternweg,"00910",0000000910-001,6,B,254.04,587.49,30549.63
"MULTILINESTRING ((12.073378049495 54.1570205980938,12.0746179613532 54.1570400499529,12.0747004713795 54.157042604149,12.0748821702141 54.1570443779016,12.0749709363646 54.1570359674893,12.0751006879383 54.1570067783106,12.0752028497457 54.156957302297,12.0753713675362 54.1568657393482,12.0755284084137 54.1567764293744,12.0756071250319 54.1567135815011,12.0756570692297 54.156653446876,12.0756748511514 54.156583719528,12.0756792436097 54.1563904700067,12.0756872013593 54.1562217446752),(12.0750317076785 54.1553452225414,12.0753239179825 54.1555187914561,12.0755919331793 54.155685187619,12.0756497590785 54.1557509144922,12.075679707692 54.1558060576956,12.0757058625203 54.1558791713646,12.0756872013593 54.1562217446752,12.075039247847 54.1562131663105,12.0741979630779 54.1562010203294),(12.0747689315438 54.157572620091,12.0744448884069 54.1575798284855,12.0743272693964 54.1576324578101,12.0744771574373 54.1577338848261,12.0745286901393 54.1577042954362,12.0746716704167 54.1576245183819,12.0747689315438 54.157572620091,12.0748421710106 54.157526845807,12.0748839971417 54.15746267374,12.0748821702141 54.1570443779016),(12.0730235979265 54.1553170797193,12.0732055043843 54.1552673772997,12.0733929243815 54.1552197375732,12.0736900456595 54.1551465157581,12.0738254613545 54.1551205587311,12.0740564112419 54.1551071204749,12.0742604493988 54.1551091509387,12.0744663729043 54.1551382218651,12.0747109172753 54.1551941307676,12.0748187437621 54.1552324256638,12.0747882335996 54.1552894034668,12.0747847997948 54.1553374702381,12.0747995719676 54.1553806743128,12.0748198310123 54.1554108481108,12.0748804778894 54.1554291378487,12.0749502736598 54.155428016324,12.0750090311835 54.15541719887,12.0750336218365 54.1553879853995,12.0750317076785 54.1553452225414,12.0749768501925 54.1553119259192,12.0748896770146 54.1552680482093,12.0748187437621 54.1552324256638))",ceac1e47-ec3b-47a6-9d08-8ad229182ce7,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Baggermeisterring,"01050",0000001050-001,6,C,745.01,1722.91,89591.33
"MULTILINESTRING ((12.142201 54.081982,12.142742 54.082083,12.143051 54.082122,12.143188 54.082128,12.143333 54.082111,12.143976 54.081991,12.144314 54.081909,12.14439 54.081902,12.144455 54.08191,12.144714 54.081972,12.145161 54.081725,12.145291 54.081566,12.145389 54.081272))",bb6dc5d5-dadc-48b4-b6f6-6446abb73f9f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ferdinandstr.,"02380",0000002380-001,6,B,265.40,613.76,31915.73
"MULTILINESTRING ((12.133149 54.089836,12.133197 54.089473,12.133221 54.089379,12.133257 54.089218,12.13335 54.088689,12.133393 54.088423))",bef792e2-5f73-4f3c-8b56-0ebdbc5e6568,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Pädagogienstr.,"07460",0000007460-001,4,A,158.12,365.67,57044.26
"MULTILINESTRING ((12.138481 54.088691,12.138792 54.088034,12.138765 54.088002,12.139188 54.087323))",2ec9d6d8-d680-47d0-8238-1fd50bfb544a,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kistenmacherstr.,"05960",0000005960-002,5,A,160.37,370.87,57855.98
"MULTILINESTRING ((12.059802 54.114044,12.059759 54.11261))",d4b21194-441d-4290-b7ac-8ab0dd9ee886,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Anne-Frank-Weg,"12360",0000012360-001,7,B,159.65,369.21,9599.37
"MULTILINESTRING ((12.077043 54.153854,12.080713 54.154118,12.082038 54.154186,12.083192 54.154233,12.084335 54.154233,12.086422 54.154243,12.086775 54.154242))",e01a860b-ed88-482b-85f8-42fc7a08aca3,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Groß Kleiner Allee,"03080",0000003080-002,6,A,638.16,1475.81,76742.06
"MULTILINESTRING ((12.059082 54.153976,12.059126 54.154182,12.059331 54.154828,12.059346 54.155005,12.059412 54.155311,12.059463 54.155475,12.059561 54.15567,12.059587 54.155739,12.059661 54.155978,12.059923 54.156889,12.059946 54.157008,12.060105 54.158022,12.060134 54.158153))",5f377595-e5cd-41be-9af7-5800dc20126d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Sternberger Str.,"03330",0000003330-001,6,A,470.64,1088.40,56596.91
"MULTILINESTRING ((12.135332 54.069536,12.13771 54.069534,12.137917 54.069582,12.138021 54.069679,12.138044 54.070531,12.13788 54.070859,12.137839 54.07103,12.138441 54.071674,12.138421 54.071868,12.138173 54.071966,12.137367 54.07221))",259f7da2-e2a9-4b2d-b85b-d161ecd7dcc6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Zur Mooskuhle,"10600",0000010600-002,7,A,517.48,1196.72,31114.83
"MULTILINESTRING ((12.04368 54.136023,12.046036 54.136024,12.046031 54.136502,12.046018 54.136966),(12.046021 54.137434,12.046018 54.136966),(12.046036 54.136024,12.047268 54.136027,12.047906 54.136017))",edccdd10-9681-470b-ba76-85af620cc665,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gedser Str.,"02770",0000002770-001,6,C,433.21,1001.84,52095.76
