deviceId;name;Standort;refDeviceGroup;location;deviceType;locationId;customProperties;isEnabled;letzte Statusänderung;Belegungsstatus;geo_point_2d
946c0bde-7c4f-4f9b-84dd-8b87b553eb6e;DE*MVV*E00501*L1;"SCS PSID: 146733
Diakoniekirche Mannheim Lutherstrasse
PLID: 3792";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.463269562, 49.49887286], ""type"": ""Point""}";extern;aa575db5-b71e-4d5b-8bbc-6098ec0727bb;{};1;;;49.49887286, 8.463269562
1dc98fa1-ee2d-4fce-bfe1-61d84e6fd300;DE*MVV*E00199*R1;"SCS PSID: 146735
Uniklinikum
PLID: 3794";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.491705316, 49.48973054], ""type"": ""Point""}";extern;3ff34963-fa74-49bc-9c8f-984b5d400773;{};1;;;49.48973054, 8.491705316
b5c49b2c-5555-4842-923e-c1b61abaa84e;DE*MVV*E00130*L1;"SCS PSID: 149927
Schwertlilienweg
PLID: 3796";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.549671385, 49.50029441854967], ""type"": ""Point""}";extern;8e0ec472-32cd-4f51-aa22-85db72fbad73;{};1;;;49.50029441854967, 8.549671385
78a7d5c2-b6ef-4521-b54c-5a8068addcd6;DE*MVV*E00112*L1;"SCS PSID: 149927
Wallstadt Brunnen
PLID: 3796";5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.54966202, 49.5003075], ""type"": ""Point""}";extern;0f2301cf-d806-4dd7-a7b2-aaf7ce5997f7;{};1;;;49.5003075, 8.54966202
0231588c-644c-4426-8fab-b87896aba084;DE*MVV*E00518*L1;PLID: 3877, PSID: 152087,  Mannheim Wilhelm-Varnholt-Allee;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.509153876429835, 49.4719142698877], ""type"": ""Point""}";extern;;{};1;;;49.4719142698877, 8.509153876429835
bb0abab7-5852-4416-acd3-f5438aa20d01;DE*MVV*E00516*R1;PLID: 3877, PSID: 152083,  Mannheim Wilhelm-Varnholt-Allee;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.509252257569518, 49.47185587754119], ""type"": ""Point""}";extern;;{};1;;;49.47185587754119, 8.509252257569518
75472be8-7a74-4e5a-997e-7e238a3c984c;DE*MVV*E00138*L1;PLID: 3808, PSID: 146749,  MVV Buchen In der vorderen Wanne;5eb25c865eefeb0047cc22ee;"{""coordinates"": [9.335137979794808, 49.52663283794114], ""type"": ""Point""}";extern;;{};1;;;49.52663283794114, 9.335137979794808
91818549-7f51-42d5-91fe-334575064cff;DE*MVV*E00508*R1;PLID: 3801, PSID: 149936, Lilienthal Center Mannheim Amselstr. 10;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.45666535087113, 49.54739119520734], ""type"": ""Point""}";extern;;{};1;;;49.54739119520734, 8.45666535087113
6d1c0212-8398-465e-a0c6-50fe7990d19d;DE*MVV*E00508*L1;PLID: 3801, PSID: 149935, Lilienthal Center Mannheim Amselstr. 10;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.456659070346394, 49.54744510206497], ""type"": ""Point""}";extern;;{};1;;;49.54744510206497, 8.456659070346394
e2447006-04d5-46f4-badf-84a6f6a6e248;DE*MVV*E00519*R1;PLID: 3805, PSID: 146746, Plankstadt Neubaugebiet Plankstadt Bertha-Benz-Str.;5eb25c865eefeb0047cc22ee;"{""coordinates"": [8.586150408374616, 49.401606391145215], ""type"": ""Point""}";extern;;{};1;;;49.401606391145215, 8.586150408374616
