Berufsbezeichnung,Datum,In_Neuordnung,Ministerium,Anzahl
Fachkraft für Lederherstellung und Gerbereitechnik,2015-07-02T00:00:00Z,Nein,BMWK,6
Fachkraft für Lederverarbeitung,2011-02-14T00:00:00Z,Nein,BMWK,4
Fachkraft für Metalltechnik,2013-04-02T00:00:00Z,Nein,BMWK,1496
"Fachkraft für Möbel-, Küchen- und Umzugsservice",2012-07-11T00:00:00Z,Nein,BMWK,450
Fachkraft für Schutz und Sicherheit,2008-05-21T00:00:00Z,Nein,BMWK,1208
Fachkraft für Straßen- und Verkehrstechnik,2000-07-21T00:00:00Z,Nein,BMWK,22
Fachkraft für Veranstaltungstechnik,2022-06-14T00:00:00Z,Nein,BMWK,1281
Fachkraft für Wasserwirtschaft,2000-07-21T00:00:00Z,Nein,BMWK,2
Fachkraft im Fahrbetrieb,2017-10-16T00:00:00Z,Nein,BMWK,470
Fachkraft Küche,2022-04-04T00:00:00Z,Nein,BMWK,544
Fachlagerist/-in,2004-07-26T00:00:00Z,Nein,BMWK,5634
Fachmann/-frau für Restaurants und Veranstaltungsgastronomie,2022-03-09T00:00:00Z,Nein,BMWK,3908
Fachmann/-frau für Systemgastronomie,2022-03-09T00:00:00Z,Nein,BMWK,876
Fachverkäufer /-in im Lebensmittelhandwerk,2006-03-31T00:00:00Z,Nein,BMWK,3682
Fahrradmonteur/-in,2004-05-18T00:00:00Z,Nein,BMWK,261
Fahrzeuginterieur-Mechaniker/-in,2020-10-13T00:00:00Z,Nein,BMWK,72
Fahrzeuglackierer/-in,2003-07-29T00:00:00Z,Nein,BMWK,2012
Fassadenmonteur/-in,1999-05-19T00:00:00Z,Nein,BMWK,2
Feinoptiker/-in,2002-07-22T00:00:00Z,Ja,BMWK,138
Feinpolierer/-in,1937-01-01T00:00:00Z,Nein,BMWK,4
Feinwerkmechaniker/-in,2010-07-07T00:00:00Z,Nein,BMWK,1416
Fertigungsmechaniker/-in,2013-04-02T00:00:00Z,Nein,BMWK,686
Feuerungs- und Schornsteinbauer/-in,2009-02-20T00:00:00Z,Ja,BMWK,24
Figurenkeramformer/-in,1995-01-24T00:00:00Z,Nein,BMWK,2
Flachglastechnologe/-in,2018-04-03T00:00:00Z,Nein,BMWK,51
Flechtwerkgestalter/-in,2006-03-31T00:00:00Z,Nein,BMWK,0
Fleischer/-in,2016-12-30T00:00:00Z,Nein,BMWK,1100
"Fliesen-, Platten- und Mosaikleger/-in",2009-02-20T00:00:00Z,Ja,BMWK,1132
Florist/-in,2017-07-05T00:00:00Z,Ja,BMWK,794
