Jahr;Anzahl;Museum
2021;50326;Historisches Museum Frankfurt
2021;12283;Institut für Stadtgeschichte
2021;43871;Jüdisches Museum Frankfurt (7)
2021;5056;Junges Museum Frankfurt (8)
2021;15371;Liebieghaus Skulpturensammlung
2021;28420;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2021;6994;Museum der Weltkulturen (10)
2021;25551;Museum für Kommunikation Frankfurt (11)
2021;28690;Museum MMK für Moderne Kunst (12)
2021;6649;Portikus
2021;101463;Schirn Kunsthalle Frankfurt (13)
2021;220740;Senckenberg Naturmuseum Frankfurt (14)
2021;161414;Städel Museum (mit Städtischer Galerie)
2021;9238;StadtWaldHaus & Fasanerie
2021;0;Steinhausen-Museum
2021;7681;Struwwelpeter Museum (15)
2021;0;Verkehrsmuseum Frankfurt am Main
2022;20472;Archäologisches Museum Frankfurt (1)
2022;13770;Bibelhaus Erlebnis Museum (2)
2022;23989;Caricatura Museum Frankfurt (3)
2022;61096;Deutsches Architekturmuseum (4)
2022;149514;DFF – Deutsches Filminstitut & Filmmuseum e. V.
2022;22123;Dommuseum Frankfurt
2022;75733;Experiminta ScienceCenter FrankfurtRheinMain
2022;16000;Frankfurter Feldbahnmuseum e. V. (5)
2022;95417;Frankfurter Goethe-Museum
2022;31066;Geldmuseum der Deutschen Bundesbank
2022;0;Heimatmuseum Bergen-Enkheim (5)(6)
2022;316;Heimat- und Geschichtsverein Nied e. V.
2022;346;Heimat- und Geschichtsverein Schwanheim
2022;476;Hindemith Kabinett im Kuhhirtenturm
2022;3400;Historische Eisenbahn Frankfurt e. V. (5)
2022;95858;Historisches Museum Frankfurt
2022;30022;Institut für Stadtgeschichte
2022;74027;Jüdisches Museum Frankfurt (7)
2022;22866;Junges Museum Frankfurt (8)
2022;31751;Liebieghaus Skulpturensammlung
2022;75940;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2022;13892;Museum der Weltkulturen (10)
2022;77623;Museum für Kommunikation Frankfurt (11)
2022;83872;Museum MMK für Moderne Kunst (12)
2022;45594;Portikus
2022;249786;Schirn Kunsthalle Frankfurt (13)
2022;418374;Senckenberg Naturmuseum Frankfurt (14)
2022;330005;Städel Museum (mit Städtischer Galerie)
2022;24820;StadtWaldHaus & Fasanerie
2022;0;Steinhausen-Museum
2022;18602;Struwwelpeter Museum (15)
2022;0;Verkehrsmuseum Frankfurt am Main
2023;30754;Archäologisches Museum Frankfurt (1)
2023;15376;Bibelhaus Erlebnis Museum (2)
2023;83048;Caricatura Museum Frankfurt (3)
2023;28280;Deutsches Architekturmuseum (4)
2023;142997;DFF – Deutsches Filminstitut & Filmmuseum e. V.
2023;34644;Dommuseum Frankfurt
2023;131942;Experiminta ScienceCenter FrankfurtRheinMain
2023;12000;Frankfurter Feldbahnmuseum e. V. (5)
2023;127888;Frankfurter Goethe-Museum
2023;44144;Geldmuseum der Deutschen Bundesbank
2023;0;Heimatmuseum Bergen-Enkheim (5)(6)
2023;469;Heimat- und Geschichtsverein Nied e. V.
2023;755;Heimat- und Geschichtsverein Schwanheim
2023;417;Hindemith Kabinett im Kuhhirtenturm
2023;4300;Historische Eisenbahn Frankfurt e. V. (5)
2023;144490;Historisches Museum Frankfurt
2023;45026;Institut für Stadtgeschichte
2023;85389;Jüdisches Museum Frankfurt (7)
2023;30093;Junges Museum Frankfurt (8)
2023;64768;Liebieghaus Skulpturensammlung
2023;90463;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2023;28691;Museum der Weltkulturen (10)
2023;114232;Museum für Kommunikation Frankfurt (11)
2023;88147;Museum MMK für Moderne Kunst (12)
2023;41231;Portikus
2023;502961;Schirn Kunsthalle Frankfurt (13)
2023;455031;Senckenberg Naturmuseum Frankfurt (14)
2023;287126;Städel Museum (mit Städtischer Galerie)
2023;22659;StadtWaldHaus & Fasanerie
2023;164;Steinhausen-Museum
2023;30168;Struwwelpeter Museum (15)
2023;23748;Verkehrsmuseum Frankfurt am Main
2024;19715;Archäologisches Museum Frankfurt (1)
2024;15550;Bibelhaus Erlebnis Museum (2)
2024;102484;Caricatura Museum Frankfurt (3)
2024;17335;Deutsches Architekturmuseum (4)
2024;156350;DFF – Deutsches Filminstitut & Filmmuseum e. V.
2024;24214;Dommuseum Frankfurt
2024;124304;Experiminta ScienceCenter FrankfurtRheinMain
2024;15000;Frankfurter Feldbahnmuseum e. V. (5)
2024;133320;Frankfurter Goethe-Museum
2024;47125;Geldmuseum der Deutschen Bundesbank
2024;0;Heimatmuseum Bergen-Enkheim (5)(6)
2024;612;Heimat- und Geschichtsverein Nied e. V.
2024;414;Heimat- und Geschichtsverein Schwanheim
2024;521;Hindemith Kabinett im Kuhhirtenturm
2024;3100;Historische Eisenbahn Frankfurt e. V. (5)
2024;147136;Historisches Museum Frankfurt
2024;36411;Institut für Stadtgeschichte
2024;80236;Jüdisches Museum Frankfurt (7)
2024;24505;Junges Museum Frankfurt (8)
2024;36748;Liebieghaus Skulpturensammlung
2024;109080;Museum Angewandte Kunst (mit Ikonenmuseum) (9)
2024;19497;Museum der Weltkulturen (10)
2024;103391;Museum für Kommunikation Frankfurt (11)
2024;56461;Museum MMK für Moderne Kunst (12)
2024;39132;Portikus
2024;292147;Schirn Kunsthalle Frankfurt (13)
2024;424388;Senckenberg Naturmuseum Frankfurt (14)
2024;388274;Städel Museum (mit Städtischer Galerie)
2024;22046;StadtWaldHaus & Fasanerie
2024;255;Steinhausen-Museum
2024;28897;Struwwelpeter Museum (15)
2024;21000;Verkehrsmuseum Frankfurt am Main
