Hauptprobenummer;Bezeichnung;Probe-Entnahmeart;Probenahme-Beginn Datum;Probenahme-Beginn Zeit;Probenahme-Ende Datum;Probenahme-Ende Zeit;Umweltbereich;Messprogrammgruppe;Entnahmestelle;Herkunftsstaat;Methode;Pruefmerkmal;Ergebnis;Einheit
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Thorium-228 Th-228;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Uran-235 U-235;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Uran-238 U-238;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Natrium-22 Na-22;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Chrom-51 Cr-51;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Mangan-54 Mn-54;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Cobalt-57 Co-57;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Cobalt-58 Co-58;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Eisen-59 Fe-59;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Zink-65 Zn-65;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Selen-75 Se-75;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Strontium-85 Sr-85;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Yttrium-88 Y-88;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Zirkon-95 Zr-95;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Niob-95 Nb-95;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Technetium-99m Tc-99m;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Ruthenium-103 Ru-103;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Ruthenium-106 Ru-106;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Silber-110m Ag-110m;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Indium-111 In-111;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Antimon-124 Sb-124;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Antimon-125 Sb-125;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Tellur-123m Te-123m;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Tellur-132 Te-132;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Barium-140 Ba-140;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Lanthan-140 La-140;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Cer-139 Ce-139;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Cer-141 Ce-141;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Cer-144 Ce-144;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Thallium-201 Tl-201;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Actinium-227 Ac-227;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Neptunium-239 Np-239;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Americium-241 Am-241;n.n.;Bq/kg(TM)
201400407;Rapsschrot;Einzelprobe;07.10.2014;12:00;07.10.2014;12:00;Schrote;IMIS Routinemessprogramm;hhlm11;Deutschland;Gammaspektrometrie (fest - TM);Messzeit;250000;s
