Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5732371413, 7.4682906642;2213;Klettergeräte;Klettergeräte;1;Eving;110;Brechten;112;Brechten-Süd;041;Brechten/Holthausen;;
51.5473082403, 7.3678576853;2220;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5473158988, 7.3678028438;2221;Sitzgelegenheiten;Sitzgelegenheiten;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.4759351331, 7.4491264315;2223;Sandbaustelle;Sandspielgeräte;6;Hombruch;650;Hombruch;651;Hombruch;091;Barop/Brünninghausen/Hombruch;;
51.5720239212, 7.4668715285;2228;Klettergerät;Klettergeräte;1;Eving;110;Brechten;112;Brechten-Süd;041;Brechten/Holthausen;;
51.5806748938, 7.4624947034;2230;Balancierbrett - zweiteilig;Balanciergeräte;1;Eving;110;Brechten;111;Brechten-Nord;041;Brechten/Holthausen;;
51.5065246532, 7.3717848639;2234;Balanciergerät;Balanciergeräte;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten
51.5528005242, 7.4957046233;2244;Fussballanlage;Ballsportanlagen;1;Eving;120;Eving;123;Obereving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5529600456, 7.4958216681;2246;Basketballkorb 4;Ballsportanlagen;1;Eving;120;Eving;123;Obereving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5169297129, 7.3590744066;2247;Schulsportanlage;Sandspielgeräte;8;Huckarde;840;Kirchlinde;843;Hangeney;112;Rahm/Kirchlinde;;
51.5175110214, 7.3600647614;2249;Basketballkorb;Ballsportanlagen;8;Huckarde;840;Kirchlinde;843;Hangeney;112;Rahm/Kirchlinde;;
51.51710356, 7.3587895013;2251;Tischtennisplatte;Tischtennisplatten;8;Huckarde;840;Kirchlinde;843;Hangeney;112;Rahm/Kirchlinde;;
51.5306335282, 7.4629177051;2253;Sitzgelegenheit mit Betontisch;Sitzgelegenheiten;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt
51.5299078725, 7.4627051419;2258;Sitzgelegenheit;Sitzgelegenheiten;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt
51.502760808, 7.3372380581;2265;Sitzgelegenheiten;Sitzgelegenheiten;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.553444645, 7.3629770761;2270;Torwand;Ballsportanlagen;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5535126834, 7.3628747053;2272;Tischtennisplatten;Tischtennisplatten;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5533593313, 7.3640232048;2281;Seilspielgeräte (z.B. BSF);Seilspielgeräte (z.B. BSF);9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5536502955, 7.3636022392;2282;Tischtennisplatten;Tischtennisplatten;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5483331091, 7.3767298767;2287;Tischtennisplatten;Tischtennisplatten;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5474688721, 7.3799529623;2294;Klettergeräte;Klettergeräte;9;Mengede;960;Westerfilde;960;Westerfilde;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.547455434, 7.3802335331;2295;Balanciergeräte;Balanciergeräte;9;Mengede;960;Westerfilde;960;Westerfilde;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.521291752, 7.4718822489;2303;Tischtennisplatte;Tischtennisplatten;20;Innenstadt-Nord;050;Nordmarkt;052;Nordmarkt-Südost;022;Nordmarkt;022;Nordmarkt
51.5201604673, 7.4453709657;2313;Basketballkorb 1;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.519965051, 7.4452173247;2318;Bolzplatztor 2;Bolzplatztore;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5202349232, 7.4461484044;2320;Tischtennisplatte 2;Tischtennisplatten;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5368587464, 7.4388998653;2321;Basketballkorb 1;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5370026602, 7.438840875;2322;Basketballkorb 2;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5096334239, 7.4603263439;2328;Hängematte;Seilspielgeräte (z.B. BSF);10;Innenstadt-West;000;City;003;Cityring-West;011;City;;
51.5253687544, 7.4641953401;2332;Tischtennisplatte 1;Tischtennisplatten;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt
51.5249490245, 7.4826246386;2335;3er Reckstangen;Reckstangen;20;Innenstadt-Nord;060;Borsigplatz;061;Borsigplatz;023;Borsigplatz;023;Borsigplatz
51.5248356726, 7.4825449035;2336;Kletterwand;Klettergeräte;20;Innenstadt-Nord;060;Borsigplatz;061;Borsigplatz;023;Borsigplatz;023;Borsigplatz
