Jahr;Stadtbezirk;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate);Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Durchschnittsalter der Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter nicht-deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen - jahresscharf
2011;423;1,3;1,3;1,2;43,1;42,3;53,7;32,7;32,9;31,2;1,5;1,6;1,6
1995;112;1;0,9;0,8;35,7;35;52,2;29,8;30,2;26,5;1,1;1,2;0,3
1995;212;1;1;0,9;37,4;37,9;37,7;30,4;30,4;31;0,7;0,7;0,7
2016;570;;;;;;;;;;0;0;0
2012;560;1,5;1,5;0,2;42,2;40,4;538,5;31,5;31,5;31,6;1,5;1,8;0
2005;423;1;1,1;1;36,1;36,2;36,3;31,8;32,1;29,6;1,4;1,4;1,9
1998;231;1,2;1;1,7;48,5;43,2;79;27,7;28;26,7;0,9;0,8;1,5
2009;320;1,2;1,2;1,2;34,8;33,1;42,4;30,9;31,6;28,1;1,4;1,4;1,9
2001;220;1,1;1,1;1,5;44,5;42;67,1;30,9;31,2;29,4;1,1;1,1;1,4
2023;560;1,6;1,5;0,6;59,7;57,3;252,9;32,3;32,9;28,7;1,8;1,4;2,3
1992;310;;;;;;;;;;1,1;1,2;0,7
2005;231;1,2;1;1,7;44,4;36,7;82,6;28,4;29;26,9;1,2;1;2,5
1991;320;;;;;;;;;;1,1;1;1,5
2016;421;1,4;1,4;1,3;46,1;45,8;50,8;33,2;33,4;31,8;1,8;1,7;2,6
2024;560;1,7;1,5;0,5;59,7;56,5;303,8;32,1;32,8;28,4;1,6;1,5;2,8
2006;410;1;1;1,2;37,4;35,9;47;31,7;32,1;30;1;1;0,9
2023;211;1,5;1,6;1,3;54,9;55,2;54,6;32,9;32,9;32,4;1,5;1,6;0,9
1990;310;;;;;;;;;;1,1;1,1;1,3
2013;612;1,4;1,3;2;47,9;39,6;72,7;28,4;28,5;28,3;1,4;1,3;2,1
2019;560;1,5;1,5;0,5;50,3;50;94,3;31,6;32,3;26,7;1,5;1,3;1,2
2011;211;1,3;1,3;1,4;46,4;45,5;53,4;32,3;32,3;32,7;1;1,1;0,9
2015;540;1,5;1,4;2,1;53,4;47,1;70,3;29,3;28,9;29,9;2,1;2;2
1994;522;;;;;;;;;;1,4;1,5;3,1
2006;112;0,8;0,8;1;29;26,4;48,9;31,6;32;30,1;0,6;0,6;0,8
2007;212;1;1;0,9;32,9;33,9;28,7;31,8;32,1;30,3;1;1;1,1
2011;111;1;1;1,2;29,7;26,3;45,2;31,7;32,1;30,7;1,2;1,1;1,3
2019;660;1,7;1,5;2,2;59,6;51,7;74,3;29;29,1;28,9;1,8;1,6;2,3
2015;640;1,6;1,5;1,8;52,5;46,9;110,2;29,6;30;28,4;1,6;1,6;1,8
2002;320;1,3;1,3;1,3;43,4;42,2;49,6;30,6;31,2;27,9;1,6;1,6;1,2
2020;340;1,6;1,7;0,7;49,7;50,3;63,5;32,4;32,5;31,1;1,4;1,5;0,2
2024;660;1,5;1,4;1,9;53,6;46,4;67,5;30;30;30;1,2;1;1,7
2007;112;0,9;0,8;1;29,6;27,3;48;31,9;32,3;30,1;1;0,9;1,1
1994;422;;;;;;;;;;1;1;0,1
2020;211;1,7;1,7;1,7;59,6;58,4;67,2;32,4;32,6;31,6;1,7;1,8;1,3
2008;421;1,2;1,2;1,4;41,8;40,7;52,4;33;33,2;31,8;1,4;1,4;1,8
2019;640;1,6;1,4;2;56,2;47,9;91,8;29,9;30,6;28,6;1,4;1,3;2,4
2017;521;1,3;1,3;1,5;42,3;37,7;74,8;31,3;31,9;29,5;1,4;1,4;2,9
2003;240;1,4;1,3;1,8;45,7;41,6;82,8;30;30,5;27,7;1,3;1,1;2,4
2001;512;0,9;0,8;1,3;35,8;32,5;52,2;29,2;29,7;27,5;0,7;0,7;0,8
2004;423;1;1;1;35;34,7;38;31,5;31,9;29,2;0,9;1;0,6
1998;640;1,4;1,4;0,8;47,9;48,2;70,9;30,1;30,1;29,2;1,1;1,2;1,5
1996;231;1,1;1;1,6;45,7;41,9;70,9;27,4;27,6;26,8;1,3;1,2;2,3
2007;570;;;;;;;;;;0;0;0
1990;410;;;;;;;;;;1,2;1,1;2
2002;340;1,4;1,4;0,4;48;47,3;156,9;30,6;30,8;29,1;1,3;1,3;1,3
1992;410;;;;;;;;;;1;0,9;1,6
2021;660;1,7;1,5;2,1;58,7;51,3;73,2;29,4;29,6;29,2;1,6;1,4;2,2
1996;423;1;0,9;1,4;39;36,9;57,4;29,6;30,1;27,3;0,8;0,8;0,7
2001;320;1,3;1,2;1,4;42,8;41,1;51,1;30,5;31,1;28,1;1,1;1,1;1,3
1999;613;1,5;1,5;0,1;56,3;59,9;500;29,6;29,8;28,6;1,3;1,1;1
2008;212;1;1,1;1;33,7;34,6;30;31,9;32,1;30,6;1;1;0,9
2013;423;1,3;1,3;1,1;42,7;41,5;59,1;32,7;33;31,5;1,6;1,7;0,9
2001;612;1,3;1,1;2,1;46,9;38,8;78,3;28,6;29,3;27,3;1,4;1,1;2,1
2018;512;1,1;1,1;0,8;35,5;36,6;31;32;32,2;30,7;1,1;1,3;0,7
1991;612;;;;;;;;;;1,3;1,1;2,3
2017;621;1,5;1,4;1,8;52,9;49,8;68,4;31,8;32,4;29,9;1,6;1,4;2,4
2014;560;1,6;1,6;0,2;44,6;42,8;357,1;31,3;31,4;30,2;2,4;2,7;1,5
1995;630;1,3;1,2;0,8;47,3;46,4;141,2;29,2;29,4;27,1;1,2;1,1;2,1
2021;560;1,6;1,6;0,4;56,8;56,6;145,5;31,9;32,5;28,1;2,4;2,3;2
2009;340;1,2;1,2;0,3;34,5;34,2;82,7;31,8;31,6;33,6;0,9;1;1
2016;670;1,7;1,6;2;52,4;49,2;68,4;31,7;31,9;31,2;1,7;1,8;2
2010;532;1;0,9;1,2;34,1;29,6;57;30,5;31,4;28,3;0,6;0,6;0,5
2020;111;1;1;1;31,4;29,3;42,7;32;32,6;30,4;1,2;1,4;1
2007;232;1,5;0,4;0,8;61,4;61,7;242,4;27;28,3;26,2;2;0,6;1,2
2007;670;1,9;1,8;2;59;55,7;79,9;31,4;31,9;29,4;1,6;1,5;2,4
2014;211;1,5;1,5;1,6;50,8;49,3;61,7;31,8;31,8;32;2,1;2;3,4
2007;424;1,2;1,1;1,6;41,4;36,8;63;31,1;31,8;29,1;1,4;1,4;1,7
2003;532;0,9;0,9;1,4;34,4;30,7;57,2;30,7;31,3;28,9;1;0,8;1,8
2012;640;1,5;1,4;1,7;46,9;40,5;130,9;29,3;29,8;27,9;1,7;1,7;3,2
2024;680;1,1;1,2;1,2;29,4;29,9;29;33,5;33,3;34,7;1,1;1;1,8
2011;231;1,2;1;2;43,2;34,2;80,2;28,9;28,5;29,6;1,4;1,2;2,1
2013;231;1,2;1;2;42;34,1;75,2;29,1;28,7;30;1;0,8;1,6
2006;424;1,2;1,1;1,7;41,4;36,2;67,1;31;31,8;28,8;1,2;1,1;1,7
2019;540;1,6;1,4;2;55,1;47,9;70,7;30;29,7;30,6;1,6;1,2;2,4
2022;680;1,2;1,2;1,2;30,2;30,8;28,2;33,4;33,4;33,6;0,9;1;1,1
2024;540;1,4;1,1;1,9;46,6;36,4;67,1;30,2;30,7;29,7;1;0,7;1,6
1997;512;1;0,9;1,6;39,2;36,4;59,2;28,6;29,1;26,6;1;1;0,9
2024;640;1,6;1,5;1,6;57,9;54,9;77,1;31,7;32,5;29,8;1,6;1,9;1,2
2005;211;1,3;1,3;1,3;45,7;45,1;51,9;32,8;33;31,5;1,4;1,5;0,9
1991;211;;;;;;;;;;0,9;0,9;0,3
2020;320;1,4;1,4;1,5;38,6;35,5;50;31,8;32,6;29,7;1,7;1,9;1,2
1991;111;;;;;;;;;;1,1;1,1;1,4
2016;630;1,7;1,7;1,6;58,5;57,9;68,1;30,4;30,6;29,5;1,6;1,7;1,8
2020;612;1,5;1,3;2,1;50,7;42,8;71,8;30,4;30,8;29,7;1,3;1,2;1,7
1992;330;;;;;;;;;;0,8;0,9;0
2001;240;1,4;1,3;2;48,9;45,5;85,6;30;30,4;27,9;1,4;1,3;2,6
2008;670;1,7;1,6;2,1;56;52,2;80;31,4;31,9;29,4;1,7;1,6;2,6
2007;630;1,5;1,5;1,2;48,3;45,8;119,5;29,8;30;28,4;2;2,1;2,7
2003;512;0,9;0,8;1,3;34,1;30,6;50;29,8;30,1;28,7;1;0,9;1,2
1993;211;;;;;;;;;;1;0,9;1,7
2002;423;1;0,9;1,1;36;35,2;42,2;31,3;31,6;29,5;1;1,1;0,7
2023;231;1,4;1,4;1,5;49,8;47,5;57,5;31,1;31,3;30,5;1,3;1,2;1,5
2002;231;1,2;1;2;48,4;41;86,7;28,2;29;26,5;1,1;1;2
1994;233;;;;;;;;;;1,2;0,9;2
1997;532;1;1;1,4;43,3;40,8;78,5;29,6;29,9;28,3;1;1;1
2006;570;;;;;;;;;;0;0;0
1995;613;1,2;1,3;;56,6;60,6;;29,4;29,6;28,6;2,8;2,9;0,3
2012;540;1,4;1,3;1,9;48,6;43,1;65,8;28,5;28,3;28,9;1,2;1,1;1,8
2004;340;1,2;1,3;0,3;40,2;40,5;161,8;31;30,9;31,7;1,2;1,3;1
1994;611;;;;;;;;;;1,1;1;2,3
1996;340;1,3;1,3;0,5;48,3;46,5;140,6;30,3;30,4;29,1;1,5;1,3;1,2
2016;424;1,5;1,5;1,8;52;47,8;69,3;31,7;32,1;30,4;1,5;1,5;2
2002;111;0,8;0,7;0,8;25,7;23,5;43,6;30,8;31,1;29,7;1;0,9;1,6
2018;220;1,3;1,4;1,3;44,9;43,6;49,1;31,6;32,2;29,7;1,3;1,4;1
1989;640;;;;;;;;;;1;1,1;0,5
2007;421;1,2;1,2;1,2;40,4;40;45,8;32,9;33;32,2;1,6;1,6;1,6
2010;240;1,4;1,3;1,7;42,1;39,2;61,7;29;29,2;28,1;1,4;1,3;3,2
2018;120;1,4;1,4;1,2;46,8;46,8;47,4;32,9;32,8;33,3;1,6;1,7;1,4
2002;211;1,2;1,1;1,2;43,7;42,7;52,3;32,5;32,8;30,9;1,1;1;2
1998;540;1,3;1,1;2,2;41,7;36,7;77,3;29,1;29;29,5;1,5;1,5;2
1993;560;;;;;;;;;;1,1;1,2;0
2006;613;1,1;0,8;0,8;42,2;40,3;123;28,8;28,4;29,7;1,2;1,1;0,8
2016;112;1,1;1,1;1,3;33,7;30,5;48;32,4;32,9;30,9;1;1;1,5
2007;613;0,9;0,7;0,7;36,6;34,8;78,3;28,2;27,5;29,5;1,3;0,4;0
2018;532;1,2;1,2;1,3;42,4;39,5;56,4;32;32,1;31,5;1,3;1,4;1,2
2015;680;1,4;1,4;1,3;36,4;37,3;32,7;32,7;32,8;32,1;1,6;1,6;1,4
2021;640;1,7;1,5;2;60,8;52,4;90,7;30,6;31,3;29,2;2;2,3;1,1
2013;211;1,4;1,4;1,2;46,9;46,5;51,3;32,1;32;32,6;1,5;1,7;0,7
1993;231;;;;;;;;;;1,4;1,3;1,4
2007;550;1,4;1,4;0,5;48,5;46,3;285,7;31,8;32,1;29,9;1,1;1,1;0,7
1995;570;;;;;;;;;;0;0;
2013;111;0,9;0,9;0,9;26,8;23,6;40,5;31,5;31,8;30,7;0,8;0,9;0,6
2007;650;1,7;1,6;1,3;55,4;50,9;155,9;30,5;30,6;29,8;1,8;1,5;3,2
2006;550;1,5;1,5;0,8;52,4;50;187,5;31,6;31,9;30;1,4;1,3;3
1995;670;;;;;;;;;;0;0;0
2022;660;1,6;1,5;2;57,1;50,8;69,5;29,6;29,7;29,5;1,4;1,3;1,6
2016;212;1,4;1,4;1,1;41,2;43,3;32,4;32,5;32,5;32,2;1,4;1,3;1,8
2004;320;1,3;1,3;1,1;41,9;41,1;45,2;30,6;31,3;27,7;1,2;1,3;0,9
2009;211;1,4;1,4;1,5;47,8;46,8;55,5;32,6;32,7;32,3;1,2;1,2;1,3
2001;111;0,8;0,7;0,9;26,5;24,2;44,2;30,4;30,9;28,6;0,8;0,6;1
2009;111;0,9;0,9;1;27,8;26,5;35,3;31,7;32,2;29,9;1,3;1,3;2,1
2008;521;1,2;1,2;0,4;36,4;37,2;43,1;31,9;32;31;1,3;1,3;1
1999;112;0,9;0,9;0,7;33,5;33,7;33,5;31;31,4;27,8;1,1;1,1;1,1
1995;421;1,1;1,1;1,1;40,4;40,4;41,5;31;31,2;29,2;1,1;1,1;2,1
2009;310;1,3;1,3;1,5;40,8;39,4;59,7;32,6;32,9;30,8;1,5;1,5;3,1
2004;422;1;1;0,8;34,8;35,1;36,8;32,5;32,6;31;1,1;1,1;0,9
2013;570;0;0;;0;0;;;;;0;0;0
1989;410;;;;;;;;;;1,2;1;4,2
2014;421;1,4;1,4;1,1;45,5;45;53,6;33,2;33,4;31,9;1,2;1,2;1,3
1991;112;;;;;;;;;;0,8;0,8;1,3
1997;310;1;1;1;38,4;38;59,4;30,6;30,7;29,7;1,4;1,2;2,3
1994;340;;;;;;;;;;1;1;1
2022;410;1,4;1,4;1,1;48,8;50,9;38,8;33,1;33,1;33,2;1;1,1;0,7
1993;650;;;;;;;;;;2,1;2;1,7
2008;560;1,4;1,3;0,4;38,2;34,9;545,5;31,2;31,4;29,6;2;1,6;3
1999;660;1,8;1,6;2,3;59,3;52,4;82,3;27,6;27,7;27,2;1,4;1,2;1,7
2023;310;1,4;1,4;1,1;41;43,8;28,2;33,4;33,5;32,8;1,5;1,6;1,8
2014;630;1,7;1,7;1,7;58,9;57,3;78,2;30,5;30,6;29,9;1,7;1,6;2,6
2001;611;1;0,9;1,4;38,1;34,6;57,9;28,9;29,7;26,5;1;0,9;1,8
2013;424;1,4;1,4;1,5;45,5;42,5;59,2;31,5;31,9;30,3;1,7;1,8;1,5
2020;233;1,4;1,4;1,6;50,4;47,7;57,1;31,1;31,1;30,9;1,2;1,1;2,2
2017;422;1,4;1,5;1;50,5;52,2;43;33,5;33,6;32,6;1,5;1,6;1,1
2022;550;1,3;1,3;0,7;43,7;43,3;68,2;31,9;32,2;29,9;1,3;1,2;0,6
1999;614;1,2;1,1;0,8;39,5;37,2;103,5;29,8;29,8;29,8;1,3;1,3;1,4
2021;513;1,3;1,3;1,4;45,3;43,7;51;31,6;32;30,2;1,5;1,3;2,1
1991;613;;;;;;;;;;1,3;1,2;0,8
2024;330;1,5;1,5;0,5;52,3;51,6;219,8;33,3;33,5;31,3;1,5;1,6;1
1995;531;1;1;1,2;39;37,6;46,4;28,1;28,2;27,9;1;0,9;1,2
2017;522;1,3;1,2;1,7;43,4;36,5;61,8;30,6;30,6;30,5;1,5;1,6;1,5
2024;430;1,5;1,7;0,6;51,7;58,1;46,7;33,4;33,5;32,7;1,5;1,8;1,4
2006;423;1,1;1,1;1,1;37,3;37,2;38,6;32,1;32,4;30,3;1,5;1,5;2,6
2009;233;1,4;1,2;1,8;52,8;45,4;73,6;29,1;29,4;28,6;1,6;1,3;3,4
2006;340;1,1;1,1;0,2;33,9;33,3;179,1;31,6;31,6;32,4;0,9;0,9;1,5
2011;232;1,3;0,6;1;57;43,7;159,3;26,5;27,6;26;0,9;0,3;2,3
2003;531;1,1;1;1,2;36,6;33,6;43,4;29,4;30;28,2;1;1,1;1
2007;423;1,1;1,1;1,1;37,9;37,6;40,3;32,1;32,4;30,2;1,1;1,1;1,8
1998;670;;;;;;;;;;2,5;2,3;2,7
2015;621;1,5;1,5;1,6;51,6;49,6;61,5;31,7;32,1;30,1;1,5;1,4;1,7
2014;212;1,3;1,3;1,1;38,7;39,8;34,1;32,3;32,4;32;1,5;1,6;1,3
1992;231;;;;;;;;;;1,1;1;2,4
2007;231;1,1;1;1,6;41,6;33,9;75,3;28,5;28,7;28;1,1;0,8;2,9
1997;410;1;0,9;1,6;40,9;38,1;63,7;30;30,3;28,7;1,1;1;1,9
2019;232;1,2;0,7;1,5;39,5;20,4;60,4;27,7;30,5;26,9;0,7;0,4;0,7
2016;531;1,4;1,2;1,6;39,2;33,6;49,7;30,1;30,3;29,7;1,1;1,2;1,1
2006;532;1;0,9;1,5;34,1;29;60,7;30,7;31,5;28,6;0,9;0,7;2,1
1989;550;;;;;;;;;;1,3;1,3;1,5
1999;531;1;1;1,2;37,1;34,4;46,1;29;29,4;27,9;1,1;0,8;1,6
1996;650;1,7;1,6;0;64,8;61,5;2400;29,6;30;26,2;1,6;1,7;0,6
1991;550;;;;;;;;;;0,7;0,8;0,5
1990;231;;;;;;;;;;0,7;0,6;1,2
2021;622;1,6;1,6;0,1;55,8;54;355,9;33,2;33,3;32,9;1,2;1;2,3
2015;120;1,3;1,3;1,1;41,8;41,3;45,8;32,4;32,3;32,9;1,1;1,1;1,2
2001;233;1,3;1,1;1,7;46;38,3;71;27,5;28,5;25,7;1;1;1,5
2022;424;1,5;1,4;1,9;53;48,4;69,9;32,3;33;30,4;1,4;1,4;1,9
2002;422;0,9;0,9;0,8;33,2;32,8;43;32,1;32,3;30,6;0,9;1;0,8
2011;570;;;;;;;;;;0;0;0
1995;614;1,2;1,1;0,8;41,5;40;115,7;28,6;28,5;29,1;0,7;0,6;0,9
2012;421;1,4;1,4;1,2;46,3;45,7;55,5;33,1;33,3;31,4;1,4;1,4;2
1994;612;;;;;;;;;;1,4;1,1;2,3
1996;670;;;;;;;;;;1,4;1,4;0,5
1993;232;;;;;;;;;;2,7;1,6;3,3
2021;310;1,4;1,5;1;41,8;45,4;25,3;33,3;33,4;32,4;1,6;1,7;1,2
2022;112;1,1;1,2;1,1;34;32,8;40,6;32,5;32,9;31,1;1,1;1;1,3
2021;410;1,4;1,5;1,2;49,7;51,9;40,1;33;33;33;1,4;1,4;1,5
1989;513;;;;;;;;;;1,4;1,1;3,5
2003;611;1;0,9;1,4;36,4;32,3;57,1;29,2;29,9;27,5;1,2;1,1;1,6
2006;220;1,3;1,3;1,5;47,6;44,7;65,8;31,6;31,8;30,7;1,2;1;1,8
2010;410;1,2;1,1;1,3;39,7;38;48,9;32,3;32,6;30,9;1,4;1,3;1,9
1993;212;;;;;;;;;;1,2;1,3;1,1
1989;613;;;;;;;;;;0,8;0,8;0
2001;614;1,2;1,2;1,1;42,2;39,9;95,7;29,9;30;29,1;1,4;1,5;1,2
1999;640;1,3;1,3;0,7;45,9;46,1;74,1;30,3;30,4;29,3;1,3;1,4;2
2016;611;1,3;1,2;1,6;45,7;40,3;62,8;30,2;30,6;29,3;1,3;1;1,8
2024;513;1,2;1,2;1,4;42,2;40;51,4;32,1;32,6;30,6;1;1,1;0,8
2012;521;1,4;1,4;1,4;43,6;41,4;68,4;31,3;31,6;30;1,2;1;3,1
2006;612;1,3;1,1;2,1;44,9;34,5;85,2;28,8;29,6;27,7;1,6;1,3;2,7
2002;522;1,3;1,2;1,1;45,5;42;78,8;28,9;29,6;26,7;1,5;1,5;1,8
1991;630;;;;;;;;;;1,3;1,3;2,5
2011;613;1,2;1,2;0,3;50,3;59,3;144,6;28;27,4;29,8;3,6;2,2;0,7
1996;570;;;;;;;;;;0;0;
2011;550;1,4;1,4;0,7;45,3;42,9;159,5;31,4;31,6;30,3;1,8;1,7;2,8
2005;233;1,4;1,3;1,8;50,7;44,2;69,9;28,5;29,4;26,6;1,7;1,9;1,5
1991;424;;;;;;;;;;1,2;1,2;1,4
2011;650;1,7;1,7;1,1;55;52,4;98,7;30,7;30,7;30,6;1,8;1,8;0,7
1994;320;;;;;;;;;;1,2;1,1;1,9
2000;640;1,4;1,4;0,7;47,8;48;76;30,3;30,4;29;2;2;3,2
2013;112;1;1;0,9;30,4;28,7;40,8;32,9;33,2;31,8;1,1;0,9;1,9
2012;670;1,7;1,6;2,2;52,2;47,7;76,3;31,5;31,8;30,6;1,3;1,2;1,8
2008;231;1,1;1;1,8;41;33,2;73,2;28,7;28,8;28,5;1,2;1,2;1,6
2006;512;0,9;0,9;1,2;33,5;30,3;45,9;30,1;30,4;29,4;0,9;0,9;1
1996;112;0,9;0,9;0,9;34,4;33;50,7;30;30,4;27,2;0,6;0,5;1,6
1996;421;1,1;1,1;1;40,1;39,8;45,5;31,1;31,4;29,1;1,1;1,1;1,7
2004;233;1,3;1,1;1,7;46,5;39,2;70;28,1;29;26,6;1,3;1,2;1,7
2014;232;1,3;0,8;1,2;53,9;56,5;100,2;27,7;29,2;26,8;1,8;2,6;2,3
2009;522;1,3;1;2;42;32,3;78,7;29,1;29;29,3;1,4;0,9;3
1998;521;1;1;0,9;36,9;34,5;91,5;29,3;30;25,2;0,8;0,8;2
2004;611;1;0,9;1,4;36,4;32;57,8;29;29,6;27,4;0,9;0,8;1,1
2000;660;1,8;1,6;2,3;59,2;51,6;83,1;27,6;27,8;27,1;1,7;1,6;2,2
1998;212;1;1;1;36,1;35,9;41;31,1;31,2;30,7;0,8;0,8;1
2008;540;1,4;1,4;1,7;45,3;41,9;59,3;28;28;28;1,4;1,4;1,4
2020;422;1,5;1,6;0,7;53,4;56;43,2;33,5;33,5;33,4;1,6;1,8;0,3
1996;613;1,3;1,4;;58,6;63,5;;29,9;30;28,6;2,1;2;1
2020;522;1,4;1,3;1,7;47,3;40,6;65;31,1;31,5;30,5;1,2;1,3;1,3
2010;513;1,1;1,1;1,3;38;34,7;48,9;30,7;31,2;29,6;1,4;1,3;1,8
1993;630;;;;;;;;;;1;1;0,5
2019;621;1,5;1,4;1,7;53,8;51,3;61,7;32,1;32,8;29,4;1,3;1,4;1,1
1997;330;1,2;1,1;0,2;47,6;47;458,3;29,3;29,3;29,3;1,7;1,7;1
2019;521;1,4;1,3;1,4;44,4;39,9;70,7;31,6;32,2;29,6;1,5;1,1;2,4
2011;421;1,3;1,4;1,1;44,5;44,2;48,5;33,1;33,3;31,7;1,4;1,4;1
2003;614;1,4;1,4;1,3;47,2;45,1;84;29,9;30,1;28,8;2,1;2;1,8
2006;320;1,2;1,2;1,2;38,4;36,5;48;30,8;31,7;27,7;1;0,9;1,9
2008;640;1,3;1,2;1,3;38,5;34,9;95,1;29,2;29,7;27,3;1,4;1,3;1,3
2022;430;1,7;1,9;0,7;59,1;65,8;55,4;33,7;33,9;32,5;1,5;1,6;1,9
2021;330;1,6;1,6;0,3;54,6;53,8;263,9;32,8;33,1;30,3;1,6;1,5;1,2
2011;670;1,7;1,6;2,1;54,4;49,9;79,5;31,4;31,8;30,3;1,6;1,5;2,4
2012;212;1,1;1,2;1,1;35,4;35,9;34,3;32,1;32,2;31,8;1,2;1,2;1,2
2023;330;1,6;1,6;0,5;53,7;52,9;339;33;33,4;29,9;1,3;1,2;0,8
1994;111;;;;;;;;;;0,5;0,5;1
1997;622;;;;;;;;;;0,8;0,7;1
2001;531;1,1;1;1,3;38,3;34,9;47,7;29,4;30;28,3;1,2;1;1,6
1996;212;1;1;0,8;36,8;37,1;39,2;30,6;30,6;31,3;0,9;0,8;1,8
1992;560;;;;;;;;;;1,2;1,3;0
2016;233;1,5;1,4;2;54;47,8;71,9;30,2;30,4;29,9;1,4;1,6;1,4
2001;422;0,9;0,9;0,7;32,8;32,5;44,4;31,9;32,1;30,6;1;0,8;2,1
2014;650;1,6;1,7;0,6;50,2;50,7;66,3;30,9;30,9;30,7;2,5;2,6;2,6
2007;340;1,1;1,2;0,3;34,8;34,7;89,4;31,9;31,8;33,1;1,5;1,7;0,5
2017;233;1,4;1,4;1,8;51,7;46,6;65,1;30,8;30,9;30,5;1,6;1,5;1,9
2009;622;1,6;1,6;0,6;49,7;50,6;186,9;33,4;33,7;30,7;0,9;1;0
2005;310;1,2;1,1;1,4;41,4;38,5;76;31,9;32,6;28,7;1,7;1,6;1,9
2023;522;1,2;1,2;1,4;43,8;39,5;55,4;31,4;31,7;30,7;0,8;0,9;0,7
2013;630;1,7;1,7;1,7;59;57,7;83,3;30,2;30,3;29,7;1,8;1,8;2
1991;650;;;;;;;;;;1,6;1,6;0,3
2011;630;1,7;1,7;1,5;57,3;55,8;91,1;30,1;30,1;29,8;1,6;1,8;0,5
2023;622;1,6;1,5;0,5;54,3;52,9;188;33,4;33,6;32;1,4;1,5;2,2
1994;211;;;;;;;;;;1;1;0,5
1990;540;;;;;;;;;;1,2;1,2;2,4
1996;550;1,2;1,2;0,4;44,1;45,7;46,8;30,3;30,2;31,2;1;1,1;0
2002;233;1,4;1,2;1,9;50;40,6;79,3;27,9;28,9;26,2;2;1,8;3,7
2021;430;1,7;1,9;0,7;59,1;66,2;54,3;33,4;33,7;31,8;1,5;1,8;2,2
2005;330;1,3;1,3;0,6;46,8;46,9;157,9;32,5;32,7;30,6;0,9;0,9;0
2015;521;1,4;1,3;1,6;44,3;40,1;76;31;31,3;29,9;1;0,8;1,4
2012;232;1,3;0,7;1,1;56,4;58;127,7;26,7;27,8;25,9;1,9;2,2;1,7
2018;310;1,4;1,5;0,9;43,3;46,9;23,8;32,9;32,8;33,1;1,5;1,6;1,2
2010;430;1,1;1,2;0,3;35,3;35,7;90,3;32,9;32,8;33,5;1,3;1,6;0,8
2006;240;1,3;1,3;1,6;40,7;36,5;74,6;29,1;29,4;27,7;1,3;1,3;1,6
2024;410;1,3;1,3;1,1;44,9;46,5;37,9;33,4;33,4;33,5;0,9;1;0,6
2018;410;1,4;1,4;1,4;48,2;48,7;46;32,6;32,6;32,4;1,5;1,5;1,9
2016;614;1,5;1,5;1,8;52;47,6;77,2;30;29,7;30,6;1,5;1,5;1,8
2011;424;1,3;1,3;1,5;42,8;39,8;56,1;31,3;31,8;30;1,3;1,2;1,6
1990;560;;;;;;;;;;1,9;1,8;1
2013;421;1,4;1,4;1,2;47;46,4;55,7;33;33,2;31,6;1,4;1,3;1,9
1992;211;;;;;;;;;;1,3;1,2;2,4
2005;522;1,3;1,2;1,3;43,7;39,2;68,5;28,9;29,3;28,1;1,8;1,7;3,8
2016;422;1,4;1,5;0,8;49,4;51,1;42;33,6;33,6;33,3;1,8;1,8;2,5
2005;622;1,1;1,1;1,1;35,7;36,6;31,5;32,9;33,4;29,6;1,1;1,1;1,4
2014;521;1,5;1,4;1,6;46;42,7;74,1;31;31,3;29,7;1,9;2,1;0,9
2018;330;1,5;1,5;0,9;53,6;50,4;165,7;32,8;33,3;30;1,4;1;4
1998;232;2,8;0,9;3,5;105,3;108,1;149,7;27,2;29,9;26,3;1,7;1,2;2,2
2022;513;1,3;1,3;1,4;45,5;43,3;53,4;31,6;32;30,4;1;1;1,1
2004;522;1,2;1,1;1,2;43,2;39,1;71,6;29;29,4;27,9;0,9;0,7;1,8
2013;613;1,2;1,3;0;51,4;70,7;157,9;28,4;27,5;32,4;2,2;2,5;1,5
2022;570;;;;;;;;;;0;0;0
2013;550;1,4;1,4;0,8;45,9;44;133;32,1;32;32,3;1,2;1,1;1,5
1996;424;1,2;1,1;1,8;45,3;41,4;71,6;29,8;30,2;28,4;1,3;1,2;1,9
