Jahr;Stadtbezirk;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate);Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) deutscher Frauen;Bevölkerungsbewegungen - Allgemeine Geburtenziffer (GFR-General Fertility Rate) nicht-deutscher Frauen;Bevölkerungsbewegungen - Durchschnittsalter der Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Durchschnittsalter nicht-deutscher Mütter bei der Geburt (Langzeitmittel);Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) deutscher Frauen - jahresscharf;Bevölkerungsbewegungen - Zusammengefasste Geburtenziffer (TFR-Total Fertility Rate) nicht-deutscher Frauen - jahresscharf
2002;540;1,5;1,4;2;45,9;41,8;72,4;28,7;28,6;29;1,6;1,6;2
2014;220;1,3;1,3;1,5;45,3;42,9;56,2;31,6;31,8;31,2;1,5;1,6;1,5
2017;650;1,7;1,8;0,6;56;55,3;85;31,1;31,5;29,2;2;2,1;2,1
1993;612;;;;;;;;;;1,4;1,2;2,1
2013;512;1;1;1;32,2;31,3;35,9;31,1;31,2;31;1,1;1,2;0,8
2012;111;1;1;1,1;28,3;25,1;43;31,9;32,4;30,8;0,7;0,6;0,8
2022;422;1,4;1,4;0,9;49,8;51,1;44,9;33,5;33,6;33,2;1,3;1,4;1
2008;220;1,4;1,3;1,7;48,6;44,7;71,7;31,7;31,9;30,8;1,4;1,4;1,6
2000;340;1,4;1,4;0,5;53,3;51,5;201,9;30,8;30,8;30,2;1,2;1,2;0,8
1990;422;;;;;;;;;;1,2;1,2;1,8
2014;340;1,5;1,5;0,4;41,2;40,4;179,8;31,3;31,3;31,2;1,7;1,6;1,2
2008;240;1,3;1,2;1,9;40,2;36,2;67,4;29;29,4;27,6;1,7;1,5;3
1991;240;;;;;;;;;;1,7;1,7;3,2
2000;532;1;0,9;1,3;37,9;34,8;65,7;30,5;31,1;28,2;1,1;0,8;3,5
2023;660;1,6;1,5;2;56,9;49,6;70,6;29,8;29,8;29,8;1,4;1,2;1,8
1992;233;;;;;;;;;;1,4;1,3;1,6
2010;120;1,2;1,2;1;35,8;35,1;42,1;31,1;31;31,5;1,3;1,4;1,3
1991;120;;;;;;;;;;1,2;1;2,1
2008;532;1;0,9;1,4;34,6;29,2;60,8;30,6;31,6;28,5;1;0,9;1,5
1995;310;1;1;1;37,9;37,6;60,2;30;30,1;29;1,1;1,1;0,8
2014;240;1,5;1,4;1,9;50,6;47,2;77;29,2;29,1;29,3;1,4;1,4;1,6
1991;220;;;;;;;;;;1,1;1,1;1,2
2017;670;1,7;1,6;2;52,3;49,3;68,1;32;32;31,7;1,9;1,9;2,3
2013;220;1,3;1,2;1,7;44,7;40,9;63,5;31,6;31,7;31;1,2;1,1;1,7
2014;532;1;1;1,2;37,4;33,8;54,9;31,3;31,8;30,1;1,3;1,3;1
2003;211;1,2;1,2;1,3;44,3;43,3;53,2;32,7;32,9;31,3;1,5;1,5;1,9
2017;421;1,4;1,4;1,4;47,1;46,6;53,3;33,2;33,4;31,7;1,3;1,3;1,6
1995;430;1,2;1,2;0,4;40;42,2;58,2;30,4;30,4;30,7;1,5;1,7;0
2017;550;1,6;1,6;0,8;52,3;51,3;107,1;31,8;31,8;31,7;1,5;1,3;1,3
2008;120;1,2;1,2;1;36,4;36,3;37,5;30,8;30,8;30,7;1,1;1,2;0,7
2016;550;1,7;1,7;0,6;54,2;52,6;103,6;31,9;32;31,1;1,7;1,8;0,8
2000;240;1,4;1,4;1,9;50,4;47,6;80,9;30;30,4;27,9;1,5;1,5;1,8
2019;111;0,9;0,9;0,9;29,4;27,1;37,4;31,8;32,4;30,4;1,1;1,1;1,2
1995;622;;;;;;;;;;1;0,6;1,7
1991;532;;;;;;;;;;1,1;1,1;1,4
2018;521;1,3;1,3;1,4;43,3;39,4;69,3;31,5;32;29,7;1,3;1,5;0,6
2004;560;1,4;1,3;0;39,3;36,6;533,3;30,7;31;28,5;1,6;1,2;4
2016;613;1,4;1,1;0,3;54,4;76,4;126,1;28,6;28,2;29,1;1,4;0,7;2,6
2023;640;1,6;1,5;1,8;59,1;54,4;78,4;31,4;32,3;29,4;1,8;1,9;1,5
2014;320;1,3;1,3;1,4;36,5;33,9;48,1;30,8;31,5;28,5;1,1;1,2;1,1
1993;320;;;;;;;;;;1,2;1,1;1,3
2017;613;1,2;1,1;0,3;49;75;137,4;29,4;28,9;30;0,5;1,1;0
2016;513;1,2;1,2;1,2;38,3;37,5;40,8;30,7;31,1;29,4;1,4;1,4;1,4
2012;423;1,3;1,3;1,2;41,9;40,6;59,9;32,7;32,9;31,5;1,2;1,1;2
2020;540;1,6;1,3;2;53,9;46;70,6;30,1;30;30,2;1,2;1,1;1,8
2024;611;1,2;1,2;1,4;45,4;43;53,2;31,6;31,9;30,8;1,2;1,1;1,4
2019;211;1,7;1,7;1,7;58,4;57,5;66,9;32,4;32,5;31,7;1,3;1,3;1,5
2018;670;1,7;1,7;2;52,4;49,9;65,5;32,1;32,1;31,9;1,4;1,3;1,9
2020;640;1,6;1,4;2,1;58,4;49,1;87,9;30,1;30,8;28,8;2,1;1,7;4
2006;212;1;1;0,9;32,1;32,5;30,4;31,7;32,1;29,7;1,1;1,1;1,1
1989;531;;;;;;;;;;1,2;1,1;2,4
2003;111;0,8;0,8;0,8;26,6;25,2;38,2;31;31,4;29,8;0,9;1;0,4
2015;340;1,5;1,5;0,4;43,5;42,2;193,9;31,5;31,5;31,5;2;2;2,1
1989;233;;;;;;;;;;1,9;1,9;1,9
1994;531;;;;;;;;;;0,9;1;0,8
2000;612;1,3;1,1;2,1;47,3;39,4;76,6;28,5;29;27,4;1,3;1;2,6
2001;560;1,4;1,4;0;43,6;42,9;1250;30,4;30,4;29,5;2;2,1;0
1993;340;;;;;;;;;;1,5;1,4;0,3
2004;540;1,4;1,4;1,8;44,3;40,6;64,4;28,4;28,2;29,1;1,3;1,2;1,8
2017;212;1,4;1,4;1,1;42,5;45,2;31,2;32,6;32,6;32,2;1,6;1,6;1,3
1999;513;1,1;1;1,3;41,9;40;49,3;29,6;30,1;28;1;1;1,2
2004;231;1,1;1;1,7;43,7;36,4;80,5;28,4;29,1;26,9;1,2;1,1;1,3
2013;120;1,3;1,3;1,2;40,1;39;47,3;32;31,8;32,6;1,3;1,4;1,2
2014;111;0,9;1;0,9;28,6;25,7;40,4;31,5;31,8;30,7;0,9;1,2;0,5
2000;111;0,7;0,7;0,8;26,7;24,4;45,7;30,3;30,8;28,8;0,7;0,8;0,5
2014;512;0,9;1;0,9;31,1;30,2;35,4;31,4;31,4;31,6;1;1;0,9
2013;621;1,4;1,4;1,5;47,3;45,6;57,7;31,4;31,7;29,8;1,4;1,4;1,1
2014;612;1,4;1,3;2;47,9;40,5;69,8;28,6;28,6;28,6;1,5;1,3;2,3
1991;512;;;;;;;;;;1;0,9;1,6
1993;532;;;;;;;;;;0,9;0,9;1,7
2019;423;1,3;1,4;0,9;44,4;45,3;39,4;32,7;32,8;31,8;1,4;1,5;0,9
1997;232;2,8;1;3,3;103,9;107,1;139;27,4;29,9;26,4;2,9;1,6;4
2010;521;1,4;1,4;1;41,8;41,6;58,2;31,8;31,9;31;2;2,1;2,7
2018;650;1,7;1,7;1,3;54,3;53,2;72,7;31,2;31,7;29,1;1,2;1,1;1,7
1997;670;;;;;;;;;;2,7;2,7;2,5
2019;231;1,3;1,2;1,7;45,5;40,7;63,7;29,9;30;29,8;1,5;1,5;1,4
1993;240;;;;;;;;;;1,8;1,8;2,1
2003;340;1,3;1,3;0,3;43,9;43,9;156,6;30,8;30,9;29,5;0,8;0,9;0,5
2020;560;1,6;1,6;0;55,9;56,6;155,6;32,1;32,6;27,9;1,9;2,1;0
2021;614;1,6;1,5;2,2;57,7;50,4;88,2;30;30,3;29,5;1,8;1,3;4,5
2021;531;1,3;1,3;1,3;36,7;35,3;39,8;30,6;30,9;30;1,3;1,2;1,4
2011;340;1,3;1,3;0,2;35,9;35,5;110,1;31,6;31,4;34,1;1,3;1,4;1
2023;614;1,6;1,5;2,1;57,4;51,4;80,3;30,6;31;29,7;1,6;1,4;2,4
1998;423;1;0,9;1,3;38,9;36,3;60,7;30,1;30,5;28;1,1;0,9;2,1
2000;512;1;0,9;1,6;38,4;34,7;58,8;29,1;29,6;27,3;0,9;0,7;2
2005;560;1,4;1,3;0,4;39;37,2;684,2;31,1;31,3;29,2;1,5;1,5;0
1992;422;;;;;;;;;;0,9;0,7;3
2016;430;1,5;1,7;0,2;50,1;54,9;62,2;32,2;32,4;30,9;2,1;2,4;0,5
2005;660;1,6;1,4;2,3;53,7;43,6;83,7;27,8;27,8;27,8;1,5;1,3;2,1
2017;630;1,6;1,6;1,5;58,4;57;76,5;30,8;31,1;29,4;2,2;1,9;3,1
2011;240;1,4;1,4;1,8;45;42;66,8;29;29;28,8;1,7;1,7;2,3
1990;233;;;;;;;;;;1,5;1,2;2,1
2000;320;1,3;1,2;1,4;43,9;41,8;55,6;30,4;31;27,8;1,4;1,4;1,6
2006;232;1,5;0,4;0,9;61;60;275,9;27,2;29;25,9;1;1,4;0
2011;532;1;0,9;1,2;34,1;29,7;56,2;30,9;31,8;28,6;1,1;1;1,8
2010;621;1,4;1,3;1,8;43,9;40,7;65,5;31;31,5;29;1,6;1,6;2
1990;611;;;;;;;;;;1,2;1,1;2,1
2019;320;1,4;1,3;1,5;36,7;33,1;51,1;31,8;32,7;29,5;1,3;1,1;2,3
2005;640;1,4;1,4;0,8;42;40,8;69,6;29,8;30,1;27,7;1,2;1,1;1,4
1989;422;;;;;;;;;;0,8;0,8;1,8
2023;680;1,1;1,2;1,1;29,3;30,2;25,9;33,5;33,4;34,1;0,8;0,9;0,6
2000;220;1,2;1,1;1,5;46,7;44,3;68,7;30,7;31;29,1;1,2;1,1;1,7
1998;320;1,2;1,2;1,4;42,1;39,5;60,2;29,9;30,6;26,7;1,2;1,3;0,7
1997;630;1,2;1,2;1,1;44,7;43,8;100;29,6;29,7;29,2;1,6;1,7;0,9
1991;621;;;;;;;;;;1,2;1,2;1,7
2015;423;1,4;1,4;1,2;43,2;41,8;60,2;33;33,2;31,9;1,3;1,4;1,4
1994;660;;;;;;;;;;2;1,8;3
2009;560;1,4;1,3;0,1;38;35,3;842,1;31,3;31,4;30,3;1,5;1,7;0
1999;622;1;0,9;1,1;32,5;28,4;62,9;29,4;30,4;26,9;1;1;1,1
2002;660;1,7;1,5;2,3;56,5;47,9;83,2;27,6;27,9;27,2;1,9;1,5;2,8
1996;240;1,5;1,4;1,6;56,1;54,5;97,2;29,4;29,6;27,7;1,3;1,4;0,7
2003;320;1,3;1,3;1,2;43,4;42,2;48,2;30,7;31,3;27,9;1,1;1,1;1,1
2006;521;1,1;1,1;0,6;34,5;34,6;42,4;31,4;31,6;29,9;1,1;1,2;0,5
1998;111;0,7;0,7;0,9;27,7;25,6;44,2;29,9;30,3;28,4;0,7;0,7;0,3
2012;612;1,4;1,2;2,1;47,4;38;79,3;28,4;28,7;28,1;1,7;1,6;2,5
1996;220;1,1;1,1;1,4;47,6;45,9;66;29,6;29,8;28,4;1,1;1;1,3
2009;540;1,4;1,3;1,8;45,9;41,4;63,3;28,1;28,1;28,2;1,6;1,3;2,7
2022;233;1,4;1,4;1,6;52,1;49,7;60,8;31,3;31,5;31;1,2;1,2;1,2
2003;612;1,4;1,2;2,1;47;38,2;82,4;28,7;29,4;27,5;1,6;1,4;2
1989;614;;;;;;;;;;1,4;1,4;3
2015;231;1,2;1;1,9;41,1;34,4;70,6;29,2;28,9;30;1,1;1,1;1,1
1997;650;1,8;1,7;0,1;66,8;62,9;2153,8;29,5;30,1;25,5;2,1;1,7;5
2017;112;1,2;1,2;1,3;34,3;31;49,2;32,4;33;30,9;1,3;1,5;1,4
2011;220;1,3;1,2;1,7;45,1;41,4;65,5;31,5;31,7;31,1;1,4;1,4;1,5
2009;660;1,7;1,4;2,3;57,4;46,6;84,8;27,7;27,2;28,5;1,7;1,4;2,3
1996;532;1;1;1,4;42,9;40,1;87;29,5;29,7;28,3;1;1;0,7
2001;211;1,2;1,2;1,2;43,7;43,3;48,8;32,5;32,8;30,8;1,4;1,4;3
2002;560;1,4;1,4;0;43,5;42,5;687,5;30,3;30,5;27,8;1,5;1,3;3
2019;612;1,5;1,3;2;51,2;43,2;71,6;29,9;30,2;29,5;1,3;1,1;1,9
2012;320;1,3;1,3;1,4;36,2;33,9;47,1;30,8;31,5;28,6;1,4;1,3;2
2011;612;1,4;1,2;2;45,5;35,8;76,4;28,3;28,6;28;1,4;1,1;2,3
1995;513;1,2;1,1;1,7;47,8;44,4;62,8;28,5;28,8;27,5;1,1;1;1,1
2005;540;1,5;1,4;1,8;45,3;41,8;64,3;28,2;28,1;28,5;1,7;1,7;1,9
1999;310;1,1;1,1;1,1;42,8;42,1;65,7;31;31,3;28,5;1,5;1,4;2,2
2022;611;1,2;1,2;1,4;47;44,2;56,4;31,3;31,6;30,7;1,2;1,1;1,5
2014;423;1,3;1,3;1,1;42,3;41,7;53,8;32,8;33;31,9;1;1,1;0,6
2018;232;1,3;0,9;1,7;46,3;28,3;67,7;27,5;30;26,6;1;1;1,5
1999;410;1;1;1,5;41,4;39,5;57,5;30,6;30,8;29,3;1;1;0,7
1998;340;1,5;1,4;0,6;54,7;52,3;177,4;30,4;30,6;29,2;1,6;1,8;0,8
2008;621;1,3;1,2;2,1;41,9;37,1;73,9;30,9;31,5;28,9;1,2;1,2;1,1
2006;650;1,6;1,6;1,2;53,3;50;149,4;30;30,3;29;2;2;2,9
2016;410;1,3;1,3;1,4;45,4;44,8;49,4;32,4;32,5;31,6;1,4;1,5;1
1993;423;;;;;;;;;;1,3;1,1;2,8
2022;531;1,2;1,3;1,1;33,4;33,3;34,4;30,8;31;30,5;1;1,1;0,8
2004;612;1,4;1,1;2,2;47,1;37,4;85,8;28,9;29,5;27,9;1,5;1,1;2,9
1995;650;1,8;1,6;0;65;61,4;1352,9;29,7;30,1;26,1;2,2;2;4
2014;231;1,2;1;1,9;42;34,3;75,6;29,3;28,9;30,2;1,2;0,9;2,2
2006;513;1;0,9;1,3;36,5;32,5;50;30,2;30,7;29,1;0,9;0,8;1,3
2020;423;1,3;1,3;1,1;44,7;45,2;41,8;32,5;32,6;31,9;1,4;1,3;1,9
2021;540;1,6;1,4;2;54,1;46,3;70,2;30;30;30,1;1,4;1,1;1,9
2014;540;1,4;1,3;1,9;49,4;43,5;66,7;29,2;28,8;29,8;1,3;1;2,2
2008;232;1,2;0,3;1,1;56,3;42;280,4;26;26,8;25,6;1,2;0,3;3,2
1991;423;;;;;;;;;;1;0,9;2,3
2016;650;1,7;1,7;0,9;54,1;53,9;73,3;31,1;31,4;30;2;2;2
2004;111;0,8;0,8;0,7;26,3;25,4;35,6;30,7;31,1;29,2;0,9;1;1,3
2010;512;1;1;1,1;34,2;33;39,7;30,5;30,6;30;1,1;1;1,5
2010;612;1,4;1,2;2,1;45,5;35,1;81,5;28,7;29;28,1;1,4;1,4;1,6
2003;120;1,2;1,1;1,4;40,7;39,9;45,5;30,7;30,9;29,3;1,3;1,3;1,9
2003;220;1,2;1,2;1,4;47,6;45;67;31,4;31,6;30,4;1,2;1,2;1,2
2020;231;1,4;1,4;1,7;48;44;63,1;30,3;30,4;29,9;1,5;1,6;1,3
2000;120;1,3;1,2;1,8;46,6;43,5;69,5;29,7;30,1;28,1;1,5;1,3;2,6
2009;423;1,2;1,2;1,2;40,1;39,4;48,5;32,1;32,4;30,3;1,4;1,3;2,1
2015;560;1,5;1,6;0,2;44,2;44,6;137;31,2;31,4;29,8;1,2;1,4;0
2001;340;1,4;1,4;0,5;52,3;50,7;227,3;30,8;30,9;30;1;1,1;0
1992;430;;;;;;;;;;1,4;1,4;0,5
2013;340;1,4;1,5;0,3;40,5;40,7;200;31,4;31,3;31,5;2,2;2,5;0,5
2004;240;1,4;1,3;1,6;43,6;40,2;75;29,6;30,2;27,2;1,2;1,2;1,8
1992;622;;;;;;;;;;0;0;0
2017;232;1,3;0,8;1,5;47,1;34,7;78;27,5;29,9;26,6;1,4;1,1;2
1989;560;;;;;;;;;;1,6;1,5;1
1999;424;1,3;1,2;1,9;48,7;43,9;76,6;30,1;30,6;28,5;1,4;1,3;1,7
2001;532;0,9;0,9;1,2;36,1;33,5;56,8;30,7;31,3;28,5;0,9;1;0,6
1997;621;0,9;0,9;1,3;37,1;35,5;52,9;30,1;30,2;29;1,4;1,2;2,5
2008;650;1,7;1,6;1,3;53,9;50,3;119,7;30,5;30,6;30,1;1,5;1,6;1,5
2010;320;1,2;1,2;1,2;34,9;33,1;43;31;31,7;28,5;1,4;1,4;1,4
2016;232;1,4;0,9;1,7;50,7;51,2;80,8;27,5;30,1;26,4;1,7;1,6;2
2001;423;0,9;0,9;1,2;33,9;32,9;43,2;31,2;31,5;29,6;1;1;2
1995;550;1,2;1,2;0,6;45;45,6;73,8;30,4;30,4;31,5;1,1;1,2;1,5
2000;621;1,1;1,1;1,5;43,3;41,4;65,6;30,7;30,9;29,3;1,1;1,1;1,2
1998;560;1,3;1,3;0,2;44,6;44,4;421,1;29,9;30;28,2;1,4;1,2;2
2009;231;1,1;1;1,8;41,8;33,4;77,3;28,7;28,5;29;1,3;1;2,2
2022;640;1,6;1,4;2,1;58,7;51,3;86;30,9;31,8;29,1;1,1;1;0,9
1996;211;1,1;1,1;1,2;42,5;42,2;48,1;31,6;31,7;30,6;1,2;1,2;1,8
1997;120;1,3;1,1;2;46,3;40;77,4;29,2;29,8;27,8;1,1;1,1;1,2
2015;660;1,7;1,5;2,2;60,4;51,5;76,8;28,2;27,7;28,8;1,7;1,4;2,6
1996;111;0,8;0,7;1;31;29;45,8;28,8;29,1;27,5;0,5;0,5;0,8
1997;220;1,1;1,1;1,6;46,9;44,7;71,3;29,8;30;28,7;1,2;1,1;2,3
