uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,strasse_name,strasse_schluessel
af3ae650-0231-41f2-95f7-e753f71cfc88,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bei der Nikolaikirche,"01170"
e6caaecd-e74a-4a30-a0a7-943f03cc32e7,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Franz-Schubert-Str.,"02500"
8b2bb41b-c3d9-4902-9316-f499081fd402,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Sackpfeife,"08160"
52467f1b-4f69-40d3-8b52-61a52b2a21ce,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lärchenweg,"06480"
76d92902-d910-4054-b23d-5fef5120b910,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Eisenwerk,"13430"
b86a196a-e988-4acf-bf20-0749057ac294,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Neptunweg,"07160"
bc0753c8-25fe-43a4-b113-0e0ad21ae548,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schwaaner Landstr.,"08440"
507ddcb3-8554-4c15-ac83-8962d8ba225d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",An der Herrenwiese,"14340"
e07a359c-45e0-4ddf-95e0-13ea577378f8,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Umspannwerk,"12690"
ce5b9b47-baa8-4865-874f-714263a56be6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Maikäferweg,"10290"
50de6a55-8a45-412e-9ff9-6c561717ae59,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hansastr.,"03350"
446e5459-d4ed-4c94-8dcd-6ea20e24fbe7,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kurze Str.,"06390"
59950354-da1d-4f40-90cc-734fddb52d9f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gewettstr.,"02920"
f0d8189e-4948-499a-b01e-93625fbd6d7e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Erich-Weinert-Siedlung,"03630"
29d55eec-dac9-443e-aff0-bfab344aead2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Brauergasse,"01550"
a0a6af94-2b4f-4600-ba16-ec2ee2dfdb23,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Vögenstr.,"09320"
012bc62d-e602-4edf-bc1b-a1297865ca15,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Wielandstr.,"09700"
21562b63-67dc-49b3-9413-532067c6148f,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",John-Brinckman-Str.,"04160"
f91d4168-e1d3-4d9c-9806-e44e76bc7381,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Rudolf-Diesel-Str.,"08110"
0ecfdc20-ec14-46c1-b352-f1de93d5ebd4,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Heinz-Kapelle-Str.,"03460"
009f4f38-96a3-4474-9c17-a546d891b8ff,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Katergang,"12480"
fecaa3c9-f1d4-403e-9f12-61516c4c292d,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ganterweg,"02710"
5c5d5439-57cd-44c6-8838-705099ed5417,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Trojanstr.,"09030"
bf67f87b-fb48-4682-91ad-1f68e7676afe,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Querstr. V,"07820"
2b97b1e3-452a-40e2-9a8e-ef986beff630,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Goldberger Weg,"10950"
5400b94b-c6c6-49d2-b2e0-285b03a58c25,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Murerstrat,"11630"
aeb04847-5426-4f99-9580-582dd8ba710c,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kamellenweg,"04270"
a9642daa-181b-416e-8079-a782db3b3d73,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Jurek-Becker-Str.,"13700"
9f72c670-4eb8-40e0-8286-214d17b416dd,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kaistr. II,"88090"
d33b80f1-003a-44ed-b5df-dce66af27809,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Zum Sonnenhof,"10000"
98172fec-1f72-4548-b2ef-0bf0e7f4e905,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Eibenweg,"02070"
f759af62-f208-4a36-985a-04e981bb782e,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Goorstorfer Str.,"10340"
1481b47b-6529-4429-bfd3-c387095d7a82,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Neubramowstr.,"07180"
385169df-742f-4b9f-813f-c004cf22e435,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Ricarda-Huch-Str.,"12090"
acd70d6a-39ec-4f2d-b335-1beca0cb7ce0,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Bernsteinweg,"10810"
63aa1314-e290-4486-ae62-b13ed4daae25,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Werftstr.,"09680"
2e46f6aa-20dd-450a-8dc5-dfc14d3922f2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Am Richtfunkturm,"00500"
8736ef2e-f8e8-4193-9407-4a7b555640ef,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Antwerpener Str.,"13670"
