Name;Straße;Hausnummer;Postleitzahl;Ort;Bemerkung;x;y
Hinrichs Flurfördergeräte GmbH & Co. KG;Fuldastraße;32;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do. 07:30 - 17:00 Uhr<br/>Fr. 07:30 - 14:00 Uhr<br/><br/> Standort: Büroflur beim Kopierer;450812,431;5888873,832
Johanniter Mehrgenerationenhaus;Güstrower Weg;1a;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 09.00 - 18:00 Uhr<br/><br/>Standort: allgemeines Treppenhaus;446951,5508;5890233,07
Schlosshöfe (Obergeschoss);Schloßplatz ;3;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Sa.: 8:00 - 21:00 Uhr<br/><br/>Standort: Obergeschoss, Bereich Kundentoiletten;447651,6043;5887969,442
Oldenburger Volksbank Filiale Ofenerdiek;Weißenmoorstraße;293;26125;Oldenburg;Der AED ist in der Regel ereichbar von: täglich von 6:00 Uhr bis 23:00 Uhr;446697,1651;5893166,094
Handwerkskammer - Berufsbildungszentrum;Schütte-Lanz-Straße;8-10;26135;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;450592,719;5885331,733
BTC Business Technology Consulting AG;Escherweg;5;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. bis Fr.: 8.00 bis 17.00 Uhr<br/><br/>Standort: Empfang;446471,1283;5889084,45
Landwirtschaftskammer Niedersachsen;Mars-la-Tour-Straße;1-3;26121;Oldenburg;Standort: Haupteingang (Treppenhaus Hochparterre)<br/><br/>Der AED ist in der Regel erreichbar von:<br/>Mo. – Do.: 07:30 – 16:00 Uhr<br/>Fr.: 07:30 – 13.30 Uhr;447013,6775;5889365,171
Landwirtschaftskammer Niedersachsen;Mars-la-Tour-Straße;2;26121;Oldenburg;Standort: Hintereingang (Treppenhaus Untergeschoss)<br/><br/>Der AED ist in der Regel erreichbar von:<br/>Mo. – Do.: 07:30 – 16:00 Uhr<br/>Fr.: 07:30 – 13.30 Uhr;447057,3265;5889345,219
Landwirtschaftskammer Niedersachsen;Mars-la-Tour-Straße;6;26121;Oldenburg;Standort: Foyer<br/><br/>Der AED ist in der Regel erreichbar von:<br/>Mo. – Do.: 7:30 – 16:00 Uhr<br/>Fr.: 07:30 – 13:30 Uhr;447032,7544;5889434,733
Landwirtschaftskammer Niedersachsen<br/>Bezirksstelle Oldenburg-Nord;Hermann-Ehlers-Straße;15;26160;Bad Zwischenahn;Standort: Foyer<br/><br/>Der AED ist in der Regel erreichbar von:<br/>Mo. – Do.: 7.30 – 16.00 Uhr<br/>Fr.: 7:30 - 13.00 Uhr;442079,3341;5891769,784
Oldenburger Volksbank Filiale Eversten;Hauptstraße;74;26122;Oldenburg;Der AED ist in der Regel ereichbar von: täglich von 6:00 Uhr bis 23:00 Uhr;446066,3527;5887423,568
Eriksen und Partner GmbH;Cloppenburger Straße;200;26133;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;447415,6264;5885834,521
Landesbibliothek Oldenburg;Pferdemarkt ;15;26121;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für externe erreichbar.<br/><br/>Standort: im LIZ 1 (Auskunftsplatz), nach dem Treppenaufgang rechts;447497,297;5888899,914
Hausarztpraxis Lofruthe;Ofenerdieker Straße;40;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo: 08:00 - 11:30 Uhr und 16:00 - 18:00 Uhr<br/>Di: 08:00 - 11:30 Uhr und 16:00 - 19:00 Uhr<br/>Mi: 08:00 - 12:00 Uhr<br/>Do: 08:00 - 11:30 Uhr und 16:00 - 18:00 Uhr<br/>Fr: 08:00 - 13:00 Uhr;446709,2057;5893526,128
Haus des Hörens;Marie-Curie-Straße;2;26129;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 08:00 - 17:00 Uhr<br/>Fr.: 08.00 - 14:30 Uhr<br/><br/>Standort: Foyer, Treppenabgang;444308,4921;5889885,964
pronova BKK;Alter Stadthafen;12;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr 9:00 bis 13:00 Uhr und<br/>Do 9:00 bis 16:00 Uhr;448536,5565;5888306,458
UWE ONKEN GmbH;Schwarzer Weg;29;26215;Wiefelstede, Metjendorf;Der AED ist in der Regel erreichbar von:<br/>Mo. bis Do.: 7:30 - 17:00 Uhr<br/>Fr.: 7:30 - 14:00 Uhr<br/><br/>Standort: unter der Treppe beim Eingang;445344,4506;5893569,87
UWE ONKEN GmbH;Am Patenbusch;8;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. bis Do.: 7:30 - 17:00 Uhr<br/>Fr.: 7:30 - 14:00 Uhr<br/><br/>Standort: Erste Hilfe Kreuz bei der Kasse;448499,1955;5894101,049
SHI Planungsgesellschaft mbH;Steinkamp;38;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00 - 17:00 Uhr<br/>Fr.: 8:00 - 14:00 Uhr<br/><br/>Standort: Empfang;448634,5475;5894315,544
Volkswagen Zentrum Oldenburg;Bremer Heerstraße;1;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 8:00 - 18:00 Uhr<br/>Sa.: 8:00 - 14:00 Uhr<br/><br/>Standort:<br/>Bereich Kasse, Info an der Wand;448449,4895;5886915,957
Nutzfahrzeug Zentrum Oldenburg;Rudolf-Diesel-Straße;32-38;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 8:00 - 18:00 Uhr<br/>Sa.: 8:00 - 14:00 Uhr<br/><br/>Standort:<br/>Verkaufsraum, rechts an der Wand beim Durchgang zur Karosserie ;448390,7672;5886358,467
Hinrichs und Partner Steuerberatungsgesellschaft mbH;Hein-Bredendiek-Straße ;9;26131;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do. 08.00 - 16:30 Uhr<br/>Freitags geschlossen;444549,1453;5886707,514
Herbartgymnasium;Herbartstraße;4;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr: 6:45 - 17:00 Uhr (nur außerhalb der Ferienzeiten)<br/><br/>Standort:<br/>1. Zwischengeschoß beim Lehrerzimmer;446920,9983;5888150,8
Stadt Oldenburg, Eigenbetrieb Abfallwirtschaftsbetrieb;Wehdestraße;70;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 8:00 - 12:30 Uhr<br/>und 13:30 - 16:00 Uhr<br/>Fr: 8:00 - 12:00 Uhr<br/><br/> Standort:<br/>Verwaltungsgebäude, nahe Kasse ;449268,3245;5888759,396
Stadt Oldenburg, Altes Rathaus;Markt;1;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 7:00 - 19:00 Uhr<br/>Fr: 7:00 - 17:30 Uhr<br/><br/>Standort:<br/>EG Eingangsbereich rechts;447430,4012;5888028,268
Stadt Oldenburg, Kulturzentrum PFL;Peterstraße;3;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - So.: 9:00 - 20:00 Uhr<br/><br/>Standort:<br/>EG Eingangsbereich rechts;447006,6607;5888450,244
Stadt Oldenburg, Eigenbetrieb Abfallwirtschaftsbetrieb, Wertstoffannahmestelle Barkenweg;Barkenweg;6;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 9:00 - 16:30 Uhr<br/>Fr: 9:00 - 17:30 Uhr<br/>Sa: 9:00 - 14:00 Uhr<br/><br/>Standort:<br/>Verwaltungsgebäude, nahe Kasse;452129,1143;5887168,713
Stadt Oldenburg, Neues Rathaus, Bürgerbüro Mitte;Pferdemarkt;14;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 6:00 - 18:15 Uhr<br/>Fr: 6:00 - 14:30 Uhr<br/><br/>Standort:<br/>EG Altbau, Flur Eingangsbereich;447400,3215;5888923,525
Horst-Janssen-Museum;Am Stadtmuseum;4-8;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Di - So: 10.00 - 18.00 Uhr<br/>(außer 01.05., 31.10., 24.12., 25.12., 31.12.)<br/><br/>Standort:<br/>EG Eingangsbereich, links am Treppenabgang;447477,7278;5888614,404
BBS Wechloy;Am Heidbrook;10;26129;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 6:30 - 19:30 Uhr<br/>(nur außerhalb der Ferienzeiten)<br/><br/>Standort:<br/>EG Pausenhalle, Haupteingang ;445047,1954;5890777,572
Oberschule Ofenerdiek;Lagerstraße;32;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr: 7:00 - 18:00 Uhr (nur außerhalb der Ferienzeiten)<br/><br/>Standort:<br/>EG Flur, Eingang Sekretariat<br/>und Flur Sporthalle (nur während Sportbetrieb erreichbar);447113,0741;5893657,271
BBS III;Maastrichter Straße;27;26123;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo und Mi - Fr: 6:45 - 21:00 Uhr<br/>Di: 6:45 - 22:00 Uhr<br/>(nur außerhalb der Ferienzeiten)<br/><br/>Standort:<br/>EG, Eingangsbereich - Nebenraum A001<br/>und 1. OG, Flur, Verwaltung;448723,9505;5888621,359
Stadt Oldenburg, Standesamt;Pferdemarkt ;12;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 6:00 - 15:30 Uhr<br/>Fr: 6:00 - 14:45 Uhr<br/><br/>Standort: EG Flur, hinter Info;447299,6179;5888916,678
Stadt Oldenburg, Bürgerbüro Nord;Stiller Weg ;10;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Mi: 8:00 - 15:30 Uhr<br/>Do: 8:00 - 18:00 Uhr<br/>Fr: 8:00 - 12:00 Uhr<br/><br/>Standort:<br/>EG Wartebereich;448076,1315;5890741,645
Stadt Oldenburg, Amt für Controlling und Finanzen;Industriestraße;1d;26121;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort:<br/>Flur EG, Foyer ;446366,1617;5889257,546
Helene-Lange-Schule;Marschweg;38;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 7:00 - 18:00 Uhr<br/>Fr: 7:00 - 16:00 Uhr<br/>(nur außerhalb der Ferienzeiten)<br/><br/>Standort: EG Flur, zur Verwaltung;446629,3249;5887111,936
Stadt Oldenburg, Gartenmeisterei Süd;Sandkruger Straße;26;26133;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar. <br/><br/>Standort: EG Flur, vor dem Krematoriumsofen zur Andachtshalle;446806,8717;5883916,368
Stadt Oldenburg, Zentraler Außendienst und City Wache;Wallstraße;14;26122;Oldenburg;Der AED ist durchgehend erreichbar.<br/><br/>Standort: EG Flur;447134,7271;5888347,559
Waldfriedhof Ofenerdiek;Schafjückenweg;22;26125;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort:<br/>EG Flur zur Andachtshalle ;447755,6228;5894169,808
Stadt Oldenburg, Gartenmeisterei Nord;Bürgerbuschweg;70a;26127;Oldenburg;Der AED ist nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort:<br/>EG, Flur Verwaltung;446690,413;5891768,101
Cäcilienschule;Haarenufer;11;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr: 6:45 - 17:00 Uhr (nur außerhalb der Ferienzeiten)<br/><br/>Standort:<br/>EG, am Fahrstuhlschacht;446749,9262;5888247,899
Stadt Oldenburg, Eigenbetrieb Abfallwirtschaftsbetrieb, Wertstoffannahmestelle Langenweg;Felix-Wankel-Straße;7;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr: 9.00 - 12.30 Uhr und<br/>13.30 - 16.30 Uhr<br/><br/>Standort:<br/>Verwaltungsgebäude, nahe Kasse;448266,9851;5892951,058
Herbartgymnasium, Außenstelle;Hauptstraße;120;26131;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 7:30 - 15:00 Uhr<br/>Fr: 7:30 - 14:00 Uhr<br/>(nur außerhalb der Ferienzeiten)<br/><br/>Standort:<br/>EG Flur zur Verwaltung;445669,3143;5887499,261
BBS Haarentor, Hauptgebäude;Ammerländer Heerstraße;33-39;26129;Oldenburg;Der AED ist in der Regel in der Schulzeit erreichbar von:<br/>Montag bis Freitag: 6.30 bis 19.30 Uhr<br/>und in den Ferien in der Regel von: Montag bis Freitag: 7 bis 15 Uhr<br/><br/>Standort: Hauptgebäude EG Flur Straßenseite;445775,6524;5888666,896
Stadt Oldenburg, Gemeinwesenarbeit Stadtteiltreff Dietrichsfeld;Alexanderstraße;331;26127;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort:, 1. OG Flur, neben Eingangstür;446306,5108;5891410,337
Stadt Oldenburg, Jugend- und Schulamt;Bergstraße;25;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort: Flur EG, nahe Info;447347,754;5888071,542
Stadt Oldenburg, Eigenbetrieb Abfallwirtschaftsbetrieb, Mechanische Aufbereitungsanlage;Barkenweg;3;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 9:00 - 12:45 Uhr und<br/>13:30 - 16:30 Uhr<br/>Fr: 9:00 - 12:45 Uhr und<br/>13:30 - 17:30 Uhr<br/>Standort:<br/>Verwaltungsgebäude, nahe Kasse;452307,2598;5887117,278
Stadt Oldenburg, Amt für Zuwanderung und Integration;Bloherfelder Straße;39;26129;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort:<br/>2. OG Flur, neben Büro 2.08 ;445632,9727;5888323,759
Stadt Oldenburg, Gemeinwesenarbeit Rennplatz;Kurlandallee ;4;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 10:00 - 12:00 Uhr<br/>Mo, Di und Do: 15:00 - 18:00 Uhr<br/>Mi: 15:00 - 21:00 Uhr<br/>Fr: 14:30 - 16:30 Uhr<br/><br/>Standort:<br/>EG Küchenbereich;449029,7404;5891261,632
Stadt Oldenburg, Gemeinwesenarbeit Bloherfelde/Eversten;Bloherfelder Straße;173;26129;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.Standort:<br/>EG Flur Kinderbetreuung ;444096,9917;5888288,652
Stadt Oldenburg, Eigenbetrieb Gebäudewirtschaft und Hochbau;Marschweg;25;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort: Eingang Wohnhaus, Lagerraum;446802,676;5887078,725
Stadt Oldenburg, Jugendgerichtshilfe;Stau;73;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort: 2. OG, Flur Mitte (Betreuungsstelle/Personalrat);448144,6553;5888313,309
"Johanniter-Tagespflege ""Am Bürgerbusch""";Scheideweg;227;26127;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 8:00 - 16:00 Uhr;446900,3572;5892236,969
Oldenburgische Landesbank AG;Gottorpstraße;23-27;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;447684,3839;5888302,928
Oldenburgische Landesbank AG;Stau;17;26122;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;447770,63;5888218,308
TherAktiv;Bollmannsweg;33;26125;Oldenburg;Der AED ist nur während der Öffnungszeiten für Externe erreichbar.;448130,6136;5893419,596
OFFIS e. V.;Escherweg;2;26121;Oldenburg;In der Regel sind Mo. bis Fr. in der Zeit von 8:00 bis 17:00 Uhr Mitarbeiter*innen am Standort anzutreffen und könnten im Notfall Hilfe leisten bzw. den Zugang zum Defibrillator ermöglichen.;446503,0513;5889115,592
OFFIS e. V.;Industriestraße;6;26121;Oldenburg;In der Regel sind Mo. bis Fr. in der Zeit von 8:00 bis 17:00 Uhr Mitarbeiter*innen am Standort anzutreffen und könnten im Notfall Hilfe leisten bzw. den Zugang zum Defibrillator ermöglichen.;446534,5536;5889234,579
METRO Deutschland GmbH;An der Schmiede;1;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. bis Fr. 7:00 bis 21:30 Uhr und<br/>Sa. von 7:00 bis 19:30 Uhr<br/><br/>Standort: Betriebsleiterbüro im Markt;450991,5602;5884587,764
