Name;Straße;Hausnummer;Postleitzahl;Ort;Bemerkung;x;y
Pickel Energie;Werrastraße;12;26135;Oldenburg;Der AED ist in der Regel Montag bis Freitag erreichbar von 7:30 - 16:30 Uhr.;450514,3963;5888470,614
AOK Niedersachsen, Servicezentrum Oldenburg;Gartenstraße;10;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Montag bis Dienstag: 9 bis 17 Uhr<br/>Mittwoch: 9 bis 13 Uhr<br/>Donnerstag: 9 bis 18 Uhr<br/>Freitag: 9 bis 13 Uhr;447191,7288;5887707,845
Cafe CaRo;Heiligengeiststraße;19;26121;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar. ;447452,9045;5889007,14
Stadt Oldenburg, Gemeinwesenarbeit Stadtteiltreff Kreyenbrück;Alter Postweg;1;26133;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Erdgeschoss Flur Eingangsbereich;447209,7261;5884659,615
Johanniter-Unfall-Hilfe e. V. Ortsverband Oldenburg;Ammerländer Heerstraße ;260;26129;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr. 08:00 - 16:00 Uhr;444600,9921;5889921,04
Johanniter-Akademie Campus Oldenburg;Jägerstraße;64-66;26121;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr. 08:00 - 16:00 Uhr;446150,247;5889412,547
Oldenburger Volksbank Filiale Alexanderstraße;Alexanderstraße;89;26121;Oldenburg;Der AED ist in der Regel ereichbar von: täglich von 6:00 Uhr bis 23:00 Uhr;447177,7533;5889704,514
Bahnhofsmission Oldenburg;Bahnhofsplatz;12;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Montag bis Freitag: 9 bis 13.30 Uhr<br/><br/>Standort: Hauptbahnhof am Aufgang zum Gleis 1;447996,8478;5888569,751
LUFA Nord-West;Ammerländer Heerstraße;115-117;26129;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.;445241,7757;5889114,156
Gemeindehaus „Jochen-Klepper-Haus“ der Ev.-Luth. Kirchengemeinde Osternburg;Lustgarten;10;26135;Oldenburg;"Der AED ist in der Regel erreichbar von:<br/>Montag-Donnerstag  9 - 12 Uhr<br/>Donnerstag zusätzlich 14 – 16 Uhr
<br/><br/>Standort: Foyer";447996,343;5886952,088
ise Individuelle Software und Elektronik GmbH;Osterstraße;15;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Do: 08:00 - 16:00 Uhr und<br/>Fr: 08:00 – 14:00 Uhr<br/>Personen, die den AED benötigen, müssen klingeln.<br/>Standort: Haupteingang Osterstraße, EG rechts neben Aufzug;447648,1817;5888538,855
Augenarzt Andreas Cepin;Ofenerdiekerstraße;48;26125;Oldenburg;Der AED ist möglicherweise nur während der Betriebs-Öffnungszeiten für Externe erreichbar.<br/><br/>Standort: Empfang;446721,5235;5893579,201
LzO-Filiale Bürgerfelde;Alexanderstraße;336;26127;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>täglich von 06:00 - 23:00 Uhr<br/><br/>Standort: Foyer;446311,0925;5891481,213
Schützenverein Etzhorn;Wilhelmshavener Heerstraße;359a;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo - Fr: 17:30 bis 21:00 Uhr, darüber hinaus auch zu nicht geplanten Zeiten;448215,1947;5894130,387
Ev. Familien-Bildungsstätte;Gorch-Fock-Straße;5a;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Sa. 07:00 - 22:00 Uhr<br/>So geschlossen<br/><br/>Standort: 1. Stock (im Treppenhaus);447877,0629;5886991,783
BBS Haarentor, Hofgebäude;Ammerländer Heerstraße;33-39;26129;Oldenburg;Der AED ist in der Regel in der Schulzeit erreichbar von:<br/>Mo - Fr: 6:30 - 19:30 Uhr<br/>und in den Ferien in der Regel von: Mo - Fr: 7:00 - 15:00 Uhr<br/><br/>Standort: Haupteingang Hofgebäude EG Pausenhalle;445731,4892;5888617,185
DRK-Landesverband Oldenburg e.V.;Maria-von-Jever-Straße;2;26125;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00 - 17:00 Uhr<br/>Fr.: 8:00 - 14:00 Uhr<br/><br/>Standort:<br/>Garderobe, direkt hinter dem Haupteingang links;448615,2961;5893671,508
Braasch GmbH & Co. KG (Seat / Cupra);Bremer Heerstraße;1;26135;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Fr.: 8:00 - 18:00 Uhr<br/>Sa.: 8:00 - 14:00 Uhr<br/><br/>Standort: Verkaufsraum, rechts an der Wand beim Ausgang Hinterhof;448424,6488;5886924,502
Diabetes- und Hausarztpraxis Dr. Fels und Dr. Mandon;Prinzessinweg;40;26122;Oldenburg;Der AED ist nur während der Öffnungszeiten für Externe erreichbar.;445938,6668;5888198,732
Gemeinde-Unfallversicherungsverband;Gartenstraße;9;26122;Oldenburg;Der AED ist in der Regel erreichbar von:<br/>Mo. - Do.: 8:00 - 16:00 Uhr<br/>Fr.: 8:00 - 12:00 Uhr<br/><br/>Standort: Haupteingang, an der Anmeldung;447232,845;5887708,641
GVO Oldenburg e.V.;Uhlenweg;6;26135;Oldenburg;Der AED ist in der Regel nur während des Trainings- und Spielbetriebs für Externe erreichbar.;449352,315;5886415,803
