GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
01053010;Besenthal;-;0;0;0;0
01053011;Bliestorf;3;0;2;1;0
01053012;Börnsen;18;0;0;2;16
01053013;Borstorf;-;0;0;0;0
01053014;Breitenfelde;3;0;0;0;3
01053015;Bröthen;-;0;0;0;0
01053016;Brunsmark;-;0;0;0;0
01053017;Brunstorf;1;0;-1;1;1
01053018;Buchholz;2;2;0;0;0
01053019;Buchhorst;-;0;0;0;0
01053020;Büchen;19;1;3;2;13
01053021;Dahmker;-;0;0;0;0
01053022;Dalldorf;-;0;0;0;0
01053023;Dassendorf;5;0;0;0;5
01053024;Düchelsdorf;-;0;0;0;0
01053025;Duvensee;-;0;0;0;0
01053026;Einhaus;-;0;0;0;0
01053027;Elmenhorst;-;0;0;0;0
01053028;Escheburg;-;0;0;0;0
01053029;Fitzen;-;0;0;0;0
01053030;Fredeburg;-;0;0;0;0
01053031;Fuhlenhagen;-;0;0;0;0
01053032;Geesthacht, Stadt;102;4;13;50;35
01053033;Giesensdorf;-;0;0;0;0
01053034;Göldenitz;1;1;0;0;0
01053035;Göttin;-;0;0;0;0
01053036;Grabau;1;0;0;0;1
01053037;Grambek;-;0;0;0;0
01053038;Grinau;-;0;0;0;0
01053039;Groß Boden;-;0;0;0;0
01053040;Groß Disnack;-;0;0;0;0
01053041;Groß Grönau;9;0;0;2;7
01053042;Groß Pampau;-;0;0;0;0
01053043;Groß Sarau;10;0;3;3;4
01053044;Groß Schenkenberg;-;0;0;0;0
01053045;Grove;-;0;0;0;0
01053046;Gudow;3;0;0;1;2
01053047;Gülzow;1;0;0;0;1
01053048;Güster;7;0;4;3;0
01053049;Hamfelde;1;0;0;0;1
01053050;Hamwarde;4;0;2;2;0
01053051;Harmsdorf;-;0;0;0;0
01053052;Havekost;-;0;0;0;0
01053053;Hohenhorn;5;0;0;1;4
01053054;Hollenbek;-;0;0;0;0
01053056;Hornbek;-;0;0;0;0
01053057;Horst;-;0;0;0;0
01053058;Juliusburg;-;0;0;0;0
01053059;Kankelau;1;1;0;0;0
01053060;Kasseburg;-;0;0;0;0
01053061;Kastorf;1;0;0;0;1
01053062;Kittlitz;-;0;0;0;0
01053064;Klein Pampau;-;0;0;0;0
01053066;Klein Zecher;-;0;0;0;0
01053067;Klempau;1;0;0;0;1
01053068;Klinkrade;2;0;0;0;2
01053069;Koberg;5;0;-1;1;5
01053070;Köthel;-;0;0;0;0
01053071;Kollow;1;0;0;0;1
01053072;Kröppelshagen-Fahrendorf;3;0;0;0;3
01053073;Krüzen;-;0;0;0;0
01053074;Krukow;-;0;0;0;0
01053075;Krummesse;1;0;0;0;1
01053076;Kuddewörde;2;0;0;0;2
01053077;Kühsen;-;0;0;0;0
01053078;Kulpin;-;0;0;0;0
01053079;Labenz;2;0;0;1;1
01053080;Langenlehsten;-;0;0;0;0
01053081;Lankau;-;0;0;0;0
01053082;Lanze;-;-1;0;1;0
01053083;Lauenburg/Elbe, Stadt;52;2;39;7;4
01053084;Lehmrade;-;0;0;0;0
01053085;Linau;1;0;0;0;1
01053086;Lüchow;-;0;0;0;0
01053087;Lütau;2;0;0;0;2
01053088;Mechow;-;0;0;0;0
01053089;Möhnsen;3;0;0;1;2
01053090;Mölln, Stadt;135;1;86;40;8
01053091;Mühlenrade;-;0;0;0;0
01053092;Müssen;2;0;1;0;1
01053093;Mustin;1;0;0;0;1
01053094;Niendorf bei Berkenthin;-;0;0;0;0
01053095;Niendorf/Stecknitz;-;0;0;0;0
01053096;Nusse;4;0;0;0;4
01053097;Panten;-;0;0;0;0
01053098;Pogeez;-;0;0;0;0
01053099;Poggensee;1;0;0;0;1
01053100;Ratzeburg, Stadt;31;2;3;18;8
01053101;Ritzerau;-;0;0;0;0
01053102;Römnitz;-;0;0;0;0
01053103;Rondeshagen;2;0;0;0;2
01053104;Roseburg;-;0;0;0;0
01053105;Sachsenwald, gemfr. Geb.;-;0;0;0;0
01053106;Sahms;1;0;0;0;1
01053107;Salem;1;0;0;1;0
01053108;Sandesneben;5;0;0;2;3
01053109;Schiphorst;-;0;0;0;0
01053110;Schmilau;1;0;0;0;1
01053111;Schnakenbek;1;0;0;0;1
01053112;Schönberg;2;0;0;1;1
01053113;Schretstaken;-;0;0;0;0
01053114;Schürensöhlen;-;0;0;0;0
01053115;Schulendorf;1;0;0;0;1
01053116;Schwarzenbek, Stadt;122;0;44;20;58
01053117;Seedorf;2;0;0;0;2
01053118;Siebenbäumen;-;0;0;0;0
01053119;Siebeneichen;2;0;1;0;1
01053120;Sierksrade;-;0;0;0;0
01053121;Sirksfelde;-;0;0;0;0
01053122;Steinhorst;1;0;0;1;0
01053123;Sterley;-;0;0;0;0
01053124;Stubben;-;0;0;0;0
01053125;Talkau;1;1;0;0;0
01053126;Tramm;1;0;0;0;1
01053127;Walksfelde;-;0;0;0;0
01053128;Wangelau;-;0;0;0;0
01053129;Wentorf bei Hamburg;76;13;35;20;8
01053130;Wentorf (Amt Sandesneben);6;0;0;0;6
01053131;Wiershop;-;0;0;0;0
01053132;Witzeeze;-;0;0;0;0
01053133;Wohltorf;3;1;1;0;1
01053134;Woltersdorf;1;0;0;0;1
01053135;Worth;-;0;0;0;0
01053136;Ziethen;2;0;0;1;1
01054001;Achtrup;1;0;0;0;1
01054002;Ahrenshöft;4;1;0;0;3
01054003;Ahrenviöl;1;0;0;0;1
01054004;Ahrenviölfeld;-;0;0;0;0
01054005;Alkersum;3;0;0;2;1
01054006;Almdorf;3;1;0;1;1
01054007;Arlewatt;-;0;0;0;0
01054009;Aventoft;6;3;2;0;1
01054010;Bargum;-;0;0;0;0
01054011;Behrendorf;4;0;0;1;3
01054012;Bohmstedt;3;0;0;1;2
01054013;Bondelum;-;0;0;0;0
01054014;Bordelum;6;0;-1;0;7
01054015;Borgsum;-;0;0;0;0
01054016;Bosbüll;1;0;0;1;0
01054017;Braderup;3;0;0;2;1
01054018;Bramstedtlund;-;0;0;0;0
01054019;Bredstedt, Stadt;11;0;7;-3;7
01054020;Breklum;11;0;2;4;5
01054022;Dagebüll;7;0;2;2;3
01054023;Drage;2;0;1;2;-1
01054024;Drelsdorf;3;0;0;1;2
01054025;Dunsum;1;0;0;0;1
01054026;Elisabeth-Sophien-Koog;-;0;0;0;0
01054027;Ellhöft;-;0;0;0;0
01054032;Fresendelf;-;0;0;0;0
01054033;Friedrichstadt, Stadt;6;0;0;0;6
01054034;Friedrich-Wilhelm-Lübke-Koog;-;0;0;0;0
01054035;Garding;-;0;-1;1;0
01054036;Garding, Stadt;2;0;0;2;0
01054037;Goldebek;-;0;0;0;0
01054038;Goldelund;-;0;0;0;0
01054039;Gröde;-;0;0;0;0
01054040;Grothusenkoog;-;0;0;0;0
01054041;Haselund;2;0;0;0;2
01054042;Hattstedt;9;0;0;0;9
01054043;Hattstedtermarsch;-;0;0;0;0
01054045;Högel;2;0;0;1;1
01054046;Hörnum (Sylt);41;14;1;2;24
01054048;Holm;-;0;0;0;0
01054050;Hallig Hooge;-;0;0;0;0
01054052;Horstedt;3;0;0;-1;4
01054054;Hude;-;0;0;0;0
01054055;Humptrup;5;4;0;0;1
01054056;Husum, Stadt;41;3;4;11;23
01054057;Immenstedt;1;0;0;0;1
01054059;Joldelund;-;0;0;0;0
01054061;Kampen (Sylt);25;8;4;7;6
01054062;Karlum;-;0;0;0;0
01054063;Katharinenheerd;-;0;0;0;0
01054065;Klanxbüll;3;0;0;1;2
01054068;Klixbüll;1;0;0;1;0
01054070;Koldenbüttel;1;0;0;0;1
01054071;Kolkerheide;-;0;0;0;0
01054072;Kotzenbüll;1;0;0;0;1
01054073;Ladelund;-;0;0;0;0
01054074;Langeneß;-1;0;0;0;-1
01054075;Langenhorn;7;0;0;1;6
01054076;Leck;12;-4;0;6;10
01054077;Lexgaard;-;0;0;0;0
01054078;List auf Sylt;28;6;7;7;8
01054079;Löwenstedt;3;0;0;0;3
01054080;Lütjenholm;-;0;0;0;0
01054083;Midlum;3;0;1;0;2
01054084;Mildstedt;7;0;2;0;5
01054085;Nebel;10;0;0;3;7
01054086;Neukirchen;1;0;0;0;1
01054087;Nieblum;5;0;1;1;3
01054088;Niebüll, Stadt;50;7;2;7;34
01054089;Norddorf auf Amrum;4;0;-1;2;3
01054090;Norderfriedrichskoog;-;0;0;0;0
01054091;Nordstrand;4;-1;0;2;3
01054092;Norstedt;-;0;0;0;0
01054093;Ockholm;-;0;0;0;0
01054094;Oevenum;11;8;0;1;2
01054095;Oldenswort;6;0;0;4;2
01054096;Oldersbek;2;0;0;0;2
01054097;Olderup;1;0;1;0;0
01054098;Oldsum;3;1;1;0;1
01054099;Ostenfeld (Husum);5;1;3;0;1
01054100;Osterhever;1;0;0;1;0
01054101;Oster-Ohrstedt;1;0;0;0;1
01054103;Pellworm;2;0;2;1;-1
01054104;Poppenbüll;-;0;0;-1;1
01054105;Ramstedt;1;0;1;0;0
01054106;Rantrum;5;1;0;1;3
01054107;Rantum (Sylt);21;3;9;6;3
01054108;Reußenköge;4;1;1;1;1
01054109;Risum-Lindholm;16;0;10;2;4
01054110;Rodenäs;2;1;0;0;1
01054113;Sankt Peter-Ording;56;9;4;25;18
01054116;Schwabstedt;1;0;0;0;1
01054118;Schwesing;-;0;0;0;0
01054119;Seeth;3;0;-1;4;0
01054120;Simonsberg;1;0;-1;1;1
01054121;Sönnebüll;-;0;0;0;0
01054123;Sollwitt;-;0;0;0;0
01054124;Sprakebüll;-;0;0;0;0
01054125;Stadum;4;0;0;1;3
