Regierungsbezirk;Kreis/Kreisfreie Stadt ;Kommune;Anzahl der durchgeführten verkaufsoffenen Sonn- und Feiertage ;für Verordnung/en herangezogene Sachgründe (1-5) nach § 6 Abs. 1 S. 2 LÖG NRW;Freigabe von verkaufsoffenen Sonn- und Feiertagen durch Dauerverordnung/en (Ja/Nein) ;gerichtliche Streitfälle/ Erläuterungen 
Regierungsbezirk Arnsberg;Kreis Soest; Erwitte;4;1,3;Ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Geseke;4;1,3;Ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Lippetal;3;1;Ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Lippstadt;9; 1,2,3,4 ;Ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Möhnesee;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Rüthen;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Soest;4;1;Ja;keine
Regierungsbezirk Arnsberg;Kreis Soest; Warstein;1;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Welver;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Werl;4;4;Nein;keine
Regierungsbezirk Arnsberg;Kreis Soest; Wickede;1;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Bergkamen;2;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Bönen;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Fröndenberg;4;1,3,4,5;Ja;keine
Regierungsbezirk Arnsberg;Kreis Unna; Holzwickede;0;;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Kamen;3;1;Ja;keine
Regierungsbezirk Arnsberg;Kreis Unna; Lünen;2;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Schwerte;4;1;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Selm;4;4;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Unna;4;4;Nein;keine
Regierungsbezirk Arnsberg;Kreis Unna; Werne;4;1;Ja;keine
Regierungsbezirk Detmold gesamt;Regierungsbezirk Detmold gesamt;Regierungsbezirk Detmold gesamt;198;/;/;/
Regierungsbezirk Detmold;Stadt Bielefeld;Stadt Bielefeld;11;Nr. 1;ja;
Regierungsbezirk Detmold;Kreis Gütersloh;Borgholzhausen;2;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Gütersloh;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Halle;4;Nr. 1;3 ja / 1 nein;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Harsewinkel;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Herzebrock-Clarholz;1;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Langenberg;3;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;"Rheda-
Wiedenbrück";8;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Rietberg;7;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Schloß Holte-Stukenbrock;3;Nr. 1 ;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Steinhagen;4;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Verl;4;Nrn. 1 und 2;nein;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Versmold;4;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Gütersloh;Werther;3;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Bünde;3;Nr. 3;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Enger;3;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Herford;4;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Hiddenhausen;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Kirchlengern;3;Nr. 3 ;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Löhne;4;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Herford;Rödinghausen;8;Zusammenhang mit örtl. Festen, Märkten, Messen oder ähnl. Veranstaltungen;ja;keine
Regierungsbezirk Detmold;Kreis Herford;Spenge;2;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Herford;Vlotho;3;0;nein;keine
Regierungsbezirk Detmold;Kreis Höxter;Bad Driburg;3;Nr. 3;nein;keine
Regierungsbezirk Detmold;Kreis Höxter;Beverungen;2;Nr. 3;nein;keine
Regierungsbezirk Detmold;Kreis Höxter;Borgentreich;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Höxter;Brakel;4;Nr. 4;ja;keine
Regierungsbezirk Detmold;Kreis Höxter;Höxter;4;Nr. 4;ja;keine
Regierungsbezirk Detmold;Kreis Höxter;Marienmünster;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Höxter;Nieheim;1;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Höxter;Steinheim;1;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Höxter;Warburg;3;Nr. 3;ja;keine
Regierungsbezirk Detmold;Kreis Höxter;Willebadessen;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Augustdorf;0;0;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Bad Salzuflen;6;Nrn. 1 - 5;ja;4 verkaufsoffene Sonntage im OT Bad Salzuflen, 2 im OT Schötmar
Regierungsbezirk Detmold;Kreis Lippe;Barntrup;2;1;ja;-
Regierungsbezirk Detmold;Kreis Lippe;Blomberg;4;Nr. 1;nein;keine
Regierungsbezirk Detmold;Kreis Lippe;Detmold;5;Nr. 1;ja;keine
Regierungsbezirk Detmold;Kreis Lippe;Dörentrup;0;0;nein;keine
