Stadtbezirk;Stadtteil;Stadtteilname;Jahr;INSGESAMT;HH_EINE_PERSON;HH_EINE_PERSON_25B69;HH_MIT_KINDERN;HH_MIT_3OM_KINDERN;HH_ALLEINERZIEHEND;BEVOELKERUNG_IN_HH
4;22;Bochold;2015;9109;4165;2818;1777;292;539;17881
4;23;Bergeborbeck;2015;2210;1021;711;494;79;211;4301
5;24;Altenessen-Nord;2015;8056;3311;2239;1775;295;448;17074
5;25;Altenessen-Süd;2015;13649;6875;4837;2702;505;804;26309
5;40;Karnap;2015;3930;1721;1171;813;114;210;7922
5;50;Vogelheim;2015;2700;1117;801;636;98;185;5648
6;37;Schonnebeck;2015;5397;2189;1478;1157;162;304;11182
6;38;Stoppenberg;2015;7929;3189;2235;1839;215;471;16510
6;39;Katernberg;2015;10670;4293;2893;2609;471;710;23082
7;34;Steele;2015;8648;4285;2875;1412;167;381;15981
7;35;Kray;2015;9976;4865;3404;1930;310;608;19188
7;45;Freisenbruch;2015;8054;3294;1950;1690;247;515;16303
7;46;Horst;2015;4822;1726;1123;1000;153;208;10253
7;47;Leithe;2015;3249;1326;785;651;65;158;6526
8;31;Heisingen;2015;6336;2479;1532;1174;106;187;12788
8;32;Kupferdreh;2015;5567;2241;1528;1156;108;200;11352
8;33;Byfang;2015;998;348;221;149;13;13;2059
8;43;Überruhr-Hinsel;2015;4005;1636;968;645;46;150;7765
8;44;Überruhr-Holthausen;2015;3850;1426;884;753;78;150;7851
8;48;Burgaltendorf;2015;4611;1700;1126;836;65;132;9378
9;26;Bredeney;2015;5691;2665;1763;920;83;135;10687
9;27;Schuir;2015;685;255;162;138;12;15;1455
9;29;Werden;2015;5365;2725;1678;841;65;175;9648
9;30;Heidhausen;2015;2960;1105;724;622;70;90;6228
9;42;Fischlaken;2015;2186;845;541;421;33;76;4409
9;49;Kettwig;2015;9099;3891;2464;1595;122;318;17553
1;1;Stadtkern;2014;2259;1577;1148;252;55;83;3511
1;2;Ostviertel;2014;3786;2328;1734;579;128;188;6513
1;3;Nordviertel;2014;4585;2842;1904;718;164;255;7844
1;4;Westviertel;2014;1243;787;552;129;27;26;1985
1;5;Südviertel;2014;7453;4908;3754;833;94;233;11503
1;6;Südostviertel;2014;7161;4569;3340;1007;202;310;11808
1;11;Huttrop;2014;8078;4105;2699;1353;157;364;14689
1;36;Frillendorf;2014;2888;1337;951;516;61;107;5630
2;10;Rüttenscheid;2014;17662;10739;8020;2135;155;497;28395
2;12;Rellinghausen;2014;1651;696;471;305;24;51;3293
2;13;Bergerhausen;2014;6438;3243;2143;1021;90;224;11628
2;14;Stadtwald;2014;5151;2293;1542;902;74;158;9888
3;7;Altendorf;2014;11991;6956;4921;2031;408;647;21396
3;8;Frohnhausen;2014;18694;10816;7724;2732;376;912;31709
3;9;Holsterhausen;2014;16243;10436;7697;1912;196;558;25464
3;15;Fulerum;2014;1716;663;442;314;22;65;3341
3;28;Haarzopf;2014;3287;1273;752;635;54;92;6713
3;41;Margarethenhöhe;2014;3871;1769;1070;676;64;157;7297
4;16;Schönebeck;2014;4928;1970;1305;846;82;151;9771
4;17;Bedingrade;2014;6348;2781;1824;1020;69;243;12008
4;18;Frintrop;2014;4518;2077;1384;760;78;201;8525
4;19;Dellwig;2014;4584;2034;1361;806;81;249;8805
4;20;Gerschede;2014;3831;1477;999;720;74;154;7767
4;21;Borbeck-Mitte;2014;7391;3679;2410;1194;125;337;13554
4;22;Bochold;2014;9030;4119;2778;1716;249;524;17606
4;23;Bergeborbeck;2014;2179;996;677;490;76;210;4258
5;24;Altenessen-Nord;2014;7996;3276;2195;1811;300;426;17058
5;25;Altenessen-Süd;2014;13509;6821;4748;2653;445;818;25782
5;40;Karnap;2014;3832;1681;1125;784;110;193;7732
5;50;Vogelheim;2014;2749;1156;822;638;106;178;5738
6;37;Schonnebeck;2014;5461;2256;1526;1137;139;305;11175
6;38;Stoppenberg;2014;8034;3285;2311;1837;201;471;16587
6;39;Katernberg;2014;10651;4281;2836;2610;455;721;22942
7;34;Steele;2014;8724;4357;2911;1420;169;370;16077
7;35;Kray;2014;10148;5004;3490;1887;276;581;19324
7;45;Freisenbruch;2014;8063;3317;1976;1689;223;515;16248
7;46;Horst;2014;4630;1693;1113;907;133;190;9722
7;47;Leithe;2014;3265;1347;809;642;65;165;6508
8;31;Heisingen;2014;6366;2493;1576;1179;111;181;12851
8;32;Kupferdreh;2014;5575;2243;1534;1184;109;205;11361
8;33;Byfang;2014;979;332;210;150;12;16;2033
8;43;Überruhr-Hinsel;2014;3914;1537;932;640;43;146;7660
8;44;Überruhr-Holthausen;2014;3847;1410;876;753;81;147;7866
8;48;Burgaltendorf;2014;4603;1695;1142;828;68;122;9399
9;26;Bredeney;2014;5683;2648;1770;926;89;139;10688
9;27;Schuir;2014;721;273;162;143;15;17;1514
9;29;Werden;2014;5340;2692;1672;822;69;169;9581
9;30;Heidhausen;2014;2966;1117;726;607;66;84;6220
9;42;Fischlaken;2014;2175;854;548;413;35;75;4390
9;49;Kettwig;2014;8972;3828;2475;1580;124;325;17315
1;1;Stadtkern;2013;2216;1531;1082;260;54;82;3467
1;2;Ostviertel;2013;3755;2326;1692;560;117;185;6415
1;3;Nordviertel;2013;4581;2822;1868;706;163;265;7832
1;4;Westviertel;2013;1099;689;483;109;22;23;1759
1;5;Südviertel;2013;7333;4790;3649;794;98;237;11356
1;6;Südostviertel;2013;7119;4489;3333;982;185;292;11767
1;11;Huttrop;2013;8020;4080;2663;1301;160;361;14559
1;36;Frillendorf;2013;2866;1302;936;516;55;118;5596
2;10;Rüttenscheid;2013;17419;10541;7925;2116;158;495;28106
2;12;Rellinghausen;2013;1649;704;481;297;30;55;3275
2;13;Bergerhausen;2013;6382;3224;2133;987;80;211;11499
2;14;Stadtwald;2013;5112;2258;1527;910;74;161;9854
3;7;Altendorf;2013;11586;6613;4624;1986;390;618;20843
3;8;Frohnhausen;2013;18308;10535;7502;2687;362;893;31218
3;9;Holsterhausen;2013;15944;10139;7420;1915;184;584;25119
3;15;Fulerum;2013;1664;614;390;313;22;67;3295
3;28;Haarzopf;2013;3232;1257;754;606;48;91;6551
3;41;Margarethenhöhe;2013;3723;1688;1023;697;64;165;7099
4;16;Schönebeck;2013;4928;1954;1292;862;74;159;9799
4;17;Bedingrade;2013;6250;2679;1757;1057;70;268;11956
4;18;Frintrop;2013;4533;2063;1361;778;84;228;8566
4;19;Dellwig;2013;4599;1987;1321;844;82;276;8911
4;20;Gerschede;2013;3791;1470;968;710;71;148;7704
4;21;Borbeck-Mitte;2013;7248;3522;2284;1195;120;326;13455
4;22;Bochold;2013;8925;4023;2701;1695;237;498;17483
4;23;Bergeborbeck;2013;2177;1002;669;495;75;210;4276
5;24;Altenessen-Nord;2013;7823;3117;2077;1800;285;441;16756
5;25;Altenessen-Süd;2013;13323;6665;4658;2618;428;826;25434
5;40;Karnap;2013;3781;1606;1072;824;111;221;7731
5;50;Vogelheim;2013;2743;1155;796;636;107;178;5702
6;37;Schonnebeck;2013;5362;2143;1435;1151;149;304;11100
6;38;Stoppenberg;2013;7908;3148;2158;1863;206;472;16532
6;39;Katernberg;2013;10521;4157;2721;2595;442;726;22804
7;34;Steele;2013;8671;4264;2864;1450;164;389;16102
7;35;Kray;2013;9759;4713;3222;1904;254;583;18854
7;45;Freisenbruch;2013;7987;3262;1964;1672;209;524;16084
7;46;Horst;2013;4634;1667;1087;917;122;212;9761
7;47;Leithe;2013;3184;1270;763;649;56;176;6421
8;31;Heisingen;2013;6331;2451;1541;1174;105;181;12808
8;32;Kupferdreh;2013;5433;2191;1505;1120;102;192;11078
8;33;Byfang;2013;961;328;212;158;16;13;2031
8;43;Überruhr-Hinsel;2013;3930;1515;936;655;41;156;7759
8;44;Überruhr-Holthausen;2013;3830;1372;860;752;82;156;7919
8;48;Burgaltendorf;2013;4571;1631;1088;840;67;132;9408
9;26;Bredeney;2013;5691;2654;1785;911;93;146;10724
9;27;Schuir;2013;678;244;154;141;14;23;1443
9;29;Werden;2013;5286;2618;1657;809;73;173;9547
9;30;Heidhausen;2013;2936;1066;679;630;61;98;6234
9;42;Fischlaken;2013;2176;865;551;423;37;74;4416
9;49;Kettwig;2013;8980;3796;2434;1586;125;339;17377
1;1;Stadtkern;2012;2137;1458;1005;250;62;83;3391
1;2;Ostviertel;2012;3723;2290;1646;579;108;199;6388
1;3;Nordviertel;2012;4428;2658;1720;729;163;295;7691
1;4;Westviertel;2012;968;654;449;91;22;22;1495
1;5;Südviertel;2012;7192;4684;3530;766;105;238;11135
1;6;Südostviertel;2012;7036;4414;3197;984;181;301;11644
1;11;Huttrop;2012;8022;4089;2582;1305;156;364;14531
1;36;Frillendorf;2012;2841;1274;872;509;52;120;5540
2;10;Rüttenscheid;2012;17418;10539;7811;2141;162;556;28124
2;12;Rellinghausen;2012;1637;710;477;298;24;55;3235
2;13;Bergerhausen;2012;6395;3206;2082;972;71;230;11527
2;14;Stadtwald;2012;5117;2261;1518;893;76;168;9844
3;7;Altendorf;2012;11396;6394;4393;2005;363;682;20564
3;8;Frohnhausen;2012;18081;10286;7222;2739;359;960;30994
3;9;Holsterhausen;2012;15717;9922;7074;1922;183;658;24814
3;15;Fulerum;2012;1669;624;377;299;20;72;3284
3;28;Haarzopf;2012;3251;1249;746;603;47;97;6596
3;41;Margarethenhöhe;2012;3745;1707;1021;717;62;189;7115
4;16;Schönebeck;2012;4894;1899;1242;890;74;182;9818
4;17;Bedingrade;2012;6214;2623;1689;1085;72;295;11981
4;18;Frintrop;2012;4462;2014;1282;770;69;252;8405
4;19;Dellwig;2012;4585;1933;1270;870;85;280;8965
4;20;Gerschede;2012;3835;1480;977;740;72;178;7807
4;21;Borbeck-Mitte;2012;7172;3458;2218;1186;107;349;13345
4;22;Bochold;2012;8896;3916;2547;1725;258;531;17645
4;23;Bergeborbeck;2012;2139;961;614;493;77;211;4252
5;24;Altenessen-Nord;2012;7789;3078;1988;1801;286;459;16703
5;25;Altenessen-Süd;2012;13184;6535;4464;2609;417;848;25249
5;40;Karnap;2012;3793;1615;1048;829;106;246;7727
5;50;Vogelheim;2012;2753;1144;756;639;102;207;5714
6;37;Schonnebeck;2012;5298;2084;1350;1158;145;310;11064
6;38;Stoppenberg;2012;7860;3071;2048;1877;211;509;16477
6;39;Katernberg;2012;10411;4057;2571;2585;447;764;22656
7;34;Steele;2012;8594;4170;2774;1453;156;432;15978
7;35;Kray;2012;9740;4670;3104;1889;243;605;18801
7;45;Freisenbruch;2012;7937;3203;1878;1681;210;501;16103
7;46;Horst;2012;4663;1646;1059;934;114;221;9932
7;47;Leithe;2012;3201;1272;721;673;61;184;6492
8;31;Heisingen;2012;6353;2463;1536;1157;103;195;12826
8;32;Kupferdreh;2012;5372;2148;1472;1099;94;220;10917
8;33;Byfang;2012;981;345;222;163;18;15;2063
8;43;Überruhr-Hinsel;2012;4017;1594;938;665;42;168;7868
8;44;Überruhr-Holthausen;2012;3850;1375;843;761;89;181;7964
8;48;Burgaltendorf;2012;4605;1646;1085;843;67;144;9467
9;26;Bredeney;2012;5708;2645;1749;933;93;183;10787
9;27;Schuir;2012;656;217;136;140;13;24;1421
9;29;Werden;2012;5361;2641;1636;826;80;183;9699
9;30;Heidhausen;2012;2906;1054;655;629;57;114;6178
9;42;Fischlaken;2012;2172;843;528;415;37;85;4412
9;49;Kettwig;2012;8979;3778;2391;1593;120;360;17434
1;1;Stadtkern;2011;2025;1373;969;255;58;81;3256
1;2;Ostviertel;2011;3646;2218;1612;590;110;204;6331
1;3;Nordviertel;2011;4229;2505;1638;701;154;251;7411
1;4;Westviertel;2011;915;588;431;92;21;25;1455
1;5;Südviertel;2011;7037;4530;3392;766;101;237;11001
1;6;Südostviertel;2011;6892;4280;3158;996;172;329;11481
1;11;Huttrop;2011;7955;4037;2605;1264;145;351;14410
1;36;Frillendorf;2011;2848;1269;883;521;57;127;5569
2;10;Rüttenscheid;2011;17107;10227;7710;2170;164;567;27808
2;12;Rellinghausen;2011;1608;685;462;299;28;50;3204
2;13;Bergerhausen;2011;6428;3245;2162;978;70;233;11613
2;14;Stadtwald;2011;5164;2283;1558;917;75;178;9963
3;7;Altendorf;2011;11214;6237;4285;1976;350;669;20284
3;8;Frohnhausen;2011;17839;10046;7160;2740;341;960;30739
3;9;Holsterhausen;2011;15638;9741;7050;1980;176;678;24869
3;15;Fulerum;2011;1645;598;382;303;23;72;3287
3;28;Haarzopf;2011;3250;1227;759;599;45;97;6637
3;41;Margarethenhöhe;2011;3694;1678;1020;708;61;174;7045
4;16;Schönebeck;2011;4924;1918;1300;911;81;187;9892
4;17;Bedingrade;2011;6226;2585;1699;1105;69;283;12094
4;18;Frintrop;2011;4429;1979;1271;768;70;227;8389
4;19;Dellwig;2011;4563;1942;1311;867;81;258;8930
4;20;Gerschede;2011;3824;1454;953;760;64;170;7827
4;21;Borbeck-Mitte;2011;7131;3386;2214;1227;119;346;13422
4;22;Bochold;2011;8857;3857;2568;1736;253;528;17674
4;23;Bergeborbeck;2011;2134;949;605;491;76;210;4234
5;24;Altenessen-Nord;2011;7712;3008;1971;1783;287;441;16655
5;25;Altenessen-Süd;2011;13113;6417;4374;2624;425;840;25213
5;40;Karnap;2011;3758;1586;1017;829;113;232;7722
5;50;Vogelheim;2011;2742;1138;760;659;102;213;5711
6;37;Schonnebeck;2011;5240;2042;1350;1180;143;311;10989
6;38;Stoppenberg;2011;7848;3011;2028;1899;213;491;16578
6;39;Katernberg;2011;10385;4020;2588;2592;445;740;22740
7;34;Steele;2011;8514;4095;2744;1454;149;404;15957
7;35;Kray;2011;9729;4650;3118;1895;246;603;18775
7;45;Freisenbruch;2011;7923;3128;1896;1668;210;491;16170
7;46;Horst;2011;4672;1632;1101;962;119;221;10036
7;47;Leithe;2011;3235;1260;725;694;66;210;6584
8;31;Heisingen;2011;6300;2413;1547;1153;108;198;12780
8;32;Kupferdreh;2011;5381;2130;1483;1125;91;234;10987
8;33;Byfang;2011;1004;358;238;168;17;17;2093
8;43;Überruhr-Hinsel;2011;4027;1580;953;692;42;175;7923
8;44;Überruhr-Holthausen;2011;3848;1348;835;749;96;180;8009
8;48;Burgaltendorf;2011;4578;1604;1080;876;67;157;9494
9;26;Bredeney;2011;5659;2602;1774;942;99;182;10728
9;27;Schuir;2011;660;210;140;144;16;23;1450
9;29;Werden;2011;5306;2574;1685;822;82;193;9675
9;30;Heidhausen;2011;2875;1013;656;625;62;112;6141
9;42;Fischlaken;2011;2183;857;555;426;36;92;4407
9;49;Kettwig;2011;8891;3699;2407;1600;117;352;17366
1;1;Stadtkern;2010;1915;1279;913;247;61;78;3135
1;2;Ostviertel;2010;3593;2113;1556;602;111;202;6319
1;3;Nordviertel;2010;4120;2427;1607;676;147;229;7257
1;4;Westviertel;2010;902;573;407;100;20;32;1439
1;5;Südviertel;2010;7091;4606;3408;759;94;237;11018
1;6;Südostviertel;2010;6718;4142;3090;1013;173;342;11299
1;11;Huttrop;2010;7920;3974;2573;1309;142;376;14461
1;36;Frillendorf;2010;2786;1230;868;514;59;119;5472
2;10;Rüttenscheid;2010;17048;10101;7571;2191;173;573;27880
2;12;Rellinghausen;2010;1628;683;472;291;26;48;3245
2;13;Bergerhausen;2010;6340;3127;2103;1013;70;245;11584
2;14;Stadtwald;2010;5096;2207;1518;911;70;182;9927
3;7;Altendorf;2010;11022;6025;4190;2017;350;680;20172
3;8;Frohnhausen;2010;17780;9874;7065;2807;342;965;30926
3;9;Holsterhausen;2010;15504;9575;6958;1956;189;663;24836
3;15;Fulerum;2010;1628;593;384;303;24;75;3248
3;28;Haarzopf;2010;3238;1222;778;575;46;92;6624
3;41;Margarethenhöhe;2010;3707;1672;1015;709;63;171;7108
4;16;Schönebeck;2010;4868;1845;1234;924;76;182;9901
4;17;Bedingrade;2010;6215;2537;1654;1140;73;294;12211
4;18;Frintrop;2010;4434;1937;1262;797;64;233;8479
4;19;Dellwig;2010;4560;1930;1278;887;82;252;8973
4;20;Gerschede;2010;3810;1416;952;784;64;174;7859
4;21;Borbeck-Mitte;2010;7019;3327;2192;1216;117;346;13248
4;22;Bochold;2010;8884;3842;2531;1780;259;535;17851
4;23;Bergeborbeck;2010;2100;927;574;485;78;187;4254
5;24;Altenessen-Nord;2010;7696;2976;1935;1800;291;447;16669
5;25;Altenessen-Süd;2010;12965;6204;4235;2664;418;839;25238
5;40;Karnap;2010;3769;1558;1000;867;117;246;7817
5;50;Vogelheim;2010;2755;1138;757;677;100;218;5789
6;37;Schonnebeck;2010;5218;2005;1321;1178;137;302;10994
6;38;Stoppenberg;2010;7823;2980;1984;1940;215;510;16577
6;39;Katernberg;2010;10261;3890;2508;2597;463;701;22708
7;34;Steele;2010;8449;4030;2710;1498;154;431;15951
7;35;Kray;2010;9687;4532;3021;1924;251;592;18927
7;45;Freisenbruch;2010;7913;3079;1847;1715;202;495;16250
7;46;Horst;2010;4680;1606;1109;989;121;213;10127
7;47;Leithe;2010;3209;1223;682;696;66;203;6589
8;31;Heisingen;2010;6253;2379;1522;1160;98;206;12728
8;32;Kupferdreh;2010;5326;2097;1466;1121;92;228;10953
8;33;Byfang;2010;987;334;220;174;15;20;2109
8;43;Überruhr-Hinsel;2010;4004;1532;932;717;37;181;7976
8;44;Überruhr-Holthausen;2010;3812;1290;798;759;100;184;8024
8;48;Burgaltendorf;2010;4580;1567;1052;882;66;149;9611
9;26;Bredeney;2010;5623;2551;1773;941;100;186;10741
9;27;Schuir;2010;661;211;139;144;16;21;1441
9;29;Werden;2010;5260;2531;1668;820;78;196;9632
9;30;Heidhausen;2010;2833;970;623;619;58;102;6120
9;42;Fischlaken;2010;2172;845;561;431;39;86;4434
9;49;Kettwig;2010;8802;3594;2344;1618;124;347;17347
1;1;Stadtkern;2009;1941;1267;914;267;63;81;3239
1;2;Ostviertel;2009;3570;2068;1556;623;119;202;6366
1;3;Nordviertel;2009;4094;2359;1576;707;145;231;7300
1;4;Westviertel;2009;902;582;421;102;20;26;1447
1;5;Südviertel;2009;6974;4493;3310;780;89;239;10936
1;6;Südostviertel;2009;6681;4094;3015;1025;173;363;11250
1;11;Huttrop;2009;7843;3929;2544;1307;137;363;14353
1;36;Frillendorf;2009;2802;1224;878;531;57;116;5573
2;10;Rüttenscheid;2009;16866;9907;7395;2206;162;606;27702
2;12;Rellinghausen;2009;1620;669;465;306;28;49;3264
2;13;Bergerhausen;2009;6363;3108;2097;1035;73;244;11691
2;14;Stadtwald;2009;5088;2167;1505;911;69;184;9970
3;7;Altendorf;2009;10902;5948;4116;2050;359;699;20008
3;8;Frohnhausen;2009;17769;9825;7071;2818;314;960;30979
3;9;Holsterhausen;2009;15347;9387;6745;1959;178;666;24651
3;15;Fulerum;2009;1645;592;384;312;23;72;3321
3;28;Haarzopf;2009;3179;1185;760;581;42;92;6540
3;41;Margarethenhöhe;2009;3727;1669;1025;720;66;190;7148
4;16;Schönebeck;2009;4861;1808;1221;953;82;182;9976
4;17;Bedingrade;2009;6188;2488;1652;1173;77;286;12250
4;18;Frintrop;2009;4376;1913;1264;791;66;218;8432
4;19;Dellwig;2009;4518;1863;1240;924;89;256;9035
4;20;Gerschede;2009;3802;1405;924;799;59;176;7888
4;21;Borbeck-Mitte;2009;6969;3277;2167;1204;110;345;13186
4;22;Bochold;2009;8809;3749;2468;1830;259;541;17868
4;23;Bergeborbeck;2009;2099;920;593;494;79;195;4254
5;24;Altenessen-Nord;2009;7650;2896;1872;1836;291;443;16722
5;25;Altenessen-Süd;2009;12967;6159;4245;2729;427;869;25434
5;40;Karnap;2009;3770;1520;994;898;119;248;7914
5;50;Vogelheim;2009;2771;1149;750;673;104;197;5858
6;37;Schonnebeck;2009;5219;2010;1312;1182;139;284;11013
6;38;Stoppenberg;2009;7774;2929;1941;1962;236;526;16608
6;39;Katernberg;2009;10296;3876;2540;2652;455;712;22871
7;34;Steele;2009;8465;3998;2697;1531;167;430;16133
7;35;Kray;2009;9663;4483;2976;1979;277;574;19107
7;45;Freisenbruch;2009;7904;2996;1807;1748;192;493;16401
7;46;Horst;2009;4635;1551;1075;1014;115;221;10145
7;47;Leithe;2009;3173;1176;669;694;67;196;6601
8;31;Heisingen;2009;6214;2377;1540;1172;107;214;12646
8;32;Kupferdreh;2009;5326;2098;1450;1167;97;231;11016
8;33;Byfang;2009;991;325;214;180;15;26;2122
8;43;Überruhr-Hinsel;2009;3985;1513;915;724;41;174;7981
8;44;Überruhr-Holthausen;2009;3838;1282;789;770;95;187;8079
8;48;Burgaltendorf;2009;4578;1557;1067;919;62;157;9638
9;26;Bredeney;2009;5606;2506;1766;958;95;198;10760
9;27;Schuir;2009;663;217;143;141;17;21;1446
9;29;Werden;2009;5209;2483;1667;847;74;226;9593
9;30;Heidhausen;2009;2811;967;616;625;59;115;6099
9;42;Fischlaken;2009;2161;834;558;427;31;82;4433
9;49;Kettwig;2009;8766;3528;2337;1659;120;354;17388
1;1;Stadtkern;2008;1906;1224;906;272;61;80;3228
1;2;Ostviertel;2008;3618;2104;1584;625;127;202;6474
1;3;Nordviertel;2008;4173;2374;1597;740;140;252;7440
1;4;Westviertel;2008;962;635;477;104;20;20;1524
1;5;Südviertel;2008;7050;4528;3374;809;87;254;11061
1;6;Südostviertel;2008;6742;4100;3015;1031;177;345;11363
1;11;Huttrop;2008;7814;3891;2524;1307;128;362;14330
1;36;Frillendorf;2008;2814;1205;876;547;59;115;5652
2;10;Rüttenscheid;2008;16899;9912;7384;2184;162;614;27739
2;12;Rellinghausen;2008;1643;699;490;296;27;52;3262
2;13;Bergerhausen;2008;6389;3092;2107;1056;75;243;11802
2;14;Stadtwald;2008;5089;2177;1514;932;68;191;9982
3;7;Altendorf;2008;11110;6086;4211;2034;343;672;20227
3;8;Frohnhausen;2008;17969;9919;7116;2884;314;964;31344
3;9;Holsterhausen;2008;15459;9426;6736;1989;176;679;24867
3;15;Fulerum;2008;1620;579;384;308;19;66;3290
3;28;Haarzopf;2008;3171;1163;752;595;42;99;6560
3;41;Margarethenhöhe;2008;3726;1665;1028;713;74;180;7186
4;16;Schönebeck;2008;4899;1827;1236;960;81;182;10095
4;17;Bedingrade;2008;6196;2487;1664;1232;85;296;12351
4;18;Frintrop;2008;4424;1888;1256;825;71;226;8589
4;19;Dellwig;2008;4564;1853;1240;954;88;266;9180
4;20;Gerschede;2008;3841;1427;955;809;64;187;7966
4;21;Borbeck-Mitte;2008;7041;3329;2192;1228;115;362;13258
4;22;Bochold;2008;8874;3784;2500;1824;249;524;17957
4;23;Bergeborbeck;2008;2071;892;587;498;70;180;4251
5;24;Altenessen-Nord;2008;7709;2899;1876;1898;300;460;16961
5;25;Altenessen-Süd;2008;13067;6149;4206;2768;420;861;25708
5;40;Karnap;2008;3773;1508;969;927;121;245;7987
5;50;Vogelheim;2008;2785;1144;736;692;102;201;5922
6;37;Schonnebeck;2008;5302;2032;1336;1235;157;306;11262
6;38;Stoppenberg;2008;7656;2882;1905;1934;229;479;16423
6;39;Katernberg;2008;10422;3875;2525;2745;450;712;23198
7;34;Steele;2008;8575;4004;2697;1586;173;445;16459
7;35;Kray;2008;9615;4415;2914;2006;267;571;19100
7;45;Freisenbruch;2008;7944;2999;1822;1804;202;511;16476
7;46;Horst;2008;4670;1589;1103;1027;132;230;10216
7;47;Leithe;2008;3211;1172;664;722;72;201;6711
8;31;Heisingen;2008;6191;2400;1558;1137;99;180;12575
8;32;Kupferdreh;2008;5384;2131;1467;1202;101;252;11118
8;33;Byfang;2008;998;333;209;186;15;31;2139
8;43;Überruhr-Hinsel;2008;3990;1507;912;732;46;168;8035
8;44;Überruhr-Holthausen;2008;3843;1291;786;776;93;179;8109
8;48;Burgaltendorf;2008;4566;1554;1060;926;62;153;9629
9;26;Bredeney;2008;5652;2538;1791;967;101;201;10826
9;27;Schuir;2008;662;209;142;136;18;18;1457
9;29;Werden;2008;5232;2513;1720;851;78;208;9663
9;30;Heidhausen;2008;2806;963;636;612;60;113;6099
9;42;Fischlaken;2008;2170;856;574;424;35;82;4433
9;49;Kettwig;2008;8850;3624;2407;1662;127;359;17446
1;1;Stadtkern;2007;1942;1240;915;291;64;98;3305
1;2;Ostviertel;2007;3568;2056;1511;628;127;190;6410
1;3;Nordviertel;2007;4216;2346;1580;760;138;247;7566
1;4;Westviertel;2007;974;640;483;111;17;16;1547
1;5;Südviertel;2007;6988;4419;3240;799;82;265;11015
1;6;Südostviertel;2007;6724;3999;2914;1039;173;329;11434
1;11;Huttrop;2007;7825;3850;2465;1333;139;382;14373
1;36;Frillendorf;2007;2860;1224;854;568;60;124;5768
2;10;Rüttenscheid;2007;16808;9885;7190;2156;170;624;27562
2;12;Rellinghausen;2007;1632;693;476;299;30;46;3249
2;13;Bergerhausen;2007;6368;3030;1993;1046;79;227;11819
2;14;Stadtwald;2007;5131;2203;1524;945;75;195;10078
3;7;Altendorf;2007;11166;6001;4042;2112;333;677;20472
3;8;Frohnhausen;2007;17909;9766;6903;2933;313;949;31379
3;9;Holsterhausen;2007;15395;9321;6564;2012;179;690;24849
3;15;Fulerum;2007;1629;582;375;314;20;65;3300
3;28;Haarzopf;2007;3172;1156;733;592;43;99;6575
3;41;Margarethenhöhe;2007;3695;1672;993;727;76;177;7120
4;16;Schönebeck;2007;4881;1785;1185;977;79;175;10104
4;17;Bedingrade;2007;6215;2471;1628;1247;83;289;12400
4;18;Frintrop;2007;4437;1880;1216;865;75;235;8671
4;19;Dellwig;2007;4605;1890;1238;952;91;249;9271
4;20;Gerschede;2007;3811;1372;888;851;75;212;7982
4;21;Borbeck-Mitte;2007;7082;3334;2157;1253;109;353;13386
4;22;Bochold;2007;8941;3771;2462;1896;251;548;18158
4;23;Bergeborbeck;2007;2108;909;598;516;64;191;4297
5;24;Altenessen-Nord;2007;7743;2885;1822;1934;304;454;17109
5;25;Altenessen-Süd;2007;13113;6071;4076;2827;439;856;25954
5;40;Karnap;2007;3822;1523;954;957;126;236;8113
5;50;Vogelheim;2007;2781;1111;708;722;106;213;5970
6;37;Schonnebeck;2007;5289;1954;1267;1274;162;325;11356
6;38;Stoppenberg;2007;7656;2855;1831;1956;243;472;16475
6;39;Katernberg;2007;10429;3874;2430;2803;461;675;23283
7;34;Steele;2007;8552;3954;2596;1588;160;420;16456
7;35;Kray;2007;9572;4269;2752;2088;285;574;19276
7;45;Freisenbruch;2007;7956;3006;1787;1829;204;499;16530
7;46;Horst;2007;4704;1556;1054;1092;147;239;10414
7;47;Leithe;2007;3190;1151;641;715;69;200;6666
8;31;Heisingen;2007;6160;2365;1492;1158;97;171;12573
8;32;Kupferdreh;2007;5393;2103;1403;1203;106;249;11184
8;33;Byfang;2007;997;328;208;194;15;32;2146
8;43;Überruhr-Hinsel;2007;3997;1496;869;756;46;179;8093
8;44;Überruhr-Holthausen;2007;3864;1295;773;802;88;195;8193
8;48;Burgaltendorf;2007;4523;1541;1040;916;67;146;9557
9;26;Bredeney;2007;5683;2541;1741;961;104;186;10933
9;27;Schuir;2007;683;234;149;146;21;18;1491
9;29;Werden;2007;5262;2523;1703;851;80;209;9743
9;30;Heidhausen;2007;2848;993;634;635;59;118;6195
9;42;Fischlaken;2007;2157;831;546;409;33;81;4411
9;49;Kettwig;2007;8875;3599;2365;1682;124;362;17575
