Stadtbezirk;Stadtteil;Stadtteilname;Jahr;INSGESAMT;HH_EINE_PERSON;HH_EINE_PERSON_25B69;HH_MIT_KINDERN;HH_MIT_3OM_KINDERN;HH_ALLEINERZIEHEND;BEVOELKERUNG_IN_HH
9;27;Schuir;2022;670;253;154;154;23;20;1429
9;29;Werden;2022;5342;2818;1719;802;84;176;9493
9;30;Heidhausen;2022;3121;1174;730;683;81;82;6630
9;42;Fischlaken;2022;2257;950;581;448;35;77;4449
9;49;Kettwig;2022;9556;4309;2673;1636;142;332;18074
1;1;Stadtkern;2021;2467;1656;1271;317;70;94;4020
1;2;Ostviertel;2021;3954;2458;1875;664;166;219;6924
1;3;Nordviertel;2021;4331;2572;1920;778;211;220;7890
1;4;Westviertel;2021;1612;970;718;192;37;45;2657
1;5;Südviertel;2021;7608;4986;3913;883;130;212;11927
1;6;Südostviertel;2021;7536;4789;3557;1203;279;331;12860
1;11;Huttrop;2021;8077;4143;2790;1472;215;358;14876
1;36;Frillendorf;2021;2787;1245;885;561;88;143;5556
2;10;Rüttenscheid;2021;18382;11102;8168;2404;185;489;29804
2;12;Rellinghausen;2021;1926;925;492;293;22;54;3562
2;13;Bergerhausen;2021;6352;3236;2169;1019;110;190;11468
2;14;Stadtwald;2021;5086;2331;1513;901;107;153;9691
3;7;Altendorf;2021;12207;6958;5185;2398;604;784;22750
3;8;Frohnhausen;2021;18865;11075;8194;2919;451;932;32354
3;9;Holsterhausen;2021;16305;10519;7781;2077;240;569;25710
3;15;Fulerum;2021;1718;719;449;310;16;50;3286
3;28;Haarzopf;2021;3403;1343;793;630;68;66;6881
3;41;Margarethenhöhe;2021;3728;1782;1109;663;70;156;6960
4;16;Schönebeck;2021;4947;2109;1354;846;86;147;9632
4;17;Bedingrade;2021;6413;2990;1957;983;111;223;11841
4;18;Frintrop;2021;4550;2240;1540;747;97;204;8389
4;19;Dellwig;2021;4664;2103;1448;927;132;303;8984
4;20;Gerschede;2021;3934;1731;1200;729;92;159;7692
4;21;Borbeck-Mitte;2021;7252;3717;2494;1187;158;319;13230
4;22;Bochold;2021;9111;4437;2969;1829;398;561;17767
4;23;Bergeborbeck;2021;2199;1027;764;502;86;178;4340
5;24;Altenessen-Nord;2021;7956;3380;2331;1744;322;461;16726
5;25;Altenessen-Süd;2021;13855;7255;5130;2798;599;798;26698
5;40;Karnap;2021;3865;1694;1204;833;185;227;7998
5;50;Vogelheim;2021;2813;1149;805;735;113;204;5979
6;37;Schonnebeck;2021;5522;2292;1559;1261;219;320;11494
6;38;Stoppenberg;2021;7892;3313;2295;1747;250;469;16210
6;39;Katernberg;2021;10941;4463;3058;2818;606;819;23998
7;34;Steele;2021;8689;4395;2935;1484;239;383;16115
7;35;Kray;2021;10035;5012;3610;1989;372;619;19345
7;45;Freisenbruch;2021;8088;3458;2169;1779;311;530;16317
7;46;Horst;2021;4996;1822;1214;1197;264;247;11027
7;47;Leithe;2021;3203;1319;855;646;85;126;6472
8;31;Heisingen;2021;6452;2625;1600;1191;99;178;12717
8;32;Kupferdreh;2021;5705;2445;1616;1179;131;208;11336
8;33;Byfang;2021;985;338;200;176;18;18;2045
8;43;Überruhr-Hinsel;2021;3954;1638;957;685;66;152;7650
8;44;Überruhr-Holthausen;2021;3918;1579;966;765;88;137;7873
8;48;Burgaltendorf;2021;4739;1855;1208;885;87;136;9489
9;26;Bredeney;2021;5947;2815;1785;1016;104;157;11177
9;27;Schuir;2021;660;244;147;152;19;21;1408
9;29;Werden;2021;5396;2860;1759;803;86;149;9573
9;30;Heidhausen;2021;3121;1175;738;682;77;79;6593
9;42;Fischlaken;2021;2228;918;562;460;37;84;4439
9;49;Kettwig;2021;9507;4242;2602;1632;148;332;17988
1;1;Stadtkern;2020;2472;1618;1212;321;76;94;4104
1;2;Ostviertel;2020;3913;2432;1852;668;168;215;6891
1;3;Nordviertel;2020;4445;2645;1968;796;217;230;8071
1;4;Westviertel;2020;1466;842;620;204;36;49;2517
1;5;Südviertel;2020;7670;5037;3925;879;134;203;12000
1;6;Südostviertel;2020;7550;4796;3561;1177;278;314;12832
1;11;Huttrop;2020;8130;4177;2809;1442;215;342;14937
1;36;Frillendorf;2020;2830;1288;904;558;82;127;5625
2;10;Rüttenscheid;2020;18023;10982;8072;2255;149;431;28985
2;12;Rellinghausen;2020;1653;740;490;289;23;53;3218
2;13;Bergerhausen;2020;6363;3194;2131;1041;109;197;11586
2;14;Stadtwald;2020;5090;2319;1524;884;101;151;9689
3;7;Altendorf;2020;12168;6952;5124;2365;592;758;22598
3;8;Frohnhausen;2020;19070;11268;8276;2905;441;926;32495
3;9;Holsterhausen;2020;16384;10560;7733;2119;255;578;25922
3;15;Fulerum;2020;1713;712;431;310;22;51;3286
3;28;Haarzopf;2020;3398;1336;782;617;68;74;6865
3;41;Margarethenhöhe;2020;3731;1769;1096;681;81;158;7028
4;16;Schönebeck;2020;4953;2075;1340;845;94;149;9704
4;17;Bedingrade;2020;6414;2966;1940;988;103;232;11900
4;18;Frintrop;2020;4559;2238;1535;721;94;183;8402
4;19;Dellwig;2020;4691;2123;1457;920;131;305;9021
4;20;Gerschede;2020;3910;1663;1135;726;90;163;7736
4;21;Borbeck-Mitte;2020;7276;3718;2497;1178;161;313;13290
4;22;Bochold;2020;9205;4441;2948;1868;403;567;18085
4;23;Bergeborbeck;2020;2215;1024;759;506;91;193;4378
5;24;Altenessen-Nord;2020;7978;3386;2303;1749;330;425;16815
5;25;Altenessen-Süd;2020;13937;7241;5090;2800;610;800;26883
5;40;Karnap;2020;3934;1714;1215;848;176;219;8130
5;50;Vogelheim;2020;2821;1163;827;707;115;201;5936
6;37;Schonnebeck;2020;5492;2255;1510;1244;205;305;11462
6;38;Stoppenberg;2020;7923;3289;2283;1734;244;448;16362
6;39;Katernberg;2020;10998;4483;3038;2810;583;817;24046
7;34;Steele;2020;8700;4375;2884;1462;229;378;16143
7;35;Kray;2020;9999;4927;3497;2000;377;608;19408
7;45;Freisenbruch;2020;8207;3491;2152;1807;329;533;16644
7;46;Horst;2020;5034;1824;1206;1192;252;237;11075
7;47;Leithe;2020;3189;1303;810;631;82;127;6449
8;31;Heisingen;2020;6423;2605;1568;1181;101;188;12690
8;32;Kupferdreh;2020;5762;2463;1660;1175;127;211;11459
8;33;Byfang;2020;1006;351;202;172;17;20;2083
8;43;Überruhr-Hinsel;2020;4000;1665;967;666;65;152;7684
8;44;Überruhr-Holthausen;2020;3904;1530;928;774;86;140;7917
8;48;Burgaltendorf;2020;4724;1805;1172;861;88;151;9502
9;26;Bredeney;2020;5874;2762;1764;970;100;143;11047
9;27;Schuir;2020;663;247;151;146;18;18;1409
9;29;Werden;2020;5400;2813;1703;804;84;151;9637
9;30;Heidhausen;2020;3085;1139;696;696;73;81;6567
9;42;Fischlaken;2020;2248;925;556;457;35;76;4470
9;49;Kettwig;2020;9468;4199;2588;1618;149;318;18008
1;1;Stadtkern;2019;2426;1672;1243;283;74;74;3892
1;2;Ostviertel;2019;3929;2438;1814;654;173;206;6894
1;3;Nordviertel;2019;4509;2718;1939;782;201;232;8055
1;4;Westviertel;2019;1414;851;633;185;34;43;2373
1;5;Südviertel;2019;7636;5004;3892;873;133;203;11982
1;6;Südostviertel;2019;7592;4801;3536;1158;262;305;12855
1;11;Huttrop;2019;8137;4177;2792;1412;208;341;14909
1;36;Frillendorf;2019;2822;1280;891;544;70;126;5579
2;10;Rüttenscheid;2019;17999;10997;8112;2219;158;428;28871
2;12;Rellinghausen;2019;1655;737;486;290;24;48;3239
2;13;Bergerhausen;2019;6351;3174;2118;1025;109;191;11556
2;14;Stadtwald;2019;5078;2291;1514;874;95;148;9696
3;7;Altendorf;2019;12145;6905;5031;2352;558;755;22491
3;8;Frohnhausen;2019;19042;11184;8181;2867;431;902;32417
3;9;Holsterhausen;2019;16467;10571;7713;2085;252;582;26041
3;15;Fulerum;2019;1708;705;429;313;22;57;3288
3;28;Haarzopf;2019;3370;1307;771;630;61;84;6843
3;41;Margarethenhöhe;2019;3735;1778;1086;682;81;157;7038
4;16;Schönebeck;2019;4969;2064;1340;846;90;156;9753
4;17;Bedingrade;2019;6380;2901;1866;986;100;232;11900
4;18;Frintrop;2019;4563;2207;1515;725;93;176;8452
4;19;Dellwig;2019;4680;2108;1429;879;116;263;8993
4;20;Gerschede;2019;3910;1659;1147;725;91;152;7751
